source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.09706870743697,0.9,1.1,-1.74082970261225e-13,-6.67564419541689e-12,0,0,0,0
38,1,1.09999999561307,0.9,1.1,2.20268248085631e-13,1.65128327678232e-12,0,0,0,0
39,1,1.09618858149512,0.9,1.1,4.68958205601666e-13,-3.80140363631654e-12,0,0,0,0
40,1,1.08032508935521,0.9,1.1,1.55382452628959e-13,1.53935956507049e-12,0,0,0,0
41,1,1.07260598805604,0.9,1.1,3.26849658449646e-13,-2.02504679691629e-12,0,0,0,0
42,3,1.07275909721972,0.9,1.1,0,6.66133814775094e-16,0,0,0,0
43,1,1.09567281878618,0.9,1.1,2.07478478841949e-12,-3.71924713249427e-13,0,0,0,0
44,1,1.09254840280586,0.9,1.1,-6.32383034826489e-13,1.36418654150816e-12,0,0,0,0
45,1,1.08657388961097,0.9,1.1,1.70530256582424e-13,9.64561763794336e-13,0,0,0,0
46,1,1.09300105400887,0.9,1.1,6.83897383169096e-14,-2.75335310107039e-13,0,0,0,0
47,2,1.09999995399066,0.9,1.1,2.27373675443232e-13,-1.33226762955019e-13,0,0,0,0
48,2,1.09999998708995,0.9,1.1,2.27373675443232e-13,4.2632564145606e-13,0,0,0,0
49,1,1.09218863721125,0.9,1.1,4.2632564145606e-14,-3.24185123190546e-14,0,0,0,0
50,2,1.09999997242497,0.9,1.1,-1.93267624126747e-12,-1.41620049021185e-12,0,0,0,0
51,2,1.08811143596161,0.9,1.1,3.12638803734444e-13,3.12638803734444e-13,0,0,0,0
52,1,1.0999999899842,0.9,1.1,-6.68184970161056e-13,3.0790508758667e-12,0,0,0,0
53,2,1.09061565973762,0.9,1.1,1.98951966012828e-13,-3.86801701779405e-13,0,0,0,0
54,2,1.09833023715848,0.9,1.1,3.38218342221808e-12,5.89750470680883e-13,0,0,0,0
55,2,1.0999511949721,0.9,1.1,-1.77635683940025e-12,-5.32907051820075e-14,0,0,0,0
56,2,1.09999995658925,0.9,1.1,1.19371179607697e-12,-1.10667031094636e-12,0,0,0,0
57,2,1.09834241864356,0.9,1.1,-5.86197757002083e-14,3.02424751907893e-13,0,0,0,0
58,1,1.0979584429783,0.9,1.1,2.8066438062524e-12,-4.18420853520729e-12,0,0,0,0
59,1,1.09575591890276,0.9,1.1,-3.97903932025656e-13,-8.31335000839317e-13,0,0,0,0
60,2,1.09999957902938,0.9,1.1,1.52766688188422e-13,3.90798504668055e-14,0,0,0,0
61,2,1.09999894429727,0.9,1.1,3.26849658449646e-13,-5.74651437545981e-13,0,0,0,0
62,1,1.09922237340223,0.9,1.1,-2.7783855277871e-13,1.15477322256483e-12,0,0,0,0
63,1,1.09329739420289,0.9,1.1,-3.02556905319354e-13,3.11519308539197e-13,0,0,0,0
64,1,1.09063841944403,0.9,1.1,4.9737991503207e-13,7.00772773143399e-13,0,0,0,0
65,2,1.08569764328629,0.9,1.1,-2.75335310107039e-13,-1.79412040779425e-13,0,0,0,0
66,1,1.09784172750377,0.9,1.1,-1.01252339845814e-13,2.32314167902814e-12,0,0,0,0
67,1,1.09237467827498,0.9,1.1,3.31290550548147e-13,-5.75581249329105e-13,0,0,0,0
68,2,1.08319121371301,0.9,1.1,-2.8421709430404e-14,2.23820961764432e-13,0,0,0,0
69,1,1.09908305267676,0.9,1.1,-2.91296571797632e-13,-2.42300744321122e-12,0,0,0,0
70,1,1.09014125013477,0.9,1.1,-1.85063817634333e-13,3.53729331368616e-13,0,0,0,0
71,2,1.08477814519883,0.9,1.1,-2.27373675443232e-13,-1.09423581307055e-12,0,0,0,0
72,2,1.08853281597183,0.9,1.1,-1.10844666778576e-12,-1.88293824976427e-13,0,0,0,0
73,1,1.0956597488562,0.9,1.1,-2.20268248085631e-12,1.14290799047012e-11,0,0,0,0
74,1,1.09743868115489,0.9,1.1,3.93640675611096e-12,2.86243251323981e-11,0,0,0,0
75,1,1.09858269681206,0.9,1.1,1.08357767203415e-13,-2.41646980203569e-12,0,0,0,0
76,1,1.09859054842802,0.9,1.1,5.59907675778959e-12,1.82787118774286e-11,0,0,0,0
77,1,1.09831991160786,0.9,1.1,-3.44604573854498e-12,-1.84264652669873e-11,0,0,0,0
78,2,1.09588318633419,0.9,1.1,5.89039927945123e-12,-3.85114162781974e-12,0,0,0,0
79,2,1.09510336513171,0.9,1.1,-1.13686837721616e-13,-1.30739863379858e-12,0,0,0,0
80,2,1.09282097419082,0.9,1.1,1.98951966012828e-13,-4.80948614267618e-13,0,0,0,0
81,1,1.09306593316467,0.9,1.1,-4.54747350886464e-13,-1.26476606965298e-12,0,0,0,0
82,2,1.09478921673376,0.9,1.1,1.10844666778576e-12,-1.02318153949454e-12,0,0,0,0
9001,1,1.09466247501769,0.9,1.1,-6.58885905792009e-13,-3.05460657642591e-12,0,0,0,0
9002,1,1.09728996778727,0.9,1.1,3.30210617186039e-12,-1.97098501535603e-11,0,0,0,0
9003,1,1.09444655154033,0.9,1.1,8.17124146124115e-13,1.38500322321988e-12,0,0,0,0
858,1,1.09672599406536,0.9,1.1,-3.99088081701341e-12,1.33565327859315e-11,0,0,0,0
774,1,1.09871107895809,0.9,1.1,-1.44934302658148e-11,-3.51162226894866e-11,0,0,0,0
