source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.09629141435386,0.9,1.1,-2.30215846386272e-12,-4.50472992241657e-12,0,0,0,0
38,1,1.09999999669165,0.9,1.1,6.82121026329696e-13,3.33899574656016e-12,0,0,0,0
39,1,1.08563339629647,0.9,1.1,-1.47792889038101e-12,-1.19015908239817e-11,0,0,0,0
40,1,1.08198302280268,0.9,1.1,9.77561992484223e-14,-3.08711774333382e-12,0,0,0,0
41,1,1.06376404183546,0.9,1.1,1.08002495835535e-12,4.74642547487747e-12,0,0,0,0
42,3,1.0661564106014,0.9,1.1,-1.13686837721616e-13,-1.52056145452661e-12,0,0,0,0
43,1,1.09430540300932,0.9,1.1,-1.05160324892495e-12,3.47361028829596e-12,0,0,0,0
44,1,1.09274888038019,0.9,1.1,7.105427357601e-13,-1.241368119409e-12,0,0,0,0
45,1,1.08329920526477,0.9,1.1,-5.6843418860808e-14,-6.14619466432487e-13,0,0,0,0
46,1,1.09061469948044,0.9,1.1,2.52242671194836e-13,-3.73034936274053e-14,0,0,0,0
47,2,1.08426789292734,0.9,1.1,-2.27373675443232e-13,-9.80548975348938e-13,0,0,0,0
48,2,1.05734138454522,0.9,1.1,3.37507799486048e-13,3.69482222595252e-13,0,0,0,0
49,1,1.05170487087969,0.9,1.1,4.2632564145606e-14,2.06945571790129e-13,0,0,0,0
50,2,1.06805821589581,0.9,1.1,5.6843418860808e-13,4.43378667114303e-12,0,0,0,0
51,2,1.07089048056026,0.9,1.1,2.55795384873636e-13,2.71338507218388e-13,0,0,0,0
52,1,1.0674392983229,0.9,1.1,-6.19874497476476e-13,-2.97135647858842e-12,0,0,0,0
53,2,1.05702142164605,0.9,1.1,5.11590769747272e-13,5.96855898038484e-13,0,0,0,0
54,2,1.0701945525622,0.9,1.1,3.43902684107888e-12,-2.1316282072803e-12,0,0,0,0
55,2,1.06458327325293,0.9,1.1,-9.80548975348938e-13,-1.31805677483499e-12,0,0,0,0
56,2,1.07285605281534,0.9,1.1,-2.78532752417959e-12,-3.39639427693328e-12,0,0,0,0
57,2,1.06296987919569,0.9,1.1,-3.97903932025656e-13,-3.94795307556706e-13,0,0,0,0
58,1,1.06593459097832,0.9,1.1,-7.53175299905706e-13,-2.43005615629954e-12,0,0,0,0
59,1,1.06086994012776,0.9,1.1,7.38964445190504e-13,3.48165940522449e-12,0,0,0,0
60,2,1.07189355509543,0.9,1.1,-4.2632564145606e-14,3.92574861507455e-13,0,0,0,0
61,2,1.06543143410328,0.9,1.1,-2.27373675443232e-13,-1.75859327100625e-13,0,0,0,0
62,1,1.0692327274616,0.9,1.1,3.14636707605663e-13,7.06041050421674e-13,0,0,0,0
63,1,1.07275521787646,0.9,1.1,1.44041935863157e-13,3.60014286186092e-13,0,0,0,0
64,1,1.06530684651386,0.9,1.1,-3.83693077310454e-13,4.92050844513869e-13,0,0,0,0
