source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.09773142486552,0.9,1.1,7.105427357601e-14,-1.01130909202496e-11,0,0,0,0
38,1,1.09999999486617,0.9,1.1,-3.12638803734444e-13,5.11743425413158e-13,0,0,0,0
39,1,1.09454082798487,0.9,1.1,4.54747350886464e-13,-6.60804744256893e-13,0,0,0,0
40,1,1.07576088248502,0.9,1.1,-1.91091264402159e-13,-9.28493169778847e-16,0,0,0,0
41,1,1.0602177394817,0.9,1.1,3.5527136788005e-13,1.25055521493778e-12,0,0,0,0
42,3,1.06215122888,0.9,1.1,-5.6843418860808e-14,1.77635683940025e-15,0,0,0,0
43,1,1.09866649581101,0.9,1.1,8.5265128291212e-13,-3.34593464046407e-12,0,0,0,0
44,1,1.08647876888977,0.9,1.1,-7.105427357601e-13,1.4363510381088e-13,0,0,0,0
45,1,1.06990769736894,0.9,1.1,-2.27373675443232e-13,9.34363697524532e-13,0,0,0,0
46,1,1.07343387720726,0.9,1.1,2.32702745961433e-13,-6.03961325396085e-14,0,0,0,0
47,2,1.09999995488661,0.9,1.1,-5.11590769747272e-13,-2.10720330073855e-13,0,0,0,0
48,2,1.09999999438303,0.9,1.1,1.23634436022257e-12,1.34114941374719e-13,0,0,0,0
49,1,1.08188036795742,0.9,1.1,1.4210854715202e-13,-1.37667655053519e-13,0,0,0,0
50,2,1.09999994401986,0.9,1.1,2.27373675443232e-13,9.96536186903541e-13,0,0,0,0
51,2,1.07696856284772,0.9,1.1,-4.54747350886464e-13,-3.12638803734444e-13,0,0,0,0
52,1,1.09900646495798,0.9,1.1,-1.73769532647103e-13,7.6131136696467e-13,0,0,0,0
53,2,1.07990899326036,0.9,1.1,-1.4210854715202e-13,1.27897692436818e-13,0,0,0,0
54,2,1.09863198322448,0.9,1.1,-2.24531504500192e-12,-1.90691906709617e-12,0,0,0,0
55,2,1.09582760837537,0.9,1.1,1.70530256582424e-12,6.62581101096293e-13,0,0,0,0
56,2,1.09999996646031,0.9,1.1,5.11590769747272e-13,1.08713038571295e-12,0,0,0,0
57,2,1.09376090515971,0.9,1.1,2.1316282072803e-13,5.32907051820075e-14,0,0,0,0
58,1,1.09499053194695,0.9,1.1,7.46069872548105e-14,4.37516689544282e-12,0,0,0,0
59,1,1.09115530597045,0.9,1.1,-5.96855898038484e-13,-1.54898316395702e-12,0,0,0,0
60,2,1.09930190066276,0.9,1.1,9.9475983006414e-14,7.78543896018391e-13,0,0,0,0
61,2,1.09618990406812,0.9,1.1,-3.5527136788005e-13,2.54019028034236e-13,0,0,0,0
62,1,1.09738944153862,0.9,1.1,1.1528376255846e-13,1.44436901001196e-12,0,0,0,0
63,1,1.09233619480285,0.9,1.1,7.5720720794846e-14,-7.78517998287567e-13,0,0,0,0
64,1,1.08599148438748,0.9,1.1,-5.6843418860808e-14,9.61009050115536e-13,0,0,0,0
65,2,1.07460312839467,0.9,1.1,-8.43769498715119e-14,-1.88293824976427e-13,0,0,0,0
66,1,1.09999998578313,0.9,1.1,-8.24229573481716e-13,1.60982338570648e-13,0,0,0,0
67,1,1.09586153440836,0.9,1.1,3.41060513164848e-13,-5.68989300120393e-13,0,0,0,0
