model_bus,zone,parent_pd_mw,pd_gross_mw,qd_gross_mvar,p_boundary_mw,q_boundary_mvar,pd_effective_mw,qd_effective_mvar,within_zone_allocation_weight,assumed_q_over_p
37,F,0,0,0,-145.330187570947,0,145.330187570947,0,0,0.250623624353469
38,F,0,0,0,0,0,0,0,0,0.250623624353469
39,G,0,53.0880860543534,13.3051285369309,0,0,53.0880860543534,13.3051285369309,0.2,0.250623624353469
40,F,0,0,0,0,0,0,0,0,0.250623624353469
41,F,809.143671,289.059582326689,44.6551695154224,0,0,289.059582326689,44.6551695154224,0.798175598482101,0.154484307892461
42,F,204.597757,73.0907801704816,6.07310305409744,0,0,73.0907801704816,6.07310305409744,0.201824401517899,0.0830898649587835
43,E,0,0,0,0,0,0,0,0,0.250623624353469
44,E,0,0,0,0,0,0,0,0,0.250623624353469
45,E,295.9154,203.572611820518,11.6950128345764,0,0,203.572611820518,11.6950128345764,1,0.0574488519353842
46,D,26.5861492,6.36937692083017,-10.1819378616623,0,0,6.36937692083017,-10.1819378616623,0.0303030303168461,-1.59857675063375
47,D,610.325512,146.218739731087,23.9575008509701,0,0,146.218739731087,23.9575008509701,0.695652174150916,0.163846993176323
48,D,0,0,0,-209.89760946268,0,209.89760946268,0,0,0.250623624353469
49,D,240.431262,57.601321639648,4.07277514466491,0,0,57.601321639648,4.07277514466491,0.274044795532238,0.0707062794521288
50,C,0,0,0,0,0,0,0,0,0.250623624353469
51,C,844.977176,226.909279808246,20.1404209119353,0,0,226.909279808246,20.1404209119353,0.472527472527473,0.0887597939095103
52,B,0,0,0,0,0,0,0,0,0.250623624353469
53,B,1066.91373,301.471276032801,70.640968326652,0,0,301.471276032801,70.640968326652,1,0.234320726194048
54,A,20,4.57019070764168,0,237.788614070129,0,-233.218423362488,0,0.00763005733397711,0
55,A,939,214.570453723777,30.1632586704351,0,0,214.570453723777,30.1632586704351,0.358231191830225,0.140575079872204
56,A,198.818159,45.4318451386113,10.0544195568117,0,0,45.4318451386113,10.0544195568117,0.0758496976102888,0.221307752879856
57,A,277.420687,63.3932722917486,-1.3710572122925,0,0,63.3932722917486,-1.3710572122925,0.105836787372066,-0.0216278031205366
58,A,97.0972405,22.1876453135375,8.6833623445192,0,0,22.1876453135375,8.6833623445192,0.0370428755992982,0.391360246741513
59,A,814.923268,186.21773734273,45.2448880056527,0,0,186.21773734273,45.2448880056527,0.3108955628816,0.24296766060679
60,A,0,0,0,0,0,0,0,0,0.250623624353469
61,A,273.952928,62.6008562938415,1.82807628305667,0,0,62.6008562938415,1.82807628305667,0.104513827372545,0.0292020970843575
62,A,0,0,0,0,0,0,0,0,0.250623624353469
63,C,0,0,0,0,0,0,0,0,0.250623624353469
64,C,165.296493,44.3885459238235,6.71347363731176,0,0,44.3885459238235,6.71347363731176,0.0924369749543922,0.151243378164109
65,C,105.188677,28.2472563993281,0,0,0,28.2472563993281,0,0.058823529313079,0
66,C,0,0,0,-5.5755772013715,0,5.5755772013715,0,0,0.250623624353469
67,C,0,0,0,-2.38953308630207,0,2.38953308630207,0,0,0.250623624353469
68,C,243.899021,65.4963859059859,11.0100967651913,0,0,65.4963859059859,11.0100967651913,0.136393018910436,0.168102355769604
69,C,0,0,0,0,0,0,0,0,0.250623624353469
70,C,0,0,0,0,0,0,0,0,0.250623624353469
71,C,428.846145,115.161891556811,14.2325641111009,0,0,115.161891556811,14.2325641111009,0.23981900429462,0.123587446495526
72,C,0,0,0,0,0,0,0,0,0.250623624353469
73,G,0,132.720215135883,33.2628213423272,-217.995281356421,0,350.715496492304,33.2628213423272,0.5,0.250623624353469
74,H,117.903792,83.3632547569923,0,0,0,83.3632547569923,0,1,0
75,G,0,0,0,-3.98255514383679,0,3.98255514383679,0,0,0.250623624353469
76,G,0,79.6321290815301,19.9576928053963,0,0,79.6321290815301,19.9576928053963,0.3,0.250623624353469
77,H,0,0,0,0,0,0,0,0,0.250623624353469
78,I,2311.83906,212.184924191967,55.0691251471374,0,0,212.184924191967,55.0691251471374,1,0.259533637259334
79,J,0,849.020278286716,212.784539293807,0,0,849.020278286716,212.784539293807,0.45,0.250623624353469
80,K,809.143671,718.707700795347,22.2058123468702,321.754061511083,0,396.953639284264,22.2058123468702,1,0.0308968615784922
81,J,0,188.671172952604,47.2854531764016,135.860244832924,0,52.8109281196799,47.2854531764016,0.1,0.250623624353469
82,J,0,849.020278286716,212.784539293807,0,0,849.020278286716,212.784539293807,0.45,0.250623624353469
9001,G,0,0,0,0,0,0,0,0,0
9002,G,0,0,0,0,0,0,0,0,0
9003,K,0,0,0,0,0,0,0,0,0
858,G,0,0,0,0,0,0,0,0,0
774,G,0,0,0,0,0,0,0,0,0
9101,F,0,0,0,0,0,0,0,0,0
9102,F,0,0,0,0,0,0,0,0,0
9103,F,0,0,0,0,0,0,0,0,0
9104,G,0,0,0,0,0,0,0,0,0
1220,E,0,0,0,0,0,0,0,0,0
1130,J,0,0,0,0,0,0,0,0,0
557,J,0,0,0,0,0,0,0,0,0
1529,J,0,0,0,0,0,0,0,0,0
1493,J,0,0,0,0,0,0,0,0,0
601,J,0,0,0,0,0,0,0,0,0
1129,J,0,0,0,0,0,0,0,0,0
9111,J,0,0,0,0,0,0,0,0,0
9112,J,0,0,0,0,0,0,0,0,0
9113,J,0,0,0,0,0,0,0,0,0
9114,J,0,0,0,0,0,0,0,0,0
