branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,56.0411305366015,49.4406118387546,0,0,-0.372600432667714,-360,360,0,0,0,0,9.96987694057006e-14,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,1090.64001354613,1083.30415605299,0,0,3.85970290407009,-360,360,0,0,0,0,2.31335954426011e-13,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,181.86149639869,181.525134000628,0,0,-2.62247279555413,-360,360,0,0,0,0,5.6843418860808e-14,0
4,NPCC_S7:BRANCH_ROW:36,37,43,0,3745.98196383403,0,0,0,0,-6.03613328726781,-360,360,0,0,0,0,0,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,331.68584600346,340.104438522448,0,0,-7.74653138820804,-360,360,0,0,0,0,5.75331240096291e-14,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,666.941168686394,661.475636716985,0,0,5.9025219098686,-360,360,0,0,0,0,6.0462970166966e-13,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,666.941168686394,661.475636716985,0,0,5.9025219098686,-360,360,0,0,0,0,6.0462970166966e-13,0
8,NPCC_S7:BRANCH_ROW:40,40,44,0,1328.76341358641,0,0,0,0,-2.81728079702791,-360,360,0,0,0,0,0,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,287.217519309838,288.877876994282,0,0,-1.32142969678236,-360,360,0,0,0,0,0,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,19.7319308748688,12.2178384932666,0,0,-1.01461818727212,-360,360,0,0,0,0,2.51214793389404e-15,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,114.201747703947,114.299594256449,0,0,0.596379694685762,-360,360,0,0,0,0,8.53391110628672e-14,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,396.236498737688,402.503417133263,0,0,-5.12870003702316,-360,360,0,0,0,0,5.6843418860808e-14,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,396.236498737688,402.503417133263,0,0,-5.12870003702316,-360,360,0,0,0,0,5.6843418860808e-14,0
14,NPCC_S7:BRANCH_ROW:46,44,45,1,2500,112.185222466285,111.445201616508,0,0,1.03015175561876,-360,360,0,0,0,0,1.4210854715202e-14,0
15,NPCC_S7:BRANCH_ROW:47,44,48,0,6896.14528055676,0,0,0,0,-2.17073067957993,-360,360,0,0,0,0,0,0
16,NPCC_S7:BRANCH_ROW:48,45,46,1,2040.85471944324,23.2603059710191,27.3683016227021,0,0,-4.2486896470935,-360,360,0,0,0,0,2.49323563530236e-14,0
17,NPCC_S7:BRANCH_ROW:49,45,51,1,489.56239109923,67.1649686148308,70.0938181871309,0,0,-6.63663118882769,-360,360,0,0,0,0,1.16537673497822e-13,0
18,NPCC_S7:BRANCH_ROW:50,45,71,1,166.495119914644,25.5528002547146,30.2119472918587,0,0,-7.81168699735471,-360,360,0,0,0,0,1.46482137552712e-14,0
