branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,142.337900986899,139.420264858999,0,0,-1.06690544925461,-360,360,0,0,0,0,1.14185345125777e-13,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,655.853514696869,654.987124769828,0,0,2.31005446539356,-360,360,0,0,0,0,2.31335954426011e-13,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,118.762572024061,120.631449669848,0,0,-1.5624407816124,-360,360,0,0,0,0,7.82791100886255e-13,0
4,NPCC_S7:BRANCH_ROW:36,37,43,0,3745.98196383403,0,0,0,0,-2.33314416460387,-360,360,0,0,0,0,0,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,180.055233097514,188.283952287758,0,0,-4.14255180038283,-360,360,0,0,0,0,2.8421709430404e-14,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,481.535362171859,477.63034489375,0,0,4.26514044678081,-360,360,0,0,0,0,5.72857867687912e-14,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,481.535362171859,477.63034489375,0,0,4.26514044678081,-360,360,0,0,0,0,5.72857867687912e-14,0
8,NPCC_S7:BRANCH_ROW:40,40,44,0,1328.76341358641,0,0,0,0,-0.904517310538164,-360,360,0,0,0,0,0,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,523.1633789748,526.394053881322,0,0,-2.40832601514797,-360,360,0,0,0,0,0,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,27.7614919641827,18.993032674333,0,0,2.55345442560472,-360,360,0,0,0,0,5.02429586778808e-15,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,43.9130098249265,43.7677586847796,0,0,-0.133813927546692,-360,360,0,0,0,0,1.45834460964336e-13,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,130.33552875687,161.635261389151,0,0,-1.40977950121312,-360,360,0,0,0,0,2.8421709430404e-14,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,130.33552875687,161.635261389151,0,0,-1.40977950121312,-360,360,0,0,0,0,2.8421709430404e-14,0
