branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,179.991221361376,169.79111095008,0,0,-1.3016327156408,-360,360,0,0,0,0,2.8421709430404e-14,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,450.414696556077,439.733478672065,0,0,1.91139005588203,-360,360,0,0,0,0,2.27373675443232e-13,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,124.000063659247,124.372288023093,0,0,-0.321713851272197,-360,360,0,0,0,0,3.5527136788005e-14,0
4,NPCC_S7:BRANCH_ROW:36,37,43,0,3745.98196383403,0,0,0,0,-2.37353170328504,-360,360,0,0,0,0,0,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,249.143498529988,232.806307793708,0,0,-5.78545248935624,-360,360,0,0,0,0,1.4210854715202e-13,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,343.984985151674,341.169383158627,0,0,3.68324730897788,-360,360,0,0,0,0,0,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,343.984985151674,341.169383158627,0,0,3.68324730897788,-360,360,0,0,0,0,0,0
8,NPCC_S7:BRANCH_ROW:40,40,44,0,1328.76341358641,0,0,0,0,0.219533805016926,-360,360,0,0,0,0,0,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,362.405389962686,361.258641407287,0,0,-2.22693446229062,-360,360,0,0,0,0,0,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,32.3514693062587,23.7209771832795,0,0,3.12928801184241,-360,360,0,0,0,0,4.84851059353139e-14,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,356.469011137109,361.947620959115,0,0,2.27135165702977,-360,360,0,0,0,0,1.39729633625414e-12,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,343.412782530073,344.466236429283,0,0,-5.06515947697955,-360,360,0,0,0,0,8.03887338846093e-14,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,343.412782530073,344.466236429283,0,0,-5.06515947697955,-360,360,0,0,0,0,8.03887338846093e-14,0
14,NPCC_S7:BRANCH_ROW:46,44,45,1,2500,241.633557175066,238.576002087503,0,0,2.9348370772984,-360,360,0,0,0,0,6.96911674551713e-13,0
15,NPCC_S7:BRANCH_ROW:47,44,48,0,6896.14528055676,0,0,0,0,8.1050902792957,-360,360,0,0,0,0,0,0
16,NPCC_S7:BRANCH_ROW:48,45,46,1,2040.85471944324,27.8742789245948,16.0717201852301,0,0,3.8028417511036,-360,360,0,0,0,0,5.34385298908949e-14,0
17,NPCC_S7:BRANCH_ROW:49,45,51,1,489.56239109923,78.9756898628559,78.2212255339705,0,0,-9.75693125272141,-360,360,0,0,0,0,8.64412545851425e-14,0
18,NPCC_S7:BRANCH_ROW:50,45,71,1,166.495119914644,40.4430953020159,42.0208930997511,0,0,-10.6088577987434,-360,360,0,0,0,0,2.58641459868177e-14,0
19,NPCC_S7:BRANCH_ROW:51,46,47,1,2500,15.7223588616157,20.1349974841374,0,0,-1.04501434977787,-360,360,0,0,0,0,8.76915965420543e-14,0
20,NPCC_S7:BRANCH_ROW:52,46,49,1,2500,19.5802065881166,15.575447090272,0,0,4.62540082997638,-360,360,0,0,0,0,2.31608595598326e-14,0
21,NPCC_S7:BRANCH_ROW:53,47,48,1,2500,340.505138651356,375.996856245966,0,0,2.41242580067156,-360,360,0,0,0,0,2.27373675443232e-13,0
22,NPCC_S7:BRANCH_ROW:54,50,51,1,2500,35.1322417430194,35.1322416467029,0,0,0.514416958586315,-360,360,0,0,0,0,7.11198375584851e-15,0
23,NPCC_S7:BRANCH_ROW:55,50,52,1,2858.06690137886,268.850677076359,171.989910352423,0,0,0.561006910680499,-360,360,0,0,0,0,6.82870015664947e-13,0
24,NPCC_S7:BRANCH_ROW:56,51,53,1,290.964700741948,93.7649895775739,90.4437173247512,0,0,5.11456274829979,-360,360,0,0,0,0,1.4210854715202e-14,0
25,NPCC_S7:BRANCH_ROW:57,51,72,1,2500,580.916599220515,648.277560914961,0,0,-1.03183301168125,-360,360,0,0,0,0,1.2710574864626e-13,0
26,NPCC_S7:BRANCH_ROW:58,52,53,1,2500,424.516516059588,490.241660057518,0,0,5.0679727962056,-360,360,0,0,0,0,3.42242702197163e-13,0
27,NPCC_S7:BRANCH_ROW:59,53,55,1,997.983883346124,205.856915549714,194.815121040065,0,0,-6.06834237488024,-360,360,0,0,0,0,7.105427357601e-15,0
28,NPCC_S7:BRANCH_ROW:60,53,65,1,785.968397879188,8.35513097727643,6.11831684240482,0,0,0.27601187645564,-360,360,0,0,0,0,8.89911452410874e-16,0
29,NPCC_S7:BRANCH_ROW:61,54,56,1,789.941803,114.11877348757,112.526703382956,0,0,0.637270875127033,-360,360,0,0,0,0,9.16615620483685e-13,0
30,NPCC_S7:BRANCH_ROW:62,54,62,1,789.941803,94.3593780731163,89.9409508782495,0,0,2.67092214136789,-360,360,0,0,0,0,4.9737991503207e-14,0
31,NPCC_S7:BRANCH_ROW:65,55,57,1,789.941803,456.447172160061,555.68406357889,0,0,2.82866406489151,-360,360,0,0,0,0,5.6843418860808e-14,0
32,NPCC_S7:BRANCH_ROW:66,55,59,1,789.941803,90.8748406206523,95.1038333825643,0,0,1.68008978103093,-360,360,0,0,0,0,1.43214466921978e-14,0
33,NPCC_S7:BRANCH_ROW:67,56,58,1,2500,473.440585694804,499.946424036013,0,0,2.485791476185,-360,360,0,0,0,0,2.41166201653828e-13,0
34,NPCC_S7:BRANCH_ROW:68,57,59,1,2500,194.481957067362,175.934207118969,0,0,-1.14857428386058,-360,360,0,0,0,0,4.17443857259059e-14,0
35,NPCC_S7:BRANCH_ROW:69,58,60,1,2500,387.299791921482,409.568387942842,0,0,1.15346919871126,-360,360,0,0,0,0,3.99186551445116e-13,0
36,NPCC_S7:BRANCH_ROW:70,58,62,1,2500,42.6601990267557,43.7645840698498,0,0,-0.452140209944138,-360,360,0,0,0,0,6.92186795160839e-13,0
37,NPCC_S7:BRANCH_ROW:71,59,61,1,2500,79.8722475329228,83.1854838166612,0,0,1.41817292173565,-360,360,0,0,0,0,1.4210854715202e-14,0
38,NPCC_S7:BRANCH_ROW:73,62,63,1,620,55.7101640967302,43.4830348351881,0,0,0.897604809314195,-360,360,0,0,0,0,1.92372146595416e-13,0
