source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,0.98490854410011,0.9,1.1,-1.56319401867222e-12,1.13041520588553e-11,0,0,0,0
38,1,1.00280513145862,0.9,1.1,-5.08748598804232e-12,1.68892677621102e-12,0,0,0,0
39,1,0.991024363671765,0.9,1.1,-8.69704308570363e-12,-2.19912976717751e-12,0,0,0,0
40,1,0.944670582717549,0.9,1.1,-4.70785631120224e-13,-1.32534854620562e-12,0,0,0,0
41,1,0.909147892286353,0.9,1.1,7.58859641791787e-12,0,0,0,0,0
42,3,0.90000000883729,0.9,1.1,-5.6843418860808e-14,0,0,0,0,0
43,1,0.957181839660788,0.9,1.1,-1.406874616805e-12,4.09641938425853e-12,0,0,0,0
44,1,0.97189286828985,0.9,1.1,1.89004367712187e-12,1.97966643078473e-12,0,0,0,0
45,1,0.959594841398438,0.9,1.1,1.59161572810262e-12,1.24344978758018e-12,0,0,0,0
46,1,1.01229264275294,0.9,1.1,2.57571741713036e-14,-1.93622895494627e-13,0,0,0,0
47,2,0.996166972469149,0.9,1.1,-1.02318153949454e-12,3.97903932025656e-13,0,0,0,0
48,2,1.09999999244643,0.9,1.1,1.32871491587139e-12,1.70530256582424e-13,0,0,0,0
49,1,1.07015237727104,0.9,1.1,4.76063632959267e-13,-2.88213897192691e-13,0,0,0,0
50,2,0.900000003453864,0.9,1.1,-2.95585778076202e-12,1.93267624126747e-12,0,0,0,0
51,2,0.900000000986476,0.9,1.1,-4.2632564145606e-13,9.09494701772928e-13,0,0,0,0
52,1,0.95252648846073,0.9,1.1,5.57526929429592e-13,-6.3631950817682e-13,0,0,0,0
53,2,1.09999999831856,0.9,1.1,5.40012479177676e-13,-2.27373675443232e-13,0,0,0,0
54,2,0.912440740968618,0.9,1.1,4.60431692772545e-12,-1.47792889038101e-12,0,0,0,0
55,2,0.900000000991866,0.9,1.1,-3.83693077310454e-13,-5.6843418860808e-13,0,0,0,0
56,2,0.900000001833199,0.9,1.1,-2.1600499167107e-12,-1.02318153949454e-12,0,0,0,0
57,2,1.09999999859799,0.9,1.1,-5.86197757002083e-14,4.54747350886464e-13,0,0,0,0
58,1,0.967747224393089,0.9,1.1,3.09086090055644e-12,-5.38236122338276e-13,0,0,0,0
59,1,0.977865714002575,0.9,1.1,-4.2632564145606e-13,2.26663132707472e-12,0,0,0,0
60,2,1.09999999526462,0.9,1.1,1.98951966012828e-13,1.25055521493778e-12,0,0,0,0
61,2,1.09999999469049,0.9,1.1,-4.9737991503207e-14,-1.98951966012828e-13,0,0,0,0
62,1,0.965028741922357,0.9,1.1,-3.51444264239704e-13,1.51745545346747e-12,0,0,0,0
