scenario_id,passed,fresh_pf_audit_passed,hardware_frozen,source_prior_reconstructed,interface_operator_reconstructed,dispatch_difference_mw,voltage_difference_pu,proxy_flow_difference_mw
S1_2019_SUMMER_PEAK_PUBLIC,1,1,1,1,1,5.6843418860808e-14,2.22044604925031e-16,7.95807864051312e-13
S2_2019_WINTER_PEAK_PUBLIC,1,1,1,1,1,2.8421709430404e-14,2.22044604925031e-16,1.36424205265939e-12
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,1,1,1,1,1,0,2.22044604925031e-16,6.82121026329696e-13
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,1,1,1,1,1,1.13686837721616e-13,2.22044604925031e-16,3.97903932025656e-13
S6_2019_LOW_TOTAL_EAST_PUBLIC,1,1,1,1,1,0,2.22044604925031e-16,5.22959453519434e-12
S1_2025_SUMMER_PEAK_PUBLIC,1,1,1,1,1,5.6843418860808e-14,2.22044604925031e-16,2.95585778076202e-12
S2_2025_WINTER_PEAK_PUBLIC,1,1,1,1,1,0,2.22044604925031e-16,1.36424205265939e-12
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,1,1,1,1,1,0,1.11022302462516e-16,1.59161572810262e-12
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,1,1,1,1,0,2.22044604925031e-16,2.72848410531878e-12
S6_2025_LOW_TOTAL_EAST_PUBLIC,1,1,1,1,1,1.13686837721616e-13,2.22044604925031e-16,3.75166564481333e-12
V1_2025_JAN15_EVENING,1,1,1,1,1,0,2.22044604925031e-16,3.86535248253495e-12
V2_2025_APR15_MIDDAY,1,1,1,1,1,0,2.22044604925031e-16,7.50333128962666e-12
V3_2025_JUL15_EVENING,1,1,1,1,1,0,2.22044604925031e-16,4.88853402202949e-12
V4_2025_JUL25_NIGHT,1,1,1,1,1,8.5265128291212e-14,2.22044604925031e-16,1.13686837721616e-12
