scenario_id,campaign_role,vintage,scored_interfaces,interface_mae_benchmark_mw,interface_max_error_benchmark_mw,previous_operator_mae_benchmark_mw,mean_normalized_error_floor100,interface_targets_used_in_optimizer,exact_public_operator
S1_2019_SUMMER_PEAK_PUBLIC,revisited_diagnostic,2019,7,143.30784127004273,331.0425901232313,156.4811395595102,0.25425053247655904,False,False
S2_2019_WINTER_PEAK_PUBLIC,revisited_diagnostic,2019,7,221.6522317149103,505.6403915300725,218.51662928497575,0.2480565832067892,False,False
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,revisited_diagnostic,2019,7,418.71392832822784,803.5138428734588,339.5060411354656,0.8547474149757459,False,False
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,revisited_diagnostic,2019,7,104.69666678843359,267.17444759868846,134.59477849251013,0.22334902863502853,False,False
S5_2019_HIGH_TOTAL_EAST_PUBLIC,revisited_diagnostic,2019,0,,,,,False,False
S6_2019_LOW_TOTAL_EAST_PUBLIC,revisited_diagnostic,2019,7,186.90115536815742,446.34486363984547,206.32056315027344,0.32267269718832964,False,False
S1_2025_SUMMER_PEAK_PUBLIC,revisited_diagnostic,2025,7,116.14962185412504,220.34894332282258,178.14810544324527,0.39692166668776896,False,False
S2_2025_WINTER_PEAK_PUBLIC,revisited_diagnostic,2025,7,92.04454706855358,139.41210730560533,81.69949987506288,0.2659609859157651,False,False
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,revisited_diagnostic,2025,7,156.51291207061692,326.6099864818659,187.45337236483792,0.5506976073856057,False,False
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,revisited_diagnostic,2025,7,99.07031150792376,204.8162226117243,174.5961489819234,0.4229394124121441,False,False
S5_2025_HIGH_TOTAL_EAST_PUBLIC,revisited_diagnostic,2025,0,,,,,False,False
S6_2025_LOW_TOTAL_EAST_PUBLIC,revisited_diagnostic,2025,7,103.84628325982602,189.00135846135183,198.70412563581604,0.5559498731372988,False,False
V1_2025_JAN15_EVENING,calendar_selected_unseen_validation,2025,7,133.96523172216652,289.9329170265469,176.6505531020131,0.16615225297184563,False,False
V2_2025_APR15_MIDDAY,calendar_selected_unseen_validation,2025,7,185.1225800364542,354.16877942304063,198.28074907586418,0.6788229941559798,False,False
V3_2025_JUL15_EVENING,calendar_selected_unseen_validation,2025,7,175.63151637972672,397.3407649330396,115.36985868808009,0.5740345821009815,False,False
V4_2025_JUL25_NIGHT,calendar_selected_unseen_validation,2025,7,174.88666133306214,429.13349516133536,137.62213653820655,0.582366191482292,False,False
