SEQUENCE_NUMBER,CAMD_STATE,CAMD_FACILITY_NAME,CAMD_PLANT_ID,CAMD_UNIT_ID,CAMD_GENERATOR_ID,CAMD_NAMEPLATE_CAPACITY,CAMD_FUEL_TYPE,CAMD_LATITUDE,CAMD_LONGITUDE,CAMD_STATUS,CAMD_STATUS_DATE,CAMD_RETIRE_YEAR,MOD_CAMD_UNIT_ID,MOD_CAMD_GENERATOR_ID,EIA_STATE,EIA_PLANT_NAME,EIA_PLANT_ID,EIA_GENERATOR_ID,EIA_NAMEPLATE_CAPACITY,EIA_BOILER_ID,EIA_UNIT_TYPE,EIA_FUEL_TYPE,EIA_LATITUDE,EIA_LONGITUDE,EIA_RETIRE_YEAR,PLANT_ID_CHANGE_FLAG,MOD_EIA_PLANT_ID,MOD_EIA_BOILER_ID,MOD_EIA_GENERATOR_ID_BOILER,MOD_EIA_GENERATOR_ID_GEN,MATCH_TYPE_GEN,MATCH_TYPE_BOILER
1769,NY,Danskammer Generating Station,2480,1,1,72,Pipeline Natural Gas,41.573,-73.9646,OPR,2014-09-03T00:00:00,0,1,1,NY,Danskammer Generating Station,2480,1,72,1,ST,NG,41.571247,-73.974981,0,0,2480,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
1770,NY,Danskammer Generating Station,2480,2,2,73.5,Pipeline Natural Gas,41.573,-73.9646,OPR,2014-09-12T00:00:00,0,2,2,NY,Danskammer Generating Station,2480,2,73.5,2,ST,NG,41.571247,-73.974981,0,0,2480,2,2,2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
1771,NY,Danskammer Generating Station,2480,3,3,147.1,Pipeline Natural Gas,41.573,-73.9646,OPR,2014-12-05T00:00:00,0,3,3,NY,Danskammer Generating Station,2480,3,147.1,3,ST,NG,41.571247,-73.974981,0,0,2480,3,3,3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
1772,NY,Danskammer Generating Station,2480,4,4,239.4,Pipeline Natural Gas,41.573,-73.9646,OPR,2014-11-08T00:00:00,0,4,4,NY,Danskammer Generating Station,2480,4,239.4,4,ST,NG,41.571247,-73.974981,0,0,2480,4,4,4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
1773,NY,Arthur Kill,2490,20,2,376.2,Pipeline Natural Gas,40.5915,-74.2027,OPR,1959-08-01T00:00:00,0,20,2,NY,Arthur Kill Generating Station,2490,2,342,20,ST,NG,40.591564,-74.200035,0,0,2490,20,2,2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
1774,NY,Arthur Kill,2490,30,3,535.5,Pipeline Natural Gas,40.5915,-74.2027,OPR,1969-06-01T00:00:00,0,30,3,NY,Arthur Kill Generating Station,2490,3,535.5,30,ST,NG,40.591564,-74.200035,0,0,2490,30,3,3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
1775,NY,Arthur Kill,2490,CT0001,GT1,16.3,Pipeline Natural Gas,40.5915,-74.2027,OPR,1970-06-01T00:00:00,0,CT0001,GT1,NY,Arthur Kill Generating Station,2490,GT1,18,,GT,NG,40.591564,-74.200035,0,0,2490,,,GT1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
1776,NY,Charles Poletti,2491,001,6,883,Diesel Oil,40.7903,-73.9111,RET,2010-01-31T00:00:00,2010,001,6,NY,Charles Poletti,2491,6,883,001,ST,RFO,40.776389,-73.910833,2010,0,2491,001,6,6,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
1777,NY,East River,2493,1,1,180,Pipeline Natural Gas,40.7281,-73.9742,OPR,2005-03-06T00:00:00,0,1,1,NY,East River,2493,1,180,,GT,NG,40.7281,-73.9742,0,0,2493,,,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
1778,NY,East River,2493,2,2,180,Pipeline Natural Gas,40.7281,-73.9742,OPR,2005-03-12T00:00:00,0,2,2,NY,East River,2493,2,180,,GT,NG,40.7281,-73.9742,0,0,2493,,,2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
1779,NY,East River,2493,60,6,156.3,Pipeline Natural Gas,40.7281,-73.9742,OPR,1951-09-01T00:00:00,0,60,6,NY,East River,2493,6,156.2,60,ST,NG,40.7281,-73.9742,0,0,2493,60,6,6,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
1780,NY,East River,2493,70,7,200,Pipeline Natural Gas,40.7281,-73.9742,OPR,1995-05-04T00:00:00,0,70,7,NY,East River,2493,7,200,70,ST,NG,40.7281,-73.9742,0,0,2493,70,7,7,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
1781,NY,Gowanus Generating Station,2494,CT01-1,GT11,20,Diesel Oil,40.6635,-74.0051,OPR,1971-06-01T00:00:00,0,CT01-1,GT11,NY,Gowanus Gas Turbines Generating,2494,GT11,20,,GT,DFO,40.6635,-74.0051,0,0,2494,,,GT11,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
