source_excel_row,facility_id,unit_id,nyiso_name,nyiso_ptid,zone,epa_facility_name,source_id,source_sha256
2,50451,1,Indeck-Yerkes,23781,A,Indeck-Yerkes Energy Center,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
3,54041,11854,Lockport,23791,A,Lockport,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
4,54041,11855,Lockport,23791,A,Lockport,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
5,54041,11856,Lockport,23791,A,Lockport,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
6,54076,1,Indeck-Olean,23982,A,Indeck-Olean Energy Center,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
7,54131,NTCT1,Fortistar - N.Tonawanda,24026,A,Fortistar North Tonawanda Inc,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
8,10619,1,Allegany,23514,B,Allegany Station No. 133,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
9,54593,1,Batavia,24024,B,Batavia Energy,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
10,50449,1,Indeck-Silver Springs,23768,C,Indeck-Silver Springs Energy Center,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
11,50450,1,Indeck-Oswego,23783,C,Indeck-Oswego Energy Center,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
12,54547,1,Independence,23970,C,Independence,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
13,54547,2,Independence,23970,C,Independence,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
14,54547,3,Independence,23970,C,Independence,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
15,54547,4,Independence,23970,C,Independence,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
16,10621,1,Syracuse,23985,C,"Syracuse, LLC",NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
17,50978,A,Carr St.-E. Syr,24060,C,Carr Street Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
18,50978,B,Carr St.-E. Syr,24060,C,Carr Street Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
19,54574,1,Saranac Energy,23793,D,"Saranac Power Partners, LP",NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
20,54574,2,Saranac Energy,23793,D,"Saranac Power Partners, LP",NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
21,54592,1,Massena,23902,D,Massena Energy Facility,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
22,50744,1,Sterling,23777,E,Sterling Power Plant,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
23,10620,1,Carthage Energy,23857,E,Carthage Energy,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
24,10617,1,Beaver Falls,23983,E,"Beaver Falls, LLC",NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
25,55405,1,Athens 1,23668,F,Athens Generating Company,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
26,55405,2,Athens 2,23670,F,Athens Generating Company,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
27,55405,3,Athens 3,23677,F,Athens Generating Company,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
28,54034,1GTDBS,Rensselaer,23796,F,Rensselaer Cogen,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
29,10725,CTG201,Selkirk-II,23799,F,Selkirk Cogen Partners,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
30,10725,CTG301,Selkirk-II,23799,F,Selkirk Cogen Partners,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
31,10725,CTG101,Selkirk-I,23801,F,Selkirk Cogen Partners,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
32,50458,1,Indeck-Corinth,23802,F,Indeck-Corinth Energy Center,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
33,10190,1,Castleton Energy Center,23900,F,"Castleton Power, LLC",NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
34,2539,10001,Bethlehem Energy Center,323570,F,Bethlehem Energy Center (Albany),NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
35,2539,10002,Bethlehem Energy Center,323570,F,Bethlehem Energy Center (Albany),NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
36,2539,10003,Bethlehem Energy Center,323570,F,Bethlehem Energy Center (Albany),NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
37,56259,CT-1,EMPIRE_CC_1,323656,F,"Empire Generating Co, LLC",NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
38,56259,CT-2,EMPIRE_CC_2,323658,F,"Empire Generating Co, LLC",NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
39,56940,1,CPV_VALLEY___CC1,323721,G,Valley Energy Center,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
40,56940,2,CPV_VALLEY___CC2,323722,G,Valley Energy Center,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
41,54914,1,Brooklyn Navy Yard,23515,J,Brooklyn Navy Yard Cogeneration,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
42,54914,2,Brooklyn Navy Yard,23515,J,Brooklyn Navy Yard Cogeneration,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
43,54114,GT1,KIAC_JFK_GT1,23816,J,KIAC Cogeneration,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
44,54114,GT2,KIAC_JFK_GT2,23817,J,KIAC Cogeneration,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
