State,Facility Name,Facility ID,Unit ID,unit_id,Associated Stacks,Date,Hour,Operating Time,Gross Load (MW),Steam Load (1000 lb/hr),SO2 Mass (lbs),SO2 Mass Measure Indicator,SO2 Rate (lbs/mmBtu),SO2 Rate Measure Indicator,CO2 Mass (short tons),CO2 Mass Measure Indicator,CO2 Rate (short tons/mmBtu),CO2 Rate Measure Indicator,NOx Mass (lbs),NOx Mass Measure Indicator,NOx Rate (lbs/mmBtu),NOx Rate Measure Indicator,Heat Input (mmBtu),Heat Input Measure Indicator,Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code,source_row_number,source_record_sha256,source_record_base64
NY,Danskammer Generating Station,2480,3,1608,,2025-07-29,0,1,46,,0.3,Measured,0.001,Calculated,25.1,Measured,0.059,Calculated,47.9,Measured,0.113,Measured,424.1,Measured,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, RGGI",22538,20c93e06a59c97bb2d9fa3e92313e54002dcfa8eee9db05ad18efc9e1c368ea9,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjMiLDE2MDgsLCIyMDI1LTA3LTI5IiwwLDEsNDYsLDAuMywiTWVhc3VyZWQiLDAuMDAxLCJDYWxjdWxhdGVkIiwyNS4xLCJNZWFzdXJlZCIsMC4wNTksIkNhbGN1bGF0ZWQiLDQ3LjksIk1lYXN1cmVkIiwwLjExMywiTWVhc3VyZWQiLDQyNC4xLCJNZWFzdXJlZCIsIlBpcGVsaW5lIE5hdHVyYWwgR2FzIiwsIlRhbmdlbnRpYWxseS1maXJlZCIsLCJMb3cgTk94IEJ1cm5lciBUZWNobm9sb2d5IHcvIFNlcGFyYXRlZCBPRkEiLCJFbGVjdHJvc3RhdGljIFByZWNpcGl0YXRvciIsLCJBUlAsIENTTk9YLCBDU09TRzJFLCBDU1NPMkcxLCBSR0dJIgo=
NY,Danskammer Generating Station,2480,3,1608,,2025-07-29,1,1,46,,0.3,Measured,0.001,Calculated,25.2,Measured,0.059,Calculated,48.9,Measured,0.115,Measured,424.8,Measured,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, RGGI",22539,3fc8c2b6f41d68a9299d25d7bc0a41f49bfd7ad7a5223667e4aee6b2f5b4c69c,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjMiLDE2MDgsLCIyMDI1LTA3LTI5IiwxLDEsNDYsLDAuMywiTWVhc3VyZWQiLDAuMDAxLCJDYWxjdWxhdGVkIiwyNS4yLCJNZWFzdXJlZCIsMC4wNTksIkNhbGN1bGF0ZWQiLDQ4LjksIk1lYXN1cmVkIiwwLjExNSwiTWVhc3VyZWQiLDQyNC44LCJNZWFzdXJlZCIsIlBpcGVsaW5lIE5hdHVyYWwgR2FzIiwsIlRhbmdlbnRpYWxseS1maXJlZCIsLCJMb3cgTk94IEJ1cm5lciBUZWNobm9sb2d5IHcvIFNlcGFyYXRlZCBPRkEiLCJFbGVjdHJvc3RhdGljIFByZWNpcGl0YXRvciIsLCJBUlAsIENTTk9YLCBDU09TRzJFLCBDU1NPMkcxLCBSR0dJIgo=
NY,Danskammer Generating Station,2480,3,1608,,2025-07-29,2,1,46,,0.3,Measured,0.001,Calculated,25.2,Measured,0.059,Calculated,49,Measured,0.115,Measured,425.8,Measured,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, RGGI",22540,f71b4e2dfcdc9a00cfa3d2d21937cf56bc3f0f0c04ed675fe11ed5f416eb694f,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjMiLDE2MDgsLCIyMDI1LTA3LTI5IiwyLDEsNDYsLDAuMywiTWVhc3VyZWQiLDAuMDAxLCJDYWxjdWxhdGVkIiwyNS4yLCJNZWFzdXJlZCIsMC4wNTksIkNhbGN1bGF0ZWQiLDQ5LCJNZWFzdXJlZCIsMC4xMTUsIk1lYXN1cmVkIiw0MjUuOCwiTWVhc3VyZWQiLCJQaXBlbGluZSBOYXR1cmFsIEdhcyIsLCJUYW5nZW50aWFsbHktZmlyZWQiLCwiTG93IE5PeCBCdXJuZXIgVGVjaG5vbG9neSB3LyBTZXBhcmF0ZWQgT0ZBIiwiRWxlY3Ryb3N0YXRpYyBQcmVjaXBpdGF0b3IiLCwiQVJQLCBDU05PWCwgQ1NPU0cyRSwgQ1NTTzJHMSwgUkdHSSIK
NY,Danskammer Generating Station,2480,3,1608,,2025-07-29,3,1,46,,0.3,Measured,0.001,Calculated,25.2,Measured,0.059,Calculated,49,Measured,0.115,Measured,425.8,Measured,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, RGGI",22541,af77aff4df59a9f69da68bba9cbb817ee058bdb49516006480763242f1bb027b,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjMiLDE2MDgsLCIyMDI1LTA3LTI5IiwzLDEsNDYsLDAuMywiTWVhc3VyZWQiLDAuMDAxLCJDYWxjdWxhdGVkIiwyNS4yLCJNZWFzdXJlZCIsMC4wNTksIkNhbGN1bGF0ZWQiLDQ5LCJNZWFzdXJlZCIsMC4xMTUsIk1lYXN1cmVkIiw0MjUuOCwiTWVhc3VyZWQiLCJQaXBlbGluZSBOYXR1cmFsIEdhcyIsLCJUYW5nZW50aWFsbHktZmlyZWQiLCwiTG93IE5PeCBCdXJuZXIgVGVjaG5vbG9neSB3LyBTZXBhcmF0ZWQgT0ZBIiwiRWxlY3Ryb3N0YXRpYyBQcmVjaXBpdGF0b3IiLCwiQVJQLCBDU05PWCwgQ1NPU0cyRSwgQ1NTTzJHMSwgUkdHSSIK
NY,Danskammer Generating Station,2480,3,1608,,2025-07-29,4,1,47,,0.3,Measured,0.001,Calculated,26.1,Measured,0.059,Calculated,50.1,Measured,0.114,Measured,439.4,Measured,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, RGGI",22542,70cebe17c6f4ca551fd55c6e392307b102a9b17d9e0ea6210338f48470add17c,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjMiLDE2MDgsLCIyMDI1LTA3LTI5Iiw0LDEsNDcsLDAuMywiTWVhc3VyZWQiLDAuMDAxLCJDYWxjdWxhdGVkIiwyNi4xLCJNZWFzdXJlZCIsMC4wNTksIkNhbGN1bGF0ZWQiLDUwLjEsIk1lYXN1cmVkIiwwLjExNCwiTWVhc3VyZWQiLDQzOS40LCJNZWFzdXJlZCIsIlBpcGVsaW5lIE5hdHVyYWwgR2FzIiwsIlRhbmdlbnRpYWxseS1maXJlZCIsLCJMb3cgTk94IEJ1cm5lciBUZWNobm9sb2d5IHcvIFNlcGFyYXRlZCBPRkEiLCJFbGVjdHJvc3RhdGljIFByZWNpcGl0YXRvciIsLCJBUlAsIENTTk9YLCBDU09TRzJFLCBDU1NPMkcxLCBSR0dJIgo=
NY,Danskammer Generating Station,2480,3,1608,,2025-07-29,5,1,46,,0.3,Measured,0.001,Calculated,25.3,Measured,0.059,Calculated,49,Measured,0.115,Measured,426.3,Measured,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, RGGI",22543,af3cd5312c0724f9c42979b3567ed5d56da5ce4921b90a6c73091cd38b3c35d0,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjMiLDE2MDgsLCIyMDI1LTA3LTI5Iiw1LDEsNDYsLDAuMywiTWVhc3VyZWQiLDAuMDAxLCJDYWxjdWxhdGVkIiwyNS4zLCJNZWFzdXJlZCIsMC4wNTksIkNhbGN1bGF0ZWQiLDQ5LCJNZWFzdXJlZCIsMC4xMTUsIk1lYXN1cmVkIiw0MjYuMywiTWVhc3VyZWQiLCJQaXBlbGluZSBOYXR1cmFsIEdhcyIsLCJUYW5nZW50aWFsbHktZmlyZWQiLCwiTG93IE5PeCBCdXJuZXIgVGVjaG5vbG9neSB3LyBTZXBhcmF0ZWQgT0ZBIiwiRWxlY3Ryb3N0YXRpYyBQcmVjaXBpdGF0b3IiLCwiQVJQLCBDU05PWCwgQ1NPU0cyRSwgQ1NTTzJHMSwgUkdHSSIK
NY,Danskammer Generating Station,2480,3,1608,,2025-07-29,6,1,46,,0.3,Measured,0.001,Calculated,25.2,Measured,0.059,Calculated,49.4,Measured,0.116,Measured,425.8,Measured,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, RGGI",22544,1acd5a52e8dae70f8f8e12165908e32f03e182dd4af85d4b22d208289b7c5b31,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjMiLDE2MDgsLCIyMDI1LTA3LTI5Iiw2LDEsNDYsLDAuMywiTWVhc3VyZWQiLDAuMDAxLCJDYWxjdWxhdGVkIiwyNS4yLCJNZWFzdXJlZCIsMC4wNTksIkNhbGN1bGF0ZWQiLDQ5LjQsIk1lYXN1cmVkIiwwLjExNiwiTWVhc3VyZWQiLDQyNS44LCJNZWFzdXJlZCIsIlBpcGVsaW5lIE5hdHVyYWwgR2FzIiwsIlRhbmdlbnRpYWxseS1maXJlZCIsLCJMb3cgTk94IEJ1cm5lciBUZWNobm9sb2d5IHcvIFNlcGFyYXRlZCBPRkEiLCJFbGVjdHJvc3RhdGljIFByZWNpcGl0YXRvciIsLCJBUlAsIENTTk9YLCBDU09TRzJFLCBDU1NPMkcxLCBSR0dJIgo=
NY,Danskammer Generating Station,2480,3,1608,,2025-07-29,7,1,46,,0.3,Measured,0.001,Calculated,25.2,Measured,0.059,Calculated,49.4,Measured,0.116,Measured,425.7,Measured,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, RGGI",22545,e7d3a5c106c1d12107557610d824aa7a594f007cdb007290b909478f67550ee0,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjMiLDE2MDgsLCIyMDI1LTA3LTI5Iiw3LDEsNDYsLDAuMywiTWVhc3VyZWQiLDAuMDAxLCJDYWxjdWxhdGVkIiwyNS4yLCJNZWFzdXJlZCIsMC4wNTksIkNhbGN1bGF0ZWQiLDQ5LjQsIk1lYXN1cmVkIiwwLjExNiwiTWVhc3VyZWQiLDQyNS43LCJNZWFzdXJlZCIsIlBpcGVsaW5lIE5hdHVyYWwgR2FzIiwsIlRhbmdlbnRpYWxseS1maXJlZCIsLCJMb3cgTk94IEJ1cm5lciBUZWNobm9sb2d5IHcvIFNlcGFyYXRlZCBPRkEiLCJFbGVjdHJvc3RhdGljIFByZWNpcGl0YXRvciIsLCJBUlAsIENTTk9YLCBDU09TRzJFLCBDU1NPMkcxLCBSR0dJIgo=
NY,Danskammer Generating Station,2480,3,1608,,2025-07-29,8,1,45,,0.2,Measured,0,Calculated,24.3,Measured,0.059,Calculated,46.8,Measured,0.114,Measured,410.7,Measured,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, RGGI",22546,100c8281a9ccd66b8719c5503837c4b8249787b0485ae255149e0ede11d9ebed,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjMiLDE2MDgsLCIyMDI1LTA3LTI5Iiw4LDEsNDUsLDAuMiwiTWVhc3VyZWQiLDAsIkNhbGN1bGF0ZWQiLDI0LjMsIk1lYXN1cmVkIiwwLjA1OSwiQ2FsY3VsYXRlZCIsNDYuOCwiTWVhc3VyZWQiLDAuMTE0LCJNZWFzdXJlZCIsNDEwLjcsIk1lYXN1cmVkIiwiUGlwZWxpbmUgTmF0dXJhbCBHYXMiLCwiVGFuZ2VudGlhbGx5LWZpcmVkIiwsIkxvdyBOT3ggQnVybmVyIFRlY2hub2xvZ3kgdy8gU2VwYXJhdGVkIE9GQSIsIkVsZWN0cm9zdGF0aWMgUHJlY2lwaXRhdG9yIiwsIkFSUCwgQ1NOT1gsIENTT1NHMkUsIENTU08yRzEsIFJHR0kiCg==
NY,Danskammer Generating Station,2480,3,1608,,2025-07-29,9,1,47,,0.3,Measured,0.001,Calculated,25.3,Measured,0.059,Calculated,50.4,Measured,0.118,Measured,427.5,Measured,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, RGGI",22547,422d9139618bdce77c55b5e1c050faa64b96b60242de8607fdfbac50cb6081d5,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjMiLDE2MDgsLCIyMDI1LTA3LTI5Iiw5LDEsNDcsLDAuMywiTWVhc3VyZWQiLDAuMDAxLCJDYWxjdWxhdGVkIiwyNS4zLCJNZWFzdXJlZCIsMC4wNTksIkNhbGN1bGF0ZWQiLDUwLjQsIk1lYXN1cmVkIiwwLjExOCwiTWVhc3VyZWQiLDQyNy41LCJNZWFzdXJlZCIsIlBpcGVsaW5lIE5hdHVyYWwgR2FzIiwsIlRhbmdlbnRpYWxseS1maXJlZCIsLCJMb3cgTk94IEJ1cm5lciBUZWNobm9sb2d5IHcvIFNlcGFyYXRlZCBPRkEiLCJFbGVjdHJvc3RhdGljIFByZWNpcGl0YXRvciIsLCJBUlAsIENTTk9YLCBDU09TRzJFLCBDU1NPMkcxLCBSR0dJIgo=
