scenario_id,vintage,timestamp,timestamp_utc,source_time_zone,scale_factor_gamma,selection_role
S1_2019_SUMMER_PEAK_PUBLIC,2019,2019-07-20 16:00,2019-07-20T20:00:00Z,EDT,0.358662225381536,historical_or_revisited_diagnostic
S2_2019_WINTER_PEAK_PUBLIC,2019,2019-01-21 18:00,2019-01-21T23:00:00Z,EST,0.358662225381536,historical_or_revisited_diagnostic
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,2019-04-21 04:00,2019-04-21T08:00:00Z,EDT,0.358662225381536,historical_or_revisited_diagnostic
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019,2019-07-17 16:00,2019-07-17T20:00:00Z,EDT,0.358662225381536,historical_or_revisited_diagnostic
S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019,2019-07-17 08:00,2019-07-17T12:00:00Z,EDT,0.358662225381536,historical_or_revisited_diagnostic
S6_2019_LOW_TOTAL_EAST_PUBLIC,2019,2019-07-27 02:00,2019-07-27T06:00:00Z,EDT,0.358662225381536,historical_or_revisited_diagnostic
S1_2025_SUMMER_PEAK_PUBLIC,2025,2025-07-29 18:00,2025-07-29T22:00:00Z,EDT,0.355758660106238,historical_or_revisited_diagnostic
S2_2025_WINTER_PEAK_PUBLIC,2025,2025-01-22 18:00,2025-01-22T23:00:00Z,EST,0.355758660106238,historical_or_revisited_diagnostic
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025,2025-04-20 13:00,2025-04-20T17:00:00Z,EDT,0.355758660106238,historical_or_revisited_diagnostic
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025,2025-07-29 17:00,2025-07-29T21:00:00Z,EDT,0.355758660106238,historical_or_revisited_diagnostic
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025,2025-07-17 16:00,2025-07-17T20:00:00Z,EDT,0.355758660106238,historical_or_revisited_diagnostic
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025,2025-07-27 17:00,2025-07-27T21:00:00Z,EDT,0.355758660106238,historical_or_revisited_diagnostic
V1_2025_JAN15_EVENING,2025,2025-01-15 18:00,2025-01-15T23:00:00Z,EST,0.355758660106238,preregistered_calendar_validation
V2_2025_APR15_MIDDAY,2025,2025-04-15 13:00,2025-04-15T17:00:00Z,EDT,0.355758660106238,preregistered_calendar_validation
V3_2025_JUL15_EVENING,2025,2025-07-15 18:00,2025-07-15T22:00:00Z,EDT,0.355758660106238,preregistered_calendar_validation
V4_2025_JUL25_NIGHT,2025,2025-07-25 04:00,2025-07-25T08:00:00Z,EDT,0.355758660106238,preregistered_calendar_validation
