branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,61.3817618121309,52.0711802846463,0,0,-0.38877222932405,-360,360,0,0,0,0,7.105427357601e-15,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,1139.15881954994,1130.45889782279,0,0,4.03444922930058,-360,360,0,0,0,0,2.27817331817184e-13,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,163.30199340408,163.505330307313,0,0,-2.37585815235537,-360,360,0,0,0,0,2.92964275105423e-14,0
4,NPCC_S7:BRANCH_ROW:36,37,43,0,3745.98196383403,0,0,0,0,-5.59101892377935,-360,360,0,0,0,0,0,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,184.559783359006,192.802130453717,0,0,-4.2512558297758,-360,360,0,0,0,0,7.105427357601e-15,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,748.535505310766,741.569671570759,0,0,6.68121902201584,-360,360,0,0,0,0,3.5527136788005e-14,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,748.535505310766,741.569671570759,0,0,6.68121902201584,-360,360,0,0,0,0,3.5527136788005e-14,0
8,NPCC_S7:BRANCH_ROW:40,40,44,0,1328.76341358641,0,0,0,0,-1.6737925209108,-360,360,0,0,0,0,0,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,551.661650732029,556.349427525049,0,0,-2.45898532424586,-360,360,0,0,0,0,1.77635683940025e-15,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,19.7278764590023,13.859601513309,0,0,1.82217353554811,-360,360,0,0,0,0,2.30926389122033e-14,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,303.264514627767,301.189531360047,0,0,1.54136825051318,-360,360,0,0,0,0,5.6843418860808e-14,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,157.249378449799,163.801989538456,0,0,-2.03721097680774,-360,360,0,0,0,0,2.84225767789075e-14,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,157.249378449799,163.801989538456,0,0,-2.03721097680774,-360,360,0,0,0,0,2.84225767789075e-14,0
14,NPCC_S7:BRANCH_ROW:46,44,45,1,2500,279.487716444625,274.790429942886,0,0,2.60922604763687,-360,360,0,0,0,0,1.14571573537582e-13,0
15,NPCC_S7:BRANCH_ROW:47,44,48,0,6896.14528055676,0,0,0,0,-27.5624439169311,-360,360,0,0,0,0,0,0
16,NPCC_S7:BRANCH_ROW:48,45,46,1,2040.85471944324,118.904015980653,124.065302120697,0,0,-23.4027149347228,-360,360,0,0,0,0,2.00971834711523e-14,0
17,NPCC_S7:BRANCH_ROW:49,45,51,1,489.56239109923,45.695279604498,48.160910318797,0,0,-4.61645341591603,-360,360,0,0,0,0,2.8477166477148e-14,0
18,NPCC_S7:BRANCH_ROW:50,45,71,1,166.495119914644,21.6272997464382,25.0602995812541,0,0,-6.56362692331521,-360,360,0,0,0,0,1.77635683940025e-15,0
