variant_id,scenario_id,passed,topology_and_injections_rebuilt,generation_prior_rebuilt,independent_pf_audit_passed,dispatch_difference_mw,voltage_difference_pu,flow_difference_mw
nominal,S1_2025_SUMMER_PEAK_PUBLIC,1,1,1,1,0,2.22044604925031e-16,4.54747350886464e-12
nominal,S2_2025_WINTER_PEAK_PUBLIC,1,1,1,1,2.8421709430404e-14,2.22044604925031e-16,2.72848410531878e-12
nominal,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,1,1,1,1,2.8421709430404e-14,2.22044604925031e-16,2.27373675443232e-13
nominal,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,1,1,1,0,2.22044604925031e-16,4.09272615797818e-12
nominal,S6_2025_LOW_TOTAL_EAST_PUBLIC,1,1,1,1,0,2.22044604925031e-16,3.86535248253495e-12
nominal,V1_2025_JAN15_EVENING,1,1,1,1,5.6843418860808e-14,2.22044604925031e-16,5.34328137291595e-12
nominal,V2_2025_APR15_MIDDAY,1,1,1,1,0,2.22044604925031e-16,9.09494701772928e-13
nominal,V3_2025_JUL15_EVENING,1,1,1,1,0,2.22044604925031e-16,6.82121026329696e-13
nominal,V4_2025_JUL25_NIGHT,1,1,1,1,0,1.11022302462516e-16,9.09494701772928e-13
impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,1,1,1,1,4.54747350886464e-13,2.22044604925031e-16,7.50333128962666e-12
impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,1,1,1,1,0,2.22044604925031e-16,3.18323145620525e-12
charging_000,S1_2025_SUMMER_PEAK_PUBLIC,1,1,1,1,0,2.22044604925031e-16,3.86535248253495e-12
charging_150,S1_2025_SUMMER_PEAK_PUBLIC,1,1,1,1,5.6843418860808e-14,2.22044604925031e-16,5.6843418860808e-14
rating_080,S1_2025_SUMMER_PEAK_PUBLIC,1,1,1,1,0,2.22044604925031e-16,5.6843418860808e-12
rating_120,S1_2025_SUMMER_PEAK_PUBLIC,1,1,1,1,5.6843418860808e-14,2.22044604925031e-16,9.32232069317251e-12
