branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,122.407427340948,122.442898116436,0,0,-0.939718911260143,-360,360,0,0,0,0,1.57629325847813e-12,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,971.456647145236,965.2240658959,0,0,3.43266108267418,-360,360,0,0,0,0,3.16366310514514e-12,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,83.1168907404541,87.9230462508761,0,0,0.40626234407836,-360,360,0,0,0,0,7.96093298783076e-13,0
4,NPCC_S7:BRANCH_ROW:36,37,43,0,3745.98196383403,0,0,0,0,-5.3729080710574,-360,360,0,0,0,0,0,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,415.909968524331,424.489960577875,0,0,-9.74175480158945,-360,360,0,0,0,0,1.14571573537582e-13,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,663.630143364161,658.98579315566,0,0,5.84252346840019,-360,360,0,0,0,0,1.13908665908592e-13,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,663.630143364161,658.98579315566,0,0,5.84252346840019,-360,360,0,0,0,0,1.13908665908592e-13,0
8,NPCC_S7:BRANCH_ROW:40,40,44,0,1328.76341358641,0,0,0,0,-3.7195610609557,-360,360,0,0,0,0,0,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,227.400800743734,229.031415252086,0,0,-1.06607438005948,-360,360,0,0,0,0,0,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,21.5293324975027,20.4625707921148,0,0,-2.14954829497311,-360,360,0,0,0,0,1.07263862985856e-13,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,396.936655434059,394.543326624122,0,0,2.05960935418006,-360,360,0,0,0,0,1.56422719394607e-12,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,509.323745628513,513.118988042374,0,0,-6.60802595373038,-360,360,0,0,0,0,8.27774663276313e-13,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,509.323745628513,513.118988042374,0,0,-6.60802595373038,-360,360,0,0,0,0,8.27774663276313e-13,0
14,NPCC_S7:BRANCH_ROW:46,44,45,1,2500,324.197991319798,319.649248527817,0,0,3.12788531546353,-360,360,0,0,0,0,7.89821867305719e-13,0
15,NPCC_S7:BRANCH_ROW:47,44,48,0,6896.14528055676,0,0,0,0,-5.55864883971563,-360,360,0,0,0,0,0,0
16,NPCC_S7:BRANCH_ROW:48,45,46,1,2040.85471944324,41.4875504990889,46.0463133700883,0,0,-7.87941971213379,-360,360,0,0,0,0,5.00226627775956e-14,0
17,NPCC_S7:BRANCH_ROW:49,45,51,1,489.56239109923,106.644909334421,109.605835568771,0,0,-10.7037705796198,-360,360,0,0,0,0,2.94425452624135e-13,0
18,NPCC_S7:BRANCH_ROW:50,45,71,1,166.495119914644,44.3639502378755,48.4594000675511,0,0,-13.4526656354599,-360,360,0,0,0,0,4.9737991503207e-14,0
19,NPCC_S7:BRANCH_ROW:51,46,47,1,2500,68.7578549133629,71.5549952947814,0,0,-4.55321965477211,-360,360,0,0,0,0,1.02537496286898e-13,0
