branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,17.4580567185838,22.4732366836697,0,0,-0.138123676955563,-360,360,0,0,0,0,9.45649365335027e-14,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,1116.38464147731,1107.35787354304,0,0,4.5969339705781,-360,360,0,0,0,0,2.30132496038517e-13,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,178.45389304271,178.03853759014,0,0,-3.09461204068148,-360,360,0,0,0,0,0,0
4,NPCC_S7:BRANCH_ROW:36,37,43,0,3745.98196383403,0,0,0,0,-6.26795541192639,-360,360,0,0,0,0,0,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,318.000590255659,325.732219702995,0,0,-8.72090855171685,-360,360,0,0,0,0,5.6843418860808e-14,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,669.675408857899,664.321660175914,0,0,6.93316980999201,-360,360,0,0,0,0,2.8421709430404e-14,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,669.675408857899,664.321660175914,0,0,6.93316980999201,-360,360,0,0,0,0,2.8421709430404e-14,0
8,NPCC_S7:BRANCH_ROW:40,40,44,0,1328.76341358641,0,0,0,0,-2.53314138617228,-360,360,0,0,0,0,0,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,224.41894400912,225.844076958258,0,0,-1.17636168899276,-360,360,0,0,0,0,2.92964275105423e-14,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,13.3358181828086,9.07313519173094,0,0,-0.925540587073569,-360,360,0,0,0,0,4.44089209850063e-16,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,106.385955453232,106.254131440182,0,0,0.640201985072633,-360,360,0,0,0,0,1.43214466921978e-14,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,389.316157602811,393.187953695478,0,0,-5.8304289154723,-360,360,0,0,0,0,5.6843418860808e-14,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,389.316157602811,393.187953695478,0,0,-5.8304289154723,-360,360,0,0,0,0,5.6843418860808e-14,0
14,NPCC_S7:BRANCH_ROW:46,44,45,1,2500,50.0817932826618,49.7790431127322,0,0,0.449209748595753,-360,360,0,0,0,0,7.94410929039127e-15,0
15,NPCC_S7:BRANCH_ROW:47,44,48,0,6896.14528055676,0,0,0,0,-0.43263730817968,-360,360,0,0,0,0,0,0
16,NPCC_S7:BRANCH_ROW:48,45,46,1,2040.85471944324,9.81079660554745,14.5029350894486,0,0,-1.97583051863769,-360,360,0,0,0,0,0,0
17,NPCC_S7:BRANCH_ROW:49,45,51,1,489.56239109923,62.0352098747226,64.4557315454385,0,0,-7.10074806732619,-360,360,0,0,0,0,7.94410929039127e-15,0
18,NPCC_S7:BRANCH_ROW:50,45,71,1,166.495119914644,22.3753074934209,26.7193040244219,0,0,-8.0116173245214,-360,360,0,0,0,0,1.77635683940025e-15,0
19,NPCC_S7:BRANCH_ROW:51,46,47,1,2500,38.9504883550632,41.7473958520157,0,0,-3.04235610245797,-360,360,0,0,0,0,3.5527136788005e-15,0
20,NPCC_S7:BRANCH_ROW:52,46,49,1,2500,15.9128225274461,15.052266594938,0,0,5.15795715675037,-360,360,0,0,0,0,1.80731214395321e-15,0
21,NPCC_S7:BRANCH_ROW:53,47,48,1,2500,218.499159647887,217.028757141328,0,0,4.13633956432023,-360,360,0,0,0,0,2.8421709430404e-14,0
22,NPCC_S7:BRANCH_ROW:54,50,51,1,2500,41.2541799191035,40.9313709352903,0,0,-0.180907418185503,-360,360,0,0,0,0,0,0
23,NPCC_S7:BRANCH_ROW:55,50,52,1,2858.06690137886,236.597854835572,242.645883383427,0,0,-2.89371786059595,-360,360,0,0,0,0,3.17764371615651e-14,0
24,NPCC_S7:BRANCH_ROW:56,51,53,1,290.964700741948,22.0083524698139,28.330109699716,0,0,-3.06870675204399,-360,360,0,0,0,0,3.5527136788005e-15,0
25,NPCC_S7:BRANCH_ROW:57,51,72,1,2500,74.9056368448983,77.7851694631385,0,0,-1.01387574784067,-360,360,0,0,0,0,1.4238583238574e-14,0
26,NPCC_S7:BRANCH_ROW:58,52,53,1,2500,24.6115918614439,24.4377601769913,0,0,-0.355896309633543,-360,360,0,0,0,0,3.5527136788005e-15,0
27,NPCC_S7:BRANCH_ROW:59,53,55,1,997.983883346124,25.5809807463628,32.5417930922831,0,0,-1.60605521378503,-360,360,0,0,0,0,8.67509829097541e-14,0
28,NPCC_S7:BRANCH_ROW:60,53,65,1,785.968397879188,25.1995985917444,24.1764067344004,0,0,1.19989850669188,-360,360,0,0,0,0,3.66205343881779e-15,0
29,NPCC_S7:BRANCH_ROW:61,54,56,1,789.941803,40.0425373469782,41.5387525815764,0,0,-0.225803409082642,-360,360,0,0,0,0,7.94410929039127e-15,0
30,NPCC_S7:BRANCH_ROW:62,54,62,1,789.941803,32.1945626857553,29.2422105776935,0,0,1.18021000825566,-360,360,0,0,0,0,8.74754295825051e-14,0
31,NPCC_S7:BRANCH_ROW:65,55,57,1,789.941803,21.7706970314199,21.6598090206697,0,0,0.499575309315425,-360,360,0,0,0,0,1.77805605569387e-13,0
32,NPCC_S7:BRANCH_ROW:66,55,59,1,789.941803,11.7106819513625,11.7459655791214,0,0,0.538968547585259,-360,360,0,0,0,0,8.89711979083502e-14,0
