branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,81.4996707312931,75.1199253540243,0,0,-0.567974731274771,-360,360,0,0,0,0,2.71149103569601e-13,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,410.148525472431,421.7398997644,0,0,1.37895403290468,-360,360,0,0,0,0,3.20145041776612e-12,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,91.5006701097009,94.3986778728199,0,0,-1.1655466441643,-360,360,0,0,0,0,7.7774412267081e-13,0
4,NPCC_S7:BRANCH_ROW:36,37,43,0,3745.98196383403,0,0,0,0,0.268555857644346,-360,360,0,0,0,0,0,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,40.3190992478517,55.3394873669909,0,0,0.0848981560728719,-360,360,0,0,0,0,3.93414918966309e-13,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,306.234480008774,310.484486436387,0,0,2.56878952402177,-360,360,0,0,0,0,2.87396750538799e-13,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,306.234480008774,310.484486436387,0,0,2.56878952402177,-360,360,0,0,0,0,2.87396750538799e-13,0
8,NPCC_S7:BRANCH_ROW:40,40,44,0,1328.76341358641,0,0,0,0,2.13894128255476,-360,360,0,0,0,0,0,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,498.798217657565,501.008290899223,0,0,-2.29657753352184,-360,360,0,0,0,0,5.85928550210846e-14,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,54.0120151280112,47.7293557934558,0,0,5.92678820622621,-360,360,0,0,0,0,1.46482137552712e-14,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,141.76651014801,141.159969303102,0,0,0.704838780746112,-360,360,0,0,0,0,2.8421709430404e-14,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,94.9461748773143,136.74063635229,0,0,-0.585312164255534,-360,360,0,0,0,0,1.4210854715202e-14,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,94.9461748773143,136.74063635229,0,0,-0.585312164255534,-360,360,0,0,0,0,1.4210854715202e-14,0
14,NPCC_S7:BRANCH_ROW:46,44,45,1,2500,258.652176050442,256.534596437991,0,0,2.52145101628683,-360,360,0,0,0,0,1.14571573537582e-13,0
15,NPCC_S7:BRANCH_ROW:47,44,48,0,6896.14528055676,0,0,0,0,1.34034625806001,-360,360,0,0,0,0,0,0
16,NPCC_S7:BRANCH_ROW:48,45,46,1,2040.85471944324,15.916512073735,16.7347655816147,0,0,-2.3403755755106,-360,360,0,0,0,0,2.68811567679378e-14,0
17,NPCC_S7:BRANCH_ROW:49,45,51,1,489.56239109923,26.3558982042978,30.6667673588745,0,0,-2.72680850240375,-360,360,0,0,0,0,2.16103136462856e-14,0
18,NPCC_S7:BRANCH_ROW:50,45,71,1,166.495119914644,16.9051660949805,21.5102016283955,0,0,-5.27623850605481,-360,360,0,0,0,0,2.4572072384827e-14,0
19,NPCC_S7:BRANCH_ROW:51,46,47,1,2500,42.2377915594732,45.2862032227619,0,0,-2.85316111746612,-360,360,0,0,0,0,4.2632564145606e-14,0
20,NPCC_S7:BRANCH_ROW:52,46,49,1,2500,16.5862458735292,16.4231418476193,0,0,4.55246101813048,-360,360,0,0,0,0,7.105427357601e-15,0
