branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,143.129604754447,139.864978753453,0,0,-1.06881228267721,-360,360,0,0,0,0,8.55606755492907e-14,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,655.019428402705,653.719342455783,0,0,2.3118404326023,-360,360,0,0,0,0,1.13908665908592e-13,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,103.070795584235,105.669614483655,0,0,-1.29609398264706,-360,360,0,0,0,0,1.4210854715202e-14,0
4,NPCC_S7:BRANCH_ROW:36,37,43,0,3745.98196383403,0,0,0,0,-2.61244670215146,-360,360,0,0,0,0,0,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,180.796996760018,189.028025570359,0,0,-4.16046534542511,-360,360,0,0,0,0,5.85928550210846e-14,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,481.101710146828,477.239339959157,0,0,4.26281666055256,-360,360,0,0,0,0,2.87945197185765e-13,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,481.101710146828,477.239339959157,0,0,4.26281666055256,-360,360,0,0,0,0,2.87945197185765e-13,0
8,NPCC_S7:BRANCH_ROW:40,40,44,0,1328.76341358641,0,0,0,0,-0.125254589638499,-360,360,0,0,0,0,0,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,522.824050555149,526.148755045545,0,0,-2.40110025244854,-360,360,0,0,0,0,4.55246677109964e-13,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,31.2499915956664,23.8700024713536,0,0,3.14737680941626,-360,360,0,0,0,0,8.88178419700125e-16,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,229.739913522381,228.688876216406,0,0,1.19109812986589,-360,360,0,0,0,0,7.105427357601e-15,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,130.37149675994,163.220993341777,0,0,-1.33389621318088,-360,360,0,0,0,0,1.4210854715202e-14,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,130.37149675994,163.220993341777,0,0,-1.33389621318088,-360,360,0,0,0,0,1.4210854715202e-14,0
14,NPCC_S7:BRANCH_ROW:46,44,45,1,2500,268.821839090375,265.69167952094,0,0,2.60916485457746,-360,360,0,0,0,0,5.72857867687912e-14,0
15,NPCC_S7:BRANCH_ROW:47,44,48,0,6896.14528055676,0,0,0,0,-13.5055261064133,-360,360,0,0,0,0,0,0
16,NPCC_S7:BRANCH_ROW:48,45,46,1,2040.85471944324,67.4569042228646,73.5035015558149,0,0,-13.0856945635984,-360,360,0,0,0,0,1.4210854715202e-14,0
17,NPCC_S7:BRANCH_ROW:49,45,51,1,489.56239109923,37.2805892569518,40.4092501359593,0,0,-3.84668468302772,-360,360,0,0,0,0,2.1316282072803e-14,0
18,NPCC_S7:BRANCH_ROW:50,45,71,1,166.495119914644,23.6244074300045,27.2859189269029,0,0,-7.21729619828606,-360,360,0,0,0,0,3.66205343881779e-15,0
19,NPCC_S7:BRANCH_ROW:51,46,47,1,2500,91.7801486560944,95.039043405859,0,0,-6.08114200379788,-360,360,0,0,0,0,1.03456583947271e-13,0
20,NPCC_S7:BRANCH_ROW:52,46,49,1,2500,10.913945983291,8.97059617948126,0,0,2.74042518592895,-360,360,0,0,0,0,1.271677968553e-14,0
21,NPCC_S7:BRANCH_ROW:53,47,48,1,2500,198.473716303553,196.258088415773,0,0,3.05214560640557,-360,360,0,0,0,0,3.22260702615966e-13,0
22,NPCC_S7:BRANCH_ROW:54,50,51,1,2500,125.769043151103,126.351379344855,0,0,1.28747451459651,-360,360,0,0,0,0,2.8421709430404e-14,0
23,NPCC_S7:BRANCH_ROW:55,50,52,1,2858.06690137886,374.224485056873,355.379900222921,0,0,4.0078913219845,-360,360,0,0,0,0,1.52162357738696e-12,0
24,NPCC_S7:BRANCH_ROW:56,51,53,1,290.964700741948,70.3878894826355,62.5976392873241,0,0,7.76562085846431,-360,360,0,0,0,0,1.43214466921978e-14,0
25,NPCC_S7:BRANCH_ROW:57,51,72,1,2500,220.367535357466,224.548895503933,0,0,-2.6060346611344,-360,360,0,0,0,0,3.5527136788005e-15,0
26,NPCC_S7:BRANCH_ROW:58,52,53,1,2500,258.981579636217,256.298523236287,0,0,5.04520405107632,-360,360,0,0,0,0,4.05293632533699e-13,0
27,NPCC_S7:BRANCH_ROW:59,53,55,1,997.983883346124,41.544195888052,42.4446659904792,0,0,-2.11425087955585,-360,360,0,0,0,0,7.105427357601e-15,0
28,NPCC_S7:BRANCH_ROW:60,53,65,1,785.968397879188,13.5589049315582,16.2473675620462,0,0,-0.656746159102827,-360,360,0,0,0,0,4.52883909360294e-14,0
29,NPCC_S7:BRANCH_ROW:61,54,56,1,789.941803,63.5522293795462,64.8684395293341,0,0,-0.292192187973153,-360,360,0,0,0,0,7.105427357601e-15,0
30,NPCC_S7:BRANCH_ROW:62,54,62,1,789.941803,19.4269804826127,16.589622847053,0,0,0.568783762177807,-360,360,0,0,0,0,3.5527136788005e-15,0
31,NPCC_S7:BRANCH_ROW:65,55,57,1,789.941803,39.6002595893762,39.3056920613811,0,0,0.806027833943774,-360,360,0,0,0,0,7.71887857460736e-13,0
32,NPCC_S7:BRANCH_ROW:66,55,59,1,789.941803,14.3196908424754,14.7563813840555,0,0,0.576705361775561,-360,360,0,0,0,0,5.55111512312578e-16,0
33,NPCC_S7:BRANCH_ROW:67,56,58,1,2500,196.395544263924,196.750063643461,0,0,1.42829603857218,-360,360,0,0,0,0,2.8421709430404e-14,0
34,NPCC_S7:BRANCH_ROW:68,57,59,1,2500,6.46074203253995,8.58485186133453,0,0,-0.229322472168213,-360,360,0,0,0,0,1.95278099535979e-13,0
35,NPCC_S7:BRANCH_ROW:69,58,60,1,2500,46.8835988327538,31.6589886273155,0,0,-0.502760560891579,-360,360,0,0,0,0,4.67286527266918e-14,0
36,NPCC_S7:BRANCH_ROW:70,58,62,1,2500,65.3302526722246,64.9489529604374,0,0,-0.56732008842122,-360,360,0,0,0,0,1.43214466921978e-14,0
37,NPCC_S7:BRANCH_ROW:71,59,61,1,2500,16.3726915311598,17.7653329347695,0,0,-1.29490304606874,-360,360,0,0,0,0,8.88178419700125e-16,0
38,NPCC_S7:BRANCH_ROW:73,62,63,1,620,48.4630757104694,49.5206785715316,0,0,-1.94210411646222,-360,360,0,0,0,0,2.8477166477148e-14,0
39,NPCC_S7:BRANCH_ROW:74,63,64,1,2500,87.4109301162324,86.8319508218587,0,0,1.95942038973294,-360,360,0,0,0,0,1.13742335326934e-13,0
40,NPCC_S7:BRANCH_ROW:75,63,67,1,2500,134.164838933356,135.801242734655,0,0,-6.0835021642418,-360,360,0,0,0,0,3.93482728350222e-13,0
41,NPCC_S7:BRANCH_ROW:76,64,65,1,2500,62.3777106702661,60.7909224002113,0,0,2.63225520593024,-360,360,0,0,0,0,1.43214466921978e-14,0
42,NPCC_S7:BRANCH_ROW:77,64,68,1,2500,59.1452886172981,64.312671427743,0,0,-7.58611795072488,-360,360,0,0,0,0,1.4210854715202e-14,0
43,NPCC_S7:BRANCH_ROW:78,66,67,1,2500,74.7183647882318,74.3864249446236,0,0,0.778607095589104,-360,360,0,0,0,0,7.90748195011777e-13,0
44,NPCC_S7:BRANCH_ROW:79,66,69,1,2500,138.296057631662,136.046511361691,0,0,1.77450092876611,-360,360,0,0,0,0,2.8421709430404e-14,0
45,NPCC_S7:BRANCH_ROW:81,67,68,1,2500,25.4778542571486,25.3064055044213,0,0,0.456804603249857,-360,360,0,0,0,0,3.90814653032958e-13,0
46,NPCC_S7:BRANCH_ROW:82,67,70,1,2500,6.77955782741194,19.8395311694776,0,0,0.0901508067843479,-360,360,0,0,0,0,5.08671187421198e-14,0
47,NPCC_S7:BRANCH_ROW:84,68,71,1,2500,0.402647062657373,8.57822123493371,0,0,-0.261113057964704,-360,360,0,0,0,0,5.59431511413976e-17,0
48,NPCC_S7:BRANCH_ROW:85,69,71,1,2500,76.0601288050781,74.6083397374795,0,0,-0.800202287891855,-360,360,0,0,0,0,1.00485917355762e-14,0
49,NPCC_S7:BRANCH_ROW:86,70,71,1,2500,19.8395311694787,19.6806314703467,0,0,0.105540738500804,-360,360,0,0,0,0,3.94495220987531e-13,0
50,NPCC_S7:BRANCH_ROW:87,71,72,1,2500,110.809757489706,108.808130583779,0,0,0.764576854123941,-360,360,0,0,0,0,3.83841078502963e-13,0
51,NPCC_S7:BRANCH_ROW:88,73,74,0,1599.84337349398,0,0,0,0,2.9365602799029,-360,360,0,0,0,0,0,0
52,NPCC_S7:BRANCH_ROW:89,73,74,0,1599.84337349398,0,0,0,0,2.9365602799029,-360,360,0,0,0,0,0,0
53,NPCC_S7:BRANCH_ROW:90,74,77,1,2500,114.538988117654,116.241666515222,0,0,-0.249648539400061,-360,360,0,0,0,0,1.51920367848948e-12,0
54,NPCC_S7:BRANCH_ROW:91,74,78,1,2889.50495049505,403.579905658557,408.056050850521,0,0,0.895142527031652,-360,360,0,0,0,0,5.85928550210846e-14,0
55,NPCC_S7:BRANCH_ROW:92,74,78,1,2889.50495049505,403.579905658557,408.056050850521,0,0,0.895142527031652,-360,360,0,0,0,0,5.85928550210846e-14,0
56,NPCC_S7:BRANCH_ROW:94,76,77,0,4611.31325301205,0,0,0,0,0.475894612165094,-360,360,0,0,0,0,0,0
57,NPCC_S7:BRANCH_ROW:95,78,79,0,908.848753535103,0,0,0,0,1.75396792554166,-360,360,0,0,0,0,0,0
58,NPCC_S7:BRANCH_ROW:96,78,80,1,984.654731457801,29.0794124338268,27.0431862024889,0,0,0.0189025354638304,-360,360,0,0,0,0,9.53187245695427e-14,0
59,NPCC_S7:BRANCH_ROW:97,78,81,0,503.818330764024,0,0,0,0,-1.88251377054758,-360,360,0,0,0,0,0,0
60,NPCC_S7:BRANCH_ROW:98,78,82,1,451.473569126203,161.1277063669,160.934649476204,0,0,2.53582802421288,-360,360,0,0,0,0,2.8701358857675e-14,0
61,NPCC_S7:BRANCH_ROW:219,40,41,1,2500,147.442206857976,144.948137509127,0,0,-0.663466544477304,-360,360,0,0,0,0,6.35528743231302e-14,0
62,NPCC_S7:BRANCH_ROW:220,49,48,0,2500,0,0,0,0,-5.76942158332126,-360,360,0,0,0,0,0,0
63,NPCC_S7:BRANCH_ROW:222,54,52,1,4583.01611665388,101.193899238268,100.879794269869,0,0,-1.17010265059473,-360,360,0,0,0,0,7.6395736276229e-13,0
64,NPCC_S7:BRANCH_ROW:223,54,55,1,2500,272.705583439809,271.694328672004,0,0,1.76085052092574,-360,360,0,0,0,0,1.7495085916501e-13,0
65,NPCC_S7:BRANCH_ROW:224,56,57,1,2500,41.2767187195483,40.879349329924,0,0,2.85907054284267,-360,360,0,0,0,0,9.91940626792838e-14,0
66,NPCC_S7:BRANCH_ROW:225,58,59,1,2500,264.2938291301,262.977588160021,0,0,1.20145203210228,-360,360,0,0,0,0,3.47003931639017e-13,0
67,NPCC_S7:BRANCH_ROW:226,60,61,1,2500,16.8838349026466,16.7822268509148,0,0,0.409309546925117,-360,360,0,0,0,0,7.1607233460989e-14,0
68,NPCC_S7:BRANCH_ROW:227,75,76,1,2500,147.919240490131,147.906816770173,0,0,0.555206977304142,-360,360,0,0,0,0,3.04508992019099e-12,0
69,NPCC_S7:BRANCH_ROW:234,38,39,1,1216,357.491019236913,360.702708739171,0,0,3.3806527152795,-360,360,0,0,0,0,1.13742335326934e-13,0
70,NPCC_S7:BRANCH_ROW:235,73,9002,0,2432,0,0,0,0,1.53518779667266,-360,360,0,0,0,0,0,0
71,NPCC_S7:BRANCH_ROW:236,9002,74,0,2432,0,0,0,0,1.40137248323024,-360,360,0,0,0,0,0,0
72,NPCC_S7:BRANCH_ROW:237,74,78,1,866.851485148515,122.4866695097,121.921140970795,0,0,0.895142527031652,-360,360,0,0,0,0,1.46482137552712e-14,0
73,NPCC_S7:BRANCH_ROW:238,77,78,1,650.138613861386,114.866177384104,114.399420043156,0,0,1.14479106643171,-360,360,0,0,0,0,3.82638973458036e-13,0
74,NPCC_S7:BRANCH_ROW:239,78,81,0,1158.78216075726,0,0,0,0,-1.88251377054758,-360,360,0,0,0,0,0,0
