branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,163.235781027255,170.735881356028,0,0,-1.44026852848454,-360,360,0,0,0,0,3.17764371615651e-14,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,423.477519582972,434.33445239969,0,0,1.57511391978168,-360,360,0,0,0,0,1.13686837721616e-13,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,87.6396608300859,83.2506925195714,0,0,-0.137268187731509,-360,360,0,0,0,0,1.4210854715202e-14,0
4,NPCC_S7:BRANCH_ROW:36,37,43,0,3745.98196383403,0,0,0,0,-1.70215418928903,-360,360,0,0,0,0,0,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,236.455379963193,257.737981309995,0,0,-6.48838017045593,-360,360,0,0,0,0,4.01943669423046e-14,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,341.672215936594,341.517602235948,0,0,3.34430083736043,-360,360,0,0,0,0,5.85928550210846e-14,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,341.672215936594,341.517602235948,0,0,3.34430083736043,-360,360,0,0,0,0,5.85928550210846e-14,0
8,NPCC_S7:BRANCH_ROW:40,40,44,0,1328.76341358641,0,0,0,0,-0.456412254092781,-360,360,0,0,0,0,0,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,391.925789335064,395.716447347788,0,0,-1.24520586590669,-360,360,0,0,0,0,6.35528743231302e-14,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,24.3864092711162,30.8886345783345,0,0,2.01662430241352,-360,360,0,0,0,0,1.09631586470083e-13,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,190.670999058566,191.575671281482,0,0,1.10847374746474,-360,360,0,0,0,0,7.105427357601e-15,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,332.058172278728,340.417260032182,0,0,-4.04728567926362,-360,360,0,0,0,0,7.47658443627069e-13,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,332.058172278728,340.417260032182,0,0,-4.04728567926362,-360,360,0,0,0,0,7.47658443627069e-13,0
14,NPCC_S7:BRANCH_ROW:46,44,45,1,2500,225.602618913553,225.248975132755,0,0,2.4990509330693,-360,360,0,0,0,0,7.30521215939957e-13,0
15,NPCC_S7:BRANCH_ROW:47,44,48,0,6896.14528055676,0,0,0,0,5.03454878978281,-360,360,0,0,0,0,0,0
16,NPCC_S7:BRANCH_ROW:48,45,46,1,2040.85471944324,15.1915286222906,24.255314134819,0,0,1.91900847253421,-360,360,0,0,0,0,4.88740301285788e-14,0
17,NPCC_S7:BRANCH_ROW:49,45,51,1,489.56239109923,71.239460379625,73.9363399310616,0,0,-6.23269533403937,-360,360,0,0,0,0,1.04970515499006e-13,0
18,NPCC_S7:BRANCH_ROW:50,45,71,1,166.495119914644,32.9088383093785,37.4892436270713,0,0,-11.4474613656495,-360,360,0,0,0,0,4.67286527266918e-14,0
19,NPCC_S7:BRANCH_ROW:51,46,47,1,2500,49.1746071791407,50.1109900168506,0,0,-2.17467081567069,-360,360,0,0,0,0,7.105427357601e-15,0
20,NPCC_S7:BRANCH_ROW:52,46,49,1,2500,20.7924785985983,16.860504637025,0,0,4.08807609249737,-360,360,0,0,0,0,5.32907051820075e-15,0
21,NPCC_S7:BRANCH_ROW:53,47,48,1,2500,561.241642717786,685.962007671104,0,0,2.79116019984999,-360,360,0,0,0,0,1.13686837721616e-13,0
22,NPCC_S7:BRANCH_ROW:54,50,51,1,2500,632.788134377696,719.835415815629,0,0,1.42211502575829,-360,360,0,0,0,0,9.10493354219929e-13,0
23,NPCC_S7:BRANCH_ROW:55,50,52,1,2858.06690137886,103.679111325667,212.354901322984,0,0,-0.360204590384857,-360,360,0,0,0,0,6.56166115539645e-13,0
24,NPCC_S7:BRANCH_ROW:56,51,53,1,290.964700741948,85.8719723223109,86.7581314983445,0,0,2.40377790073476,-360,360,0,0,0,0,0,0
25,NPCC_S7:BRANCH_ROW:57,51,72,1,2500,153.46220085619,166.279227251546,0,0,-1.77423835298542,-360,360,0,0,0,0,7.105427357601e-15,0
26,NPCC_S7:BRANCH_ROW:58,52,53,1,2500,175.653502099742,169.959596277138,0,0,4.18609751687791,-360,360,0,0,0,0,2.8421709430404e-14,0
27,NPCC_S7:BRANCH_ROW:59,53,55,1,997.983883346124,47.7746635559232,54.2073242468761,0,0,-3.93339156670593,-360,360,0,0,0,0,9.05941988094128e-14,0
28,NPCC_S7:BRANCH_ROW:60,53,65,1,785.968397879188,223.598774189452,267.795915208143,0,0,4.5412092720358,-360,360,0,0,0,0,2.84225767789075e-14,0
29,NPCC_S7:BRANCH_ROW:61,54,56,1,789.941803,742.045442126077,789.941802986399,0,0,5.04817019089164,-360,360,0,0,0,0,1.13908665908592e-13,0
30,NPCC_S7:BRANCH_ROW:62,54,62,1,789.941803,151.184503663588,155.346033036713,0,0,4.83240891834702,-360,360,0,0,0,0,1.71121351098581e-13,0
31,NPCC_S7:BRANCH_ROW:65,55,57,1,789.941803,467.910748711377,569.714138329117,0,0,3.89585342044019,-360,360,0,0,0,0,3.94847006346305e-13,0
32,NPCC_S7:BRANCH_ROW:66,55,59,1,789.941803,127.507484266485,138.158190671679,0,0,3.56412264587956,-360,360,0,0,0,0,2.19349502692028e-13,0
33,NPCC_S7:BRANCH_ROW:67,56,58,1,2500,236.944575254146,234.72697813299,0,0,0.966811150421263,-360,360,0,0,0,0,2.8421709430404e-14,0
34,NPCC_S7:BRANCH_ROW:68,57,59,1,2500,156.146195513012,145.142612239152,0,0,-0.331730774560633,-360,360,0,0,0,0,0,0
