interface_name,model_flow_mw,target_flow_mw,residual_mw,absolute_residual_mw,used_in_optimizer,exact_public_operator,variant_id,scenario_id,electrically_qualified
Dysinger_East,-63.6365548575826,NaN,NaN,NaN,0,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,1
West_Central,-456.853912507459,NaN,NaN,NaN,0,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,1
Moses_South,814.158634416936,NaN,NaN,NaN,0,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,1
Central_East,871.419627527023,NaN,NaN,NaN,0,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,1
Total_East_proxy,1055.5618907673,NaN,NaN,NaN,0,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,1
UPNY_ConEd,1759.30394301775,NaN,NaN,NaN,0,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,1
Dunwoodie_South,1098.26200405517,NaN,NaN,NaN,0,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,1
Dysinger_East,820.36154387042,NaN,NaN,NaN,0,0,nominal,S2_2025_WINTER_PEAK_PUBLIC,1
West_Central,506.605918544904,NaN,NaN,NaN,0,0,nominal,S2_2025_WINTER_PEAK_PUBLIC,1
Moses_South,123.437922048525,NaN,NaN,NaN,0,0,nominal,S2_2025_WINTER_PEAK_PUBLIC,1
Central_East,942.767908105484,NaN,NaN,NaN,0,0,nominal,S2_2025_WINTER_PEAK_PUBLIC,1
Total_East_proxy,1364.0773645299,NaN,NaN,NaN,0,0,nominal,S2_2025_WINTER_PEAK_PUBLIC,1
UPNY_ConEd,1691.84034337366,NaN,NaN,NaN,0,0,nominal,S2_2025_WINTER_PEAK_PUBLIC,1
Dunwoodie_South,1157.71162940019,NaN,NaN,NaN,0,0,nominal,S2_2025_WINTER_PEAK_PUBLIC,1
Dysinger_East,298.497466912644,NaN,NaN,NaN,0,0,nominal,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,1
West_Central,335.015728877894,NaN,NaN,NaN,0,0,nominal,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,1
Moses_South,-6.28695851368009,NaN,NaN,NaN,0,0,nominal,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,1
Central_East,892.339399032259,NaN,NaN,NaN,0,0,nominal,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,1
Total_East_proxy,1214.1932000884,NaN,NaN,NaN,0,0,nominal,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,1
UPNY_ConEd,1558.74318708758,NaN,NaN,NaN,0,0,nominal,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,1
Dunwoodie_South,1271.45139472431,NaN,NaN,NaN,0,0,nominal,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,1
