branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,59.9129829963129,50.4533067248168,0,0,-0.376491725706679,-360,360,0,0,0,0,1.00485917355762e-14,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,1146.65404336257,1137.82725719545,0,0,4.06060566148256,-360,360,0,0,0,0,2.27817331817184e-13,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,161.725795922102,161.971100299804,0,0,-2.36619540827819,-360,360,0,0,0,0,5.72857867687912e-14,0
4,NPCC_S7:BRANCH_ROW:36,37,43,0,3745.98196383403,0,0,0,0,-5.66552300834189,-360,360,0,0,0,0,0,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,184.778396475031,193.021439105492,0,0,-4.25652760973503,-360,360,0,0,0,0,2.92964275105423e-14,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,752.187535578869,745.188722741566,0,0,6.71439629414861,-360,360,0,0,0,0,1.14271669997963e-13,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,752.187535578869,745.188722741566,0,0,6.71439629414861,-360,360,0,0,0,0,1.14271669997963e-13,0
8,NPCC_S7:BRANCH_ROW:40,40,44,0,1328.76341358641,0,0,0,0,-1.69162537267475,-360,360,0,0,0,0,0,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,550.795031413144,555.594926486201,0,0,-2.44009933534689,-360,360,0,0,0,0,4.54747350886464e-13,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,20.6493924421027,14.4315276935456,0,0,1.90605016963113,-360,360,0,0,0,0,2.31837988448742e-14,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,313.030189364263,311.208452316247,0,0,1.60770222738895,-360,360,0,0,0,0,5.6843418860808e-14,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,154.628306317333,161.498988264219,0,0,-2.00615960257043,-360,360,0,0,0,0,0,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,154.628306317333,161.498988264219,0,0,-2.00615960257043,-360,360,0,0,0,0,0,0
14,NPCC_S7:BRANCH_ROW:46,44,45,1,2500,287.262401561168,283.061199432459,0,0,2.72650108339968,-360,360,0,0,0,0,5.6843418860808e-14,0
15,NPCC_S7:BRANCH_ROW:47,44,48,0,6896.14528055676,0,0,0,0,-21.7547531385613,-360,360,0,0,0,0,0,0
