branch_row,branch_key,conductor_code,circuits,bundle_count,equipment_limit_mva,declared_asset_kind,full_branch_row,source_class,equipment_limit_policy,reference_resistance_policy,multiplicity_policy,declared_planning_length_miles,conductor_choice_basis,physical_conductor_verified,observed_weather,base_kv,base_mva,from_bus,to_bus,frozen_r_pu,frozen_x_pu,frozen_b_pu,resistance_reference_c,resistance_eq_ohm,effective_length_km,inherited_rating_a_mva,reconstructed_r_ohm,resistance_identity_error_ohm,length_requires_review,realization_class,length_policy,thermal_parameters_assumed,research_thermal_eligible,qualification_scope
82,PERFORM2019:AC:651:858:1,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,247,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,73,858,0.00035,0.00527,0.13611,75,0.4165875,11.04138,1216,0.4165875,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
83,PERFORM2019:AC:651:858:2,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,248,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,73,858,0.00035,0.00527,0.13612,75,0.4165875,11.04138,1216,0.4165875,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
84,PERFORM2019:AC:651:902:1,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,249,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,73,9002,0.00081,0.01237,0.31971,75,0.9641025,25.552908,1216,0.9641025,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
85,PERFORM2019:AC:651:902:2,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,250,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,73,9002,0.00081,0.01237,0.31972,75,0.9641025,25.552908,1216,0.9641025,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
86,PERFORM2019:AC:858:902:1,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,251,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,858,9002,0.00047,0.00713,0.18428,75,0.5594175,14.826996,1216,0.5594175,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
87,PERFORM2019:AC:858:902:2,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,252,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,858,9002,0.00047,0.00713,0.18426,75,0.5594175,14.826996,1216,0.5594175,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
88,PERFORM2019:AC:897:902:1,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,253,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,9002,74,0.00037,0.00563,0.14565,75,0.4403925,11.672316,1216,0.4403925,5.55111512312578e-17,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
89,PERFORM2019:AC:897:902:2,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,254,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,9002,74,0.00037,0.00563,0.14542,75,0.4403925,11.672316,1216,0.4403925,5.55111512312578e-17,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
90,PERFORM2019:AC:774:1519:1,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,255,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,76,774,0.00018,0.00276,0.07125,75,0.214245,5.678424,1216,0.214245,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
91,PERFORM2019:AC:774:900:1,CARDINAL_954_ACSR,1,2,1725,assumed_overhead_AC,256,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,774,77,0.00035,0.00541,0.13993,75,0.4165875,11.04138,1725,0.4165875,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
