branch_key,temperature_c,independent_PF_equilibrium_c,heat_residual_w_m,temperature_limit_c,passed
PERFORM2019:AC:651:858:1,55.7152973474826,55.7129287252686,-0.00477120822275445,75,1
PERFORM2019:AC:651:858:2,55.7152973474826,55.7129287252686,-0.00477120822275445,75,1
PERFORM2019:AC:651:902:1,55.7023770516609,55.700007285859,-0.0047735616666511,75,1
PERFORM2019:AC:651:902:2,55.7023770516609,55.700007285859,-0.0047735616666511,75,1
PERFORM2019:AC:858:902:1,55.6659316666246,55.6635580031801,-0.00478155397778757,75,1
PERFORM2019:AC:858:902:2,55.6659316666246,55.6635580031801,-0.00478155397778757,75,1
PERFORM2019:AC:897:902:1,66.1864594692213,66.1853314072495,-0.00225715162587292,75,1
PERFORM2019:AC:897:902:2,66.1864594692213,66.1853314072495,-0.00225715162587292,75,1
PERFORM2019:AC:774:1519:1,52.2973810566461,52.2946089121955,-0.00560056577620838,75,1
PERFORM2019:AC:774:900:1,52.286900542796,52.2841271416778,-0.00560315872102812,75,1
PERFORM2019:AC:900:1519:1,52.2886132167606,52.2858400228445,-0.0056027312651894,75,1
NY2025:CEEC:351,53.6890962496062,53.6864899948336,-0.00525884199410331,75,1
NY2025:CEEC:352,53.6890962496062,53.6864899948336,-0.00525884199410331,75,1
NY2025:CEEC:361,55.4640147737503,55.4616217463724,-0.00482135277936102,75,1
NY2025:CEEC:362,55.4640147737503,55.4616217463724,-0.00482135277936102,75,1
NY2025:CEEC:14,53.307239633777,53.304588003447,-0.00535220076673859,75,1
NY2025:CEEC:371,53.7262272344296,53.7236244191152,-0.00525173142219515,75,1
NY2025:NYES:1,53.396886623531,53.3942446024883,-0.00533238120926072,75,1
NY2025:NYES:2,53.3882640295494,53.3856225291266,-0.00533137110219162,75,1
NY2025_SPC:MH2,74.9999999757922,74.9999999761206,6.2165739223019e-10,75,1
NY2025_SPC:MH3,74.9999999757922,74.9999999761206,6.2165739223019e-10,75,1
NY2025_SPC:HA2,60.5986479651768,60.5968926619518,-0.00334610336522445,75,1
NY2025_SPC:HW2,51.9509789778193,51.948165068674,-0.00540411428364607,75,1
NY2025_SPC:LINE11,60.458660768266,60.4568916410646,-0.00337279658115008,75,1
NY2025_SPC:LINE13,60.4886150498807,60.4868483042773,-0.00336818311872733,75,1
