source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.07892586315392,0.9,1.1,1.20551845839145e-07,4.69533387864596e-09,0,0,0,0
38,1,1.09024822232168,0.9,1.1,-8.34770901292359e-08,1.20369870321158e-08,0,0,0,0
39,1,1.08199162310197,0.9,1.1,6.06804633207503e-08,-1.51184309515884e-09,0,0,0,0
40,1,1.02141388299046,0.9,1.1,-7.68631182879326e-08,-4.23163252746561e-09,0,0,0,0
41,1,0.976475177509194,0.9,1.1,1.52975326273008e-06,-1.65592709322482e-07,0,0,0,0
42,3,0.964949458134067,0.9,1.1,-1.06982531633548e-06,3.57344595158793e-06,0,0,0,0
43,1,1.0759857344697,0.9,1.1,7.8308897855095e-07,-3.77561787390235e-08,0,0,0,0
44,1,1.05321112374478,0.9,1.1,-1.37859075266533e-07,6.81588119277876e-10,0,0,0,0
45,1,1.02254640363536,0.9,1.1,2.58529382790584e-07,-3.35821326302721e-09,0,0,0,0
46,1,0.92447534890618,0.9,1.1,-2.36322819091583e-08,3.6348044574197e-09,0,0,0,0
47,2,0.90000015032268,0.9,1.1,7.43341388442786e-10,9.78025127551518e-09,0,0,0,0
48,2,1.09999994996672,0.9,1.1,-2.82353932636991e-08,-8.86757334228605e-09,0,0,0,0
49,1,1.05795733768484,0.9,1.1,1.7463008816776e-10,-1.96496152682357e-11,0,0,0,0
50,2,1.08002396886024,0.9,1.1,-1.19630510653224e-06,-9.04518060451664e-07,0,0,0,0
51,2,0.916485525874439,0.9,1.1,7.72075082977608e-07,1.73249304680212e-06,0,0,0,0
52,1,1.02483701756849,0.9,1.1,-3.79320842738927e-07,-1.17552199601853e-07,0,0,0,0
53,2,1.04331311330424,0.9,1.1,4.5864890125813e-06,1.31302753061391e-05,0,0,0,0
54,2,0.949093461043106,0.9,1.1,-7.4315387905699e-06,7.5352410249252e-06,0,0,0,0
55,2,1.01816758808767,0.9,1.1,3.35121472971878e-06,1.16494959456759e-06,0,0,0,0
56,2,0.971162757676228,0.9,1.1,-7.46596612088979e-06,1.9735273895094e-06,0,0,0,0
57,2,1.0025095916667,0.9,1.1,1.85256834051017e-06,-3.81866627208183e-08,0,0,0,0
58,1,0.969951908886355,0.9,1.1,6.87386105369114e-07,-3.77779258542432e-07,0,0,0,0
59,1,0.97208975803205,0.9,1.1,6.30681370239472e-06,2.75837081176178e-07,0,0,0,0
60,2,0.965101441791606,0.9,1.1,-1.35553545987932e-06,3.56535423406967e-07,0,0,0,0
61,2,0.991518488821477,0.9,1.1,-6.92411902036838e-07,1.5942526232493e-07,0,0,0,0
62,1,0.973125080751345,0.9,1.1,8.82052352058082e-07,1.1779651171316e-08,0,0,0,0
63,1,1.00300777885179,0.9,1.1,1.0927419392805e-06,-1.39472420784564e-07,0,0,0,0
64,1,0.97724534077838,0.9,1.1,3.2889676049308e-07,1.21959763177415e-07,0,0,0,0
65,2,0.900000049588451,0.9,1.1,2.49384345352155e-06,-4.4281742361818e-07,0,0,0,0
66,1,1.09407511524701,0.9,1.1,2.3458255782316e-08,2.12044886857554e-09,0,0,0,0
67,1,1.08595743479687,0.9,1.1,1.61876828386198e-07,6.50475769168463e-09,0,0,0,0
68,2,1.09999993713522,0.9,1.1,1.4463640241047e-07,-3.81158713480545e-08,0,0,0,0
69,1,1.09999999815215,0.9,1.1,-2.99875261429961e-08,1.35287457476349e-08,0,0,0,0
70,1,1.09194177040733,0.9,1.1,1.1780798941514e-08,9.65142656955679e-09,0,0,0,0
71,2,1.0920888860871,0.9,1.1,6.19917557287408e-07,-6.24341623733926e-07,0,0,0,0
72,2,0.966789080945106,0.9,1.1,-2.07790520789786e-07,3.03124238598684e-07,0,0,0,0
73,1,1.08163296571498,0.9,1.1,6.73727527100709e-08,-6.60794796658593e-09,0,0,0,0
74,1,1.08447615707771,0.9,1.1,2.06455865736643e-08,-4.21018775398352e-10,0,0,0,0
75,1,1.08401369489912,0.9,1.1,1.67272418138964e-10,-4.86694018420053e-12,0,0,0,0
76,1,1.08403219057354,0.9,1.1,-2.53123744187178e-09,2.90064861019346e-10,0,0,0,0
77,1,1.0846579538467,0.9,1.1,6.78665125527552e-10,-1.51784774730849e-12,0,0,0,0
78,2,1.08407931809717,0.9,1.1,1.54190047396696e-08,-5.23300514032599e-10,0,0,0,0
79,2,1.09999998844686,0.9,1.1,6.54608811601065e-10,-1.92198967852164e-09,0,0,0,0
80,2,0.900000006939062,0.9,1.1,1.43313627631869e-09,4.00859789806418e-10,0,0,0,0
81,1,1.04430454300721,0.9,1.1,2.05886863113847e-10,1.41241685014393e-10,0,0,0,0
82,2,1.0999999866605,0.9,1.1,1.62913238455076e-09,-1.77431047632126e-09,0,0,0,0
9001,1,1.08477985489032,0.9,1.1,7.18537697503165e-09,-2.7729236108646e-10,0,0,0,0
9002,1,1.08354830711332,0.9,1.1,3.07996231293715e-08,-1.33411207865452e-09,0,0,0,0
9003,1,0.992133951998701,0.9,1.1,6.63874288875377e-10,2.24820162486594e-11,0,0,0,0
858,1,1.08274349553512,0.9,1.1,1.05550237891386e-08,-4.68777157139963e-10,0,0,0,0
