gen_row,device_key,source_bus,online,pg_mw,pmin_mw,pmax_mw,qg_mvar,qmin_mvar,qmax_mvar,p_below_min_mw,p_above_max_mw,q_below_min_mvar,q_above_max_mvar,violated,invalid_capability_bounds
1,NPCC_S7:GEN_ROW:10:BUS:42,42,1,241.501908213893,0,568.003995,-171.583079219926,-999,999,0,0,0,0,0,0
2,NPCC_S7:GEN_ROW:11:BUS:47,47,1,335.457082561882,0,944.920662,-581.089570950873,-999,999,0,0,0,0,0,0
3,NPCC_S7:GEN_ROW:12:BUS:48,48,1,5.39857411987056e-06,0,40.0600457,749.769508806748,-999,999,0,0,0,0,0,0
4,NPCC_S7:GEN_ROW:13:BUS:50,50,1,730.567461833102,0,1105.24857748821,998.999604964766,-999,999,0,0,0,0,0,0
5,NPCC_S7:GEN_ROW:14:BUS:51,51,1,183.755845865347,0,292.878562141814,-998.999593471076,-999,999,0,0,0,0,0,0
6,NPCC_S7:GEN_ROW:15:BUS:53,53,1,271.358818706777,0,288.8,490.326145221154,-999,999,0,0,0,0,0,0
7,NPCC_S7:GEN_ROW:16:BUS:54,54,1,197.192644834948,0,197.192650893643,-87.1300251818628,-999,999,0,0,0,0,0,0
8,NPCC_S7:GEN_ROW:17:BUS:54,54,1,197.192644834948,0,197.192650893643,-872.085207000447,-9999,9999,0,0,0,0,0,0
9,NPCC_S7:GEN_ROW:18:BUS:55,55,1,197.192644598295,0,197.192650893643,616.379309457356,-999,999,0,0,0,0,0,0
10,NPCC_S7:GEN_ROW:19:BUS:56,56,1,442.168725031662,0,495.093851384339,76.4180537735285,-999,999,0,0,0,0,0,0
11,NPCC_S7:GEN_ROW:20:BUS:57,57,1,14.3166972684426,0,14.3166985641929,32.8650995581478,-999,999,0,0,0,0,0,0
12,NPCC_S7:GEN_ROW:21:BUS:60,60,1,59.5351270493973,0,59.5351288283759,-71.6132063490965,-999,999,0,0,0,0,0,0
13,NPCC_S7:GEN_ROW:22:BUS:61,61,1,132.27636527217,0,132.276368542162,39.9286245660744,-999,999,0,0,0,0,0,0
14,NPCC_S7:GEN_ROW:23:BUS:65,65,1,7.48181710408144,0,7.481832143219,-231.282658905757,-999,999,0,0,0,0,0,0
15,NPCC_S7:GEN_ROW:24:BUS:68,68,1,168.592400942892,0,271.054008885173,91.3683136777418,-999,999,0,0,0,0,0,0
16,NPCC_S7:GEN_ROW:25:BUS:71,71,1,381.951254008281,0,643.677757785503,998.999889182079,-999,999,0,0,0,0,0,0
17,NPCC_S7:GEN_ROW:26:BUS:72,72,1,114.632001525412,0,190.859261556085,-724.651683424007,-999,999,0,0,0,0,0,0
18,NPCC_S7:GEN_ROW:27:BUS:78,78,1,207.281410262003,0,565.099092,998.999814903003,-999,999,0,0,0,0,0,0
19,NPCC_S7:GEN_ROW:28:BUS:79,79,1,383.552857382495,0,577.453484,760.986631629086,-999,999,0,0,0,0,0,0
20,NPCC_S7:GEN_ROW:29:BUS:80,80,1,278.120250056644,0,584.929342,-974.652001012575,-999,999,0,0,0,0,0,0
21,NPCC_S7:GEN_ROW:30:BUS:82,82,1,414.654125492376,0,619.623976,683.919710012548,-999,999,0,0,0,0,0,0
22,NPCC_S7:GEN_ROW:49:BUS:79,79,1,853.841767899211,0,1200,0,-0,0,0,0,-0,0,0,0
23,NPCC_S7:GEN_ROW:50:BUS:82,82,1,622.189271528805,0,900,0,-0,0,0,0,-0,0,0,0
24,NPCC_S7:GEN_ROW:51:BUS:81,81,1,577.156006404183,0,900,0,-0,0,0,0,-0,0,0,0
25,NPCC_S7:GEN_ROW:52:BUS:43,43,1,261.464574341702,0,400,0,-0,0,0,0,-0,0,0,0
26,NPCC_S7:GEN_ROW:53:BUS:44,44,1,138.01382177242,0,200,0,-0,0,0,0,-0,0,0,0
27,NPCC_S7:GEN_ROW:54:BUS:38,38,1,238.009536733297,0,500,0,-0,0,0,0,-0,0,0,0
28,NPCC_S7:GEN_ROW:55:BUS:42,42,1,224.270022161192,0,500,0,-0,0,0,0,-0,0,0,0
29,NPCC_S7:GEN_ROW:56:BUS:41,41,1,130.493979851263,0,300,0,-0,0,0,0,-0,0,0,0
30,NPCC_S7:GEN_ROW:57:BUS:37,37,1,133.678356144134,0,300,0,-0,0,0,0,-0,0,0,0
31,NPCC_S7:GEN_ROW:58:BUS:73,73,1,404.146559542944,0,508.665473883138,0,-0,0,0,0,-0,0,0,0
32,NPCC_S7:GEN_ROW:59:BUS:76,76,1,600.340671406007,0,700,0,-0,0,0,0,-0,0,0,0
33,NPCC_S7:GEN_ROW:60:BUS:39,39,1,492.953580923268,0,600,0,-0,0,0,0,-0,0,0,0
34,NPCC_S7:GEN_ROW:61:BUS:80,80,1,387.801770639266,0,1200,0,-0,0,0,0,-0,0,0,0
35,NPCC_S7:GEN_ROW:62:BUS:9003,9003,1,233.970950217202,0,553.039856865977,0,-0,0,0,0,-0,0,0,0
36,NY2025:GEN:CRICKET_VALLEY:PV73,73,1,297.548130038118,0,391.334526116862,0,0,0,0,0,0,0,0,0
37,NY2025:GEN:SOUTH_FORK:K9003,9003,1,3.93247603234863e-06,0,46.9601431340234,0,0,0,0,0,0,0,0,0
