source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.07993555803916,0.9,1.1,-6.82121026329696e-13,-8.78359884826097e-12,0,0,0,0
38,1,1.09090774117511,0.9,1.1,1.70530256582424e-13,2.26138552328337e-12,0,0,0,0
39,1,1.08248444115816,0.9,1.1,1.13686837721616e-13,2.849276370398e-12,0,0,0,0
40,1,1.02276538392823,0.9,1.1,3.55427444592753e-13,-1.45539701636727e-12,0,0,0,0
41,1,0.977885762553047,0.9,1.1,1.70530256582424e-13,4.2348347051302e-12,0,0,0,0
42,3,0.966350348197195,0.9,1.1,-3.97903932025656e-13,-1.33582034322899e-12,0,0,0,0
43,1,1.07807998018444,0.9,1.1,1.25055521493778e-12,5.11257702839885e-12,0,0,0,0
44,1,1.05498510379862,0.9,1.1,-1.98951966012828e-13,9.28424004342787e-13,0,0,0,0
45,1,1.02420599510023,0.9,1.1,-5.6843418860808e-14,-1.09068309939175e-12,0,0,0,0
46,1,0.924906808309752,0.9,1.1,9.32587340685131e-14,7.99360577730113e-14,0,0,0,0
47,2,0.900000132824582,0.9,1.1,5.6843418860808e-14,-1.13686837721616e-13,0,0,0,0
48,2,1.09999995338014,0.9,1.1,5.88440921322011e-13,-1.13686837721616e-13,0,0,0,0
49,1,1.05804735993449,0.9,1.1,-6.3948846218409e-14,-1.09690034832965e-13,0,0,0,0
50,2,1.0833860348521,0.9,1.1,0,-6.82121026329696e-13,0,0,0,0
51,2,0.918266639222945,0.9,1.1,5.6843418860808e-14,1.13686837721616e-12,0,0,0,0
52,1,1.03250562582202,0.9,1.1,-1.28381335565583e-13,2.19717063215358e-12,0,0,0,0
53,2,1.05617272568797,0.9,1.1,-2.8421709430404e-13,-4.54747350886464e-13,0,0,0,0
54,2,0.958137290057167,0.9,1.1,7.95807864051312e-13,1.13686837721616e-13,0,0,0,0
55,2,1.02959960401452,0.9,1.1,-2.55795384873636e-13,-3.41060513164848e-12,0,0,0,0
56,2,0.980368215969172,0.9,1.1,-1.70530256582424e-13,-1.35003119794419e-12,0,0,0,0
57,2,1.01346882896847,0.9,1.1,6.03961325396085e-14,8.5265128291212e-14,0,0,0,0
58,1,0.979324013008204,0.9,1.1,-7.105427357601e-15,7.05568936609779e-12,0,0,0,0
59,1,0.981904485952745,0.9,1.1,1.13686837721616e-13,-3.09796632791404e-12,0,0,0,0
60,2,0.974652304498494,0.9,1.1,-1.4210854715202e-14,-3.5527136788005e-13,0,0,0,0
61,2,1.00151279273998,0.9,1.1,8.5265128291212e-14,8.5265128291212e-14,0,0,0,0
62,1,0.981565676263514,0.9,1.1,-2.17923766331086e-13,-5.32544574639344e-13,0,0,0,0
63,1,1.00643169058133,0.9,1.1,-2.22745972434471e-14,-1.78787251127118e-13,0,0,0,0
64,1,0.979109456092032,0.9,1.1,-7.105427357601e-14,-1.97175609173428e-13,0,0,0,0
65,2,0.900000044691417,0.9,1.1,-3.01980662698043e-14,1.4210854715202e-13,0,0,0,0
66,1,1.09434039630616,0.9,1.1,-3.5527136788005e-14,-5.19471618498635e-12,0,0,0,0
