source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.09306347535025,0.9,1.1,-3.97903932025656e-13,4.35242120122581e-13,0,0,0,0
38,1,1.0999999999999,0.9,1.1,1.70530256582424e-13,7.22685800091938e-13,0,0,0,0
39,1,1.09227438509178,0.9,1.1,-1.13686837721616e-13,1.4495071809506e-12,0,0,0,0
40,1,1.06759138969859,0.9,1.1,-1.89999978007321e-13,-2.27567808755375e-12,0,0,0,0
41,1,1.05256702594397,0.9,1.1,6.25277607468888e-13,1.35003119794419e-12,0,0,0,0
42,3,1.05854387151023,0.9,1.1,-7.95807864051312e-13,-3.37152528118168e-12,0,0,0,0
43,1,1.08288593022723,0.9,1.1,3.41060513164848e-13,6.51700915454967e-12,0,0,0,0
44,1,1.06473240128025,0.9,1.1,3.69482222595252e-13,-2.04281036531029e-12,0,0,0,0
45,1,1.03543312045423,0.9,1.1,0,1.62714286489063e-12,0,0,0,0
46,1,0.927752152841229,0.9,1.1,6.66133814775094e-14,-1.97175609173428e-13,0,0,0,0
47,2,0.900000000001201,0.9,1.1,8.5265128291212e-13,1.13686837721616e-12,0,0,0,0
48,2,1.09999999999884,0.9,1.1,-1.17893816778902e-12,-1.47792889038101e-12,0,0,0,0
49,1,1.0586421681892,0.9,1.1,2.55795384873636e-13,-2.35367281220533e-14,0,0,0,0
50,2,1.07227374284988,0.9,1.1,5.6843418860808e-13,0,0,0,0,0
51,2,0.900000000000237,0.9,1.1,7.38964445190504e-13,-5.6843418860808e-13,0,0,0,0
52,1,1.00101183650608,0.9,1.1,-1.97467630436634e-13,2.83818561322151e-12,0,0,0,0
53,2,1.0123389830698,0.9,1.1,1.59161572810262e-12,7.21911419532262e-12,0,0,0,0
54,2,0.912986016930471,0.9,1.1,-2.50111042987555e-12,6.82121026329696e-13,0,0,0,0
55,2,0.98445422032564,0.9,1.1,1.47792889038101e-12,1.13686837721616e-13,0,0,0,0
56,2,0.935818768902455,0.9,1.1,-2.78532752417959e-12,-1.4210854715202e-13,0,0,0,0
57,2,0.968323272325448,0.9,1.1,7.105427357601e-13,-3.26849658449646e-13,0,0,0,0
58,1,0.93551339255439,0.9,1.1,2.91322521661641e-13,1.11199938146456e-12,0,0,0,0
59,1,0.937460668739283,0.9,1.1,2.44426701101474e-12,1.57740487338742e-12,0,0,0,0
60,2,0.929562904163743,0.9,1.1,-5.47117906535277e-13,8.10018718766514e-13,0,0,0,0
61,2,0.95740150747431,0.9,1.1,-1.13686837721616e-13,4.2632564145606e-14,0,0,0,0
