branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,104.933538953595,77.2904803161824,0,0,0.0127812641053492,-360,360,0,0,0,0,9.60917108579712e-14,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,790.579317405897,783.153858645252,0,0,2.90811267756528,-360,360,0,0,0,0,2.29143147075165e-13,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,267.134146329065,253.339306808843,0,0,-0.325077525943128,-360,360,0,0,0,0,5.78339886065028e-14,0
4,NPCC_S7:BRANCH_ROW:36,37,43,0,3745.98196383403,0,0,0,0,-4.94791747057871,-360,360,0,0,0,0,0,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,102.315016102389,66.683234907537,0,0,-1.45445316781858,-360,360,0,0,0,0,2.8421709430404e-14,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,601.694291810824,598.878418730822,0,0,5.47383854358844,-360,360,0,0,0,0,1.13686837721616e-13,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,601.694291810824,598.878418730822,0,0,5.47383854358844,-360,360,0,0,0,0,1.13686837721616e-13,0
8,NPCC_S7:BRANCH_ROW:40,40,44,0,1328.76341358641,0,0,0,0,-5.36050595725913,-360,360,0,0,0,0,0,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,432.185015688559,425.263790753324,0,0,-2.24480900303441,-360,360,0,0,0,0,1.30739863379858e-12,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,43.2752564126814,38.8699668706702,0,0,-2.82297542376096,-360,360,0,0,0,0,4.76646557423476e-14,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,287.378653405353,280.351724913979,0,0,-0.737666012623557,-360,360,0,0,0,0,0,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,151.793352419598,138.973290669628,0,0,-1.74482058976683,-360,360,0,0,0,0,1.13686837721616e-13,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,151.793352419598,138.973290669628,0,0,-1.74482058976683,-360,360,0,0,0,0,1.13686837721616e-13,0
14,NPCC_S7:BRANCH_ROW:46,44,45,1,2500,417.54718524816,404.733230836084,0,0,4.20043682005663,-360,360,0,0,0,0,6.35528743231302e-14,0
15,NPCC_S7:BRANCH_ROW:47,44,48,0,6896.14528055676,0,0,0,0,-27.0191659366269,-360,360,0,0,0,0,0,0
16,NPCC_S7:BRANCH_ROW:48,45,46,1,2040.85471944324,103.18070382593,101.484248880676,0,0,-23.4538036281341,-360,360,0,0,0,0,2.00971834711523e-14,0
17,NPCC_S7:BRANCH_ROW:49,45,51,1,489.56239109923,48.2117535175831,50.9771238109835,0,0,-3.06133556361338,-360,360,0,0,0,0,7.32410687763558e-15,0
18,NPCC_S7:BRANCH_ROW:50,45,71,1,166.495119914644,20.4645724397221,11.2113955749459,0,0,-1.43813537845099,-360,360,0,0,0,0,4.39446412658135e-14,0
19,NPCC_S7:BRANCH_ROW:51,46,47,1,2500,108.414011341946,108.196655876067,0,0,-10.1431086609165,-360,360,0,0,0,0,7.2461425497647e-14,0
20,NPCC_S7:BRANCH_ROW:52,46,49,1,2500,24.483849986697,23.1662813118305,0,0,-3.2281403752549,-360,360,0,0,0,0,3.10227385053227e-14,0
21,NPCC_S7:BRANCH_ROW:53,47,48,1,2500,556.950753539511,680.717057354196,0,0,2.377309532367,-360,360,0,0,0,0,1.17185710042169e-13,0
22,NPCC_S7:BRANCH_ROW:54,50,51,1,2500,870.32431746066,740.744845294928,0,0,2.14625583358653,-360,360,0,0,0,0,1.4210854715202e-13,0
23,NPCC_S7:BRANCH_ROW:55,50,52,1,2858.06690137886,294.112227186611,354.578210613348,0,0,2.90526639667418,-360,360,0,0,0,0,7.8159700933611e-13,0
24,NPCC_S7:BRANCH_ROW:56,51,53,1,290.964700741948,87.9196932908636,79.9889265977102,0,0,7.00682227713766,-360,360,0,0,0,0,0,0
25,NPCC_S7:BRANCH_ROW:57,51,72,1,2500,212.367656124599,199.768968608214,0,0,-0.956462211279359,-360,360,0,0,0,0,2.8421709430404e-14,0
26,NPCC_S7:BRANCH_ROW:58,52,53,1,2500,325.419278990496,335.85516760865,0,0,6.24781171405001,-360,360,0,0,0,0,5.85928550210846e-14,0
27,NPCC_S7:BRANCH_ROW:59,53,55,1,997.983883346124,84.6625649516456,100.399072549496,0,0,-4.94509004048825,-360,360,0,0,0,0,0,0
28,NPCC_S7:BRANCH_ROW:60,53,65,1,785.968397879188,226.663990905223,193.183872131906,0,0,-2.48722808904807,-360,360,0,0,0,0,1.40005770498689e-13,0
29,NPCC_S7:BRANCH_ROW:61,54,56,1,789.941803,170.798104614903,170.140565708755,0,0,0.0395444919629333,-360,360,0,0,0,0,1.00806959443208e-12,0
30,NPCC_S7:BRANCH_ROW:62,54,62,1,789.941803,57.4786802241246,50.3302116989675,0,0,1.8074428384383,-360,360,0,0,0,0,3.63003203302833e-13,0
31,NPCC_S7:BRANCH_ROW:65,55,57,1,789.941803,61.6311509884196,61.8432500386994,0,0,0.954587822299772,-360,360,0,0,0,0,7.105427357601e-15,0
32,NPCC_S7:BRANCH_ROW:66,55,59,1,789.941803,63.1532319013732,63.8483943123235,0,0,0.812255836044082,-360,360,0,0,0,0,3.57626118791221e-13,0
33,NPCC_S7:BRANCH_ROW:67,56,58,1,2500,200.905732381826,199.640635038297,0,0,1.73262811551816,-360,360,0,0,0,0,3.5527136788005e-15,0
34,NPCC_S7:BRANCH_ROW:68,57,59,1,2500,47.4854232270888,49.0274690532793,0,0,-0.14233198625569,-360,360,0,0,0,0,3.79800919622371e-13,0
35,NPCC_S7:BRANCH_ROW:69,58,60,1,2500,62.6038340332984,69.9352622069099,0,0,-1.27248426432627,-360,360,0,0,0,0,8.88178419700125e-16,0
36,NPCC_S7:BRANCH_ROW:70,58,62,1,2500,5.24425688433861,3.34889159910443,0,0,0.0352702309572144,-360,360,0,0,0,0,1.44671568690216e-12,0
37,NPCC_S7:BRANCH_ROW:71,59,61,1,2500,31.267089779701,32.1087101445179,0,0,-2.56545922496219,-360,360,0,0,0,0,1.81364641440939e-13,0
38,NPCC_S7:BRANCH_ROW:73,62,63,1,620,53.572349510765,46.870644367129,0,0,2.15236192498653,-360,360,0,0,0,0,1.86136431031936e-13,0
39,NPCC_S7:BRANCH_ROW:74,63,64,1,2500,96.3562715038964,93.4175252957328,0,0,1.76930934701508,-360,360,0,0,0,0,4.2632564145606e-14,0
40,NPCC_S7:BRANCH_ROW:75,63,67,1,2500,90.1385377469778,76.9858099882795,0,0,-0.653993407101214,-360,360,0,0,0,0,1.4210854715202e-14,0
41,NPCC_S7:BRANCH_ROW:76,64,65,1,2500,94.0291866367044,90.1969808262264,0,0,-1.12372540668634,-360,360,0,0,0,0,1.62184395130017e-13,0
42,NPCC_S7:BRANCH_ROW:77,64,68,1,2500,54.0482294067765,50.2637483593738,0,0,-2.7625649871666,-360,360,0,0,0,0,2.92964275105423e-14,0
43,NPCC_S7:BRANCH_ROW:78,66,67,1,2500,34.0634879075236,33.8484168818718,0,0,-0.101473691402716,-360,360,0,0,0,0,7.105427357601e-15,0
44,NPCC_S7:BRANCH_ROW:79,66,69,1,2500,37.2941673394873,17.7376913302553,0,0,-0.216680209016575,-360,360,0,0,0,0,0,0
45,NPCC_S7:BRANCH_ROW:81,67,68,1,2500,29.0755083333294,29.3791940989655,0,0,-0.339262233050302,-360,360,0,0,0,0,6.40474566797875e-15,0
46,NPCC_S7:BRANCH_ROW:82,67,70,1,2500,34.1262584948938,30.6353068541888,0,0,-0.8811810253246,-360,360,0,0,0,0,3.97205464519564e-15,0
47,NPCC_S7:BRANCH_ROW:84,68,71,1,2500,9.15580875058925,14.2966244176256,0,0,-1.25755442244695,-360,360,0,0,0,0,1.09236016348086e-13,0
48,NPCC_S7:BRANCH_ROW:85,69,71,1,2500,84.0831367980498,83.7822390416292,0,0,-1.48161013788339,-360,360,0,0,0,0,7.83502252214304e-13,0
49,NPCC_S7:BRANCH_ROW:86,70,71,1,2500,30.6353068541888,30.6556603849797,0,0,-0.715635630172652,-360,360,0,0,0,0,3.89926511396163e-13,0
50,NPCC_S7:BRANCH_ROW:87,71,72,1,2500,986.163206561036,885.767549196484,0,0,-2.57966239644174,-360,360,0,0,0,0,1.9580577665429e-12,0
51,NPCC_S7:BRANCH_ROW:88,73,74,0,1599.84337349398,0,0,0,0,4.52433313799424,-360,360,0,0,0,0,0,0
52,NPCC_S7:BRANCH_ROW:89,73,74,0,1599.84337349398,0,0,0,0,4.52433313799424,-360,360,0,0,0,0,0,0
53,NPCC_S7:BRANCH_ROW:90,74,77,1,2500,156.224543222905,156.446816247003,0,0,-0.328860580342745,-360,360,0,0,0,0,1.77635683940025e-15,0
54,NPCC_S7:BRANCH_ROW:91,74,78,1,2889.50495049505,644.536952701896,640.071388104012,0,0,1.42123288654848,-360,360,0,0,0,0,8.31668949581372e-13,0
55,NPCC_S7:BRANCH_ROW:92,74,78,1,2889.50495049505,644.536952701896,640.071388104012,0,0,1.42123288654848,-360,360,0,0,0,0,8.31668949581372e-13,0
56,NPCC_S7:BRANCH_ROW:94,76,77,0,4611.31325301205,0,0,0,0,0.676890586334286,-360,360,0,0,0,0,0,0
57,NPCC_S7:BRANCH_ROW:95,78,79,0,908.848753535103,0,0,0,0,1.41813421125595,-360,360,0,0,0,0,0,0
58,NPCC_S7:BRANCH_ROW:96,78,80,1,984.654731457801,345.987526767644,322.097850790731,0,0,5.19581477020977,-360,360,0,0,0,0,1.44922850995294e-13,0
59,NPCC_S7:BRANCH_ROW:97,78,81,0,503.818330764024,0,0,0,0,-0.0945795354897534,-360,360,0,0,0,0,0,0
60,NPCC_S7:BRANCH_ROW:98,78,82,1,451.473569126203,148.7304227366,151.07945543895,0,0,2.03155848013801,-360,360,0,0,0,0,2.06913167894542e-13,0
61,NPCC_S7:BRANCH_ROW:219,40,41,1,2500,437.33587285551,408.340190450716,0,0,1.66290628655845,-360,360,0,0,0,0,7.39510814540704e-13,0
62,NPCC_S7:BRANCH_ROW:220,49,48,1,2500,65.349404599769,67.9799353184778,0,0,-4.53765875329456,-360,360,0,0,0,0,1.46482137552712e-14,0
63,NPCC_S7:BRANCH_ROW:222,54,52,1,4583.01611665388,289.909161159972,309.921129566419,0,0,0.844805078751632,-360,360,0,0,0,0,7.41147505914642e-13,0
64,NPCC_S7:BRANCH_ROW:223,54,55,1,2500,622.791409529145,669.466261158691,0,0,2.14752675231339,-360,360,0,0,0,0,1.36542577700587e-12,0
65,NPCC_S7:BRANCH_ROW:224,56,57,1,2500,45.5448423770102,47.1255878920065,0,0,3.06257008265023,-360,360,0,0,0,0,7.105427357601e-15,0
66,NPCC_S7:BRANCH_ROW:225,58,59,1,2500,225.848960286618,226.559505378378,0,0,1.18760998087639,-360,360,0,0,0,0,2.85991465147532e-12,0
67,NPCC_S7:BRANCH_ROW:226,60,61,1,2500,42.1239883499201,43.2663571297816,0,0,-0.105364979759532,-360,360,0,0,0,0,7.11929161928699e-15,0
68,NPCC_S7:BRANCH_ROW:227,75,76,1,2500,19.1914009194329,19.1917295425236,0,0,-0.0694826208042105,-360,360,0,0,0,0,8.32667268468867e-16,0
69,NPCC_S7:BRANCH_ROW:234,38,39,1,1216,296.259179183587,298.946701714817,0,0,2.89533141345993,-360,360,0,0,0,0,5.85928550210846e-14,0
70,NPCC_S7:BRANCH_ROW:235,73,9002,0,2432,0,0,0,0,2.37960257536033,-360,360,0,0,0,0,0,0
71,NPCC_S7:BRANCH_ROW:236,9002,74,0,2432,0,0,0,0,2.14473056263391,-360,360,0,0,0,0,0,0
72,NPCC_S7:BRANCH_ROW:237,74,78,1,866.851485148515,193.481123279675,193.554081954866,0,0,1.42123288654848,-360,360,0,0,0,0,3.84547409104664e-13,0
73,NPCC_S7:BRANCH_ROW:238,77,78,1,650.138613861386,178.744132613002,178.759346015398,0,0,1.75009346689123,-360,360,0,0,0,0,3.85547193080958e-13,0
74,NPCC_S7:BRANCH_ROW:239,78,81,0,1158.78216075726,0,0,0,0,-0.0945795354897534,-360,360,0,0,0,0,0,0
75,NPCC_S7:BRANCH_ROW:240,78,79,0,1390.53859290871,0,0,0,0,1.41813421125595,-360,360,0,0,0,0,0,0
76,NPCC_S7:BRANCH_ROW:241,78,82,1,1390.53859290871,457.32760926875,464.550593578842,0,0,2.03155848013801,-360,360,0,0,0,0,8.13873899873917e-13,0
77,NPCC_S7:BRANCH_ROW:242,78,9003,1,2865.3452685422,503.199701201948,460.761186701453,0,0,1.00026147558551,-360,360,0,0,0,0,3.73018018206229e-13,0
78,NPCC_S7:BRANCH_ROW:243,9003,80,1,5000,567.895522851183,515.452172234211,0,0,4.19555329462425,-360,360,0,0,0,0,5.6843418860808e-14,0
79,NPCC_S7:BRANCH_ROW:244,81,80,1,2950,587.113154276394,506.375029753304,0,0,5.29039430569952,-360,360,0,0,0,0,5.6843418860808e-14,0
80,NPCC_S7:BRANCH_ROW:245,39,9001,1,5000,196.84214857718,197.700565121042,0,0,3.41023021240258,-360,360,0,0,0,0,2.92964275105423e-14,0
81,NPCC_S7:BRANCH_ROW:246,9001,73,0,5000,0,0,0,0,2.06360833118586,-360,360,0,0,0,0,0,0
82,PERFORM2019:AC:651:858:1,73,858,1,1216,392.084690151964,390.27388086323,0,0,1.01493193233034,-360,360,0,0,0,0,6.07087979554246e-14,0
83,PERFORM2019:AC:651:858:2,73,858,1,1216,392.0847850975,390.273798414284,0,0,1.01493193233034,-360,360,0,0,0,0,1.4210854715202e-14,0
84,PERFORM2019:AC:651:902:1,73,9002,1,1216,392.839386662065,388.916796705873,0,0,2.37960257536033,-360,360,0,0,0,0,1.55002581155608e-12,0
85,PERFORM2019:AC:651:902:2,73,9002,1,1216,392.839481147033,388.916732149937,0,0,2.37960257536033,-360,360,0,0,0,0,1.55002581155608e-12,0
86,PERFORM2019:AC:858:902:1,858,9002,1,1216,390.273922088023,388.124670973269,0,0,1.36467064302999,-360,360,0,0,0,0,3.05582945104916e-12,0
87,PERFORM2019:AC:858:902:2,858,9002,1,1216,390.27375719013,388.124800554874,0,0,1.36467064302999,-360,360,0,0,0,0,3.06454866112708e-12,0
88,PERFORM2019:AC:897:902:1,9002,74,1,1216,777.042228033067,776.572425873232,0,0,2.14473056263391,-360,360,0,0,0,0,3.18526093135958e-12,0
89,PERFORM2019:AC:897:902:2,9002,74,1,1216,777.0407405483,776.574129125653,0,0,2.14473056263391,-360,360,0,0,0,0,6.21864144571955e-12,0
90,PERFORM2019:AC:774:1519:1,76,774,1,1216,171.052352842413,169.801973942952,0,0,0.229483595275658,-360,360,0,0,0,0,2.86428933843956e-14,0
91,PERFORM2019:AC:774:900:1,774,77,1,1725,169.801973942953,168.338282359968,0,0,0.447406991058628,-360,360,0,0,0,0,2.86428933843956e-14,0
92,PERFORM2019:AC:900:1519:1,76,77,1,1725,169.606761690444,166.852585493502,0,0,0.676890586334286,-360,360,0,0,0,0,2.8421709430404e-14,0
93,NY2025:CEEC:351,43,9101,1,2000,237.236525688484,233.989905622954,0,0,3.11811697628488,-360,360,0,0,0,0,7.62402753481261e-13,0
94,NY2025:CEEC:352,43,9101,1,2000,237.236525688484,233.989905622954,0,0,3.11811697628488,-360,360,0,0,0,0,7.62402753481261e-13,0
95,NY2025:CEEC:361,9101,37,1,2000,352.94587259895,351.359626173177,0,0,1.82980049429382,-360,360,0,0,0,0,1.58029880064261e-12,0
96,NY2025:CEEC:362,9101,37,1,2000,352.94587259895,351.359626173177,0,0,1.82980049429382,-360,360,0,0,0,0,1.58029880064261e-12,0
97,NY2025:CEEC:14,43,9102,1,2000,203.9886394813,202.970583505524,0,0,2.87312940200926,-360,360,0,0,0,0,2.92964275105423e-14,0
98,NY2025:CEEC:371,9101,9102,1,2000,258.533225320454,260.445047228413,0,0,-0.244987574275618,-360,360,0,0,0,0,1.22315427784299e-11,0
99,NY2025:CEEC:LEGACY230:1,40,9103,1,1328.76341358641,233.001237762777,230.394142423408,0,0,-2.29971033296757,-360,360,0,0,0,0,2.8421709430404e-14,0
100,NY2025:CEEC:LEGACY230:2,9103,44,1,1328.76341358641,217.998430483252,219.546234036203,0,0,-3.06079562429156,-360,360,0,0,0,0,2.86861091420623e-14,0
101,NY2025:CEEC:GORDON_XFMR,9102,9103,1,1200,145.685288545464,141.2376793333,0,0,-0.54999979034126,-360,360,0,0,0,0,7.105427357601e-15,0
102,NY2025:NYES:1,9001,9104,1,1800,197.700565121041,195.089121968103,0,0,0.845246541117935,-360,360,0,0,0,0,4.01224709117773e-13,0
103,NY2025:NYES:2,9104,73,1,1800,195.089121968103,196.301112120872,0,0,1.21836179006792,-360,360,0,0,0,0,3.5527136788005e-15,0
104,NY2025:SMART_PATH:1,1220,48,1,575,301.692754353908,312.848823911124,0,0,-16.7089760297728,-360,360,0,0,0,0,5.6843418860808e-14,0
105,NY2025:SMART_PATH:2,1220,48,1,575,301.60690463198,312.761036474748,0,0,-16.7089760297728,-360,360,0,0,0,0,5.95543334264911e-14,0
106,NY2025:SMART_PATH:3,1220,44,1,453,301.649829492625,296.947570877865,0,0,10.3101899068541,-360,360,0,0,0,0,1.74191692851356e-13,0
107,NY2025:SMART_PATH:4,1220,44,1,453,301.649829492625,296.947570877865,0,0,10.3101899068541,-360,360,0,0,0,0,1.74191692851356e-13,0
108,NY2025:NYC:DELIVERY:95:1,78,1130,1,908.848753535103,212.541095566265,213.977274968075,0,0,0.691546387114142,-360,360,0,0,0,0,7.92756832253267e-13,0
109,NY2025:NYC:DELIVERY:95:2,1130,79,1,908.848753535103,242.062660792272,244.235430537331,0,0,0.726587824141809,-360,360,0,0,0,0,3.27047314924556e-12,0
110,NY2025:NYC:DELIVERY:240:1,78,557,1,1390.53859290871,325.289045147772,327.515183468427,0,0,0.690486504751339,-360,360,0,0,0,0,2.31126347658937e-12,0
111,NY2025:NYC:DELIVERY:240:2,557,79,1,1390.53859290871,368.996988883712,372.277185722348,0,0,0.727647706504612,-360,360,0,0,0,0,3.523375020748e-12,0
112,NY2025:NYC:DELIVERY:97:1,78,1129,1,503.818330764024,149.113231518672,146.496945250196,0,0,-0.0241709808134569,-360,360,0,0,0,0,7.62919703700451e-13,0
113,NY2025:NYC:DELIVERY:97:2,1129,81,1,503.818330764024,157.54441621278,154.52387862234,0,0,-0.0704085546762965,-360,360,0,0,0,0,3.78097042099184e-13,0
114,NY2025:NYC:DELIVERY:239:1,78,1129,1,1158.78216075726,342.400937520788,336.393295797614,0,0,-0.0241709808134569,-360,360,0,0,0,0,2.28172742150918e-12,0
115,NY2025:NYC:DELIVERY:239:2,1129,81,1,1158.78216075726,361.761027261129,354.825124308386,0,0,-0.0704085546762965,-360,360,0,0,0,0,7.53229892620719e-13,0
116,NY2025:NYC:RAINEY_XFMR,1130,1529,1,1500,35.0993184741726,34.7847207711033,0,0,-0.19778100778305,-360,360,0,0,0,0,7.76414261059976e-13,0
117,NY2025:NYC:ASTORIA_XFMR,557,1493,1,1500,50.1810585409267,49.6883975340467,0,0,-0.223346905003154,-360,360,0,0,0,0,1.86136431031936e-13,0
118,NY2025:NYC:CORONA_BASELINE,1493,601,1,2248,49.6883975340748,63.1288726706322,0,0,-0.0137776321361773,-360,360,0,0,0,0,6.1444991905039e-12,0
119,NY2025:RCC_QUEENS:CABLE,1529,601,1,300,34.7847207710949,38.3930626431759,0,0,-0.040403411719085,-360,360,0,0,0,0,4.34433151623244e-12,0
120,NY2025:RCC_BROOKLYN:PAR,1129,9112,1,300,41.2524878835591,41.6379386718746,0,0,0.326495682359953,-360,360,0,0,0,0,1.93288521312744e-13,0
121,NY2025:RCC_BROOKLYN:CABLE,9112,9111,1,300,41.6379386718926,41.082727595622,0,0,0.00961330782866554,-360,360,0,0,0,0,3.5527136788005e-15,0
122,NY2025:RCC_STATEN:PAR,81,9113,1,300,76.1010410961066,77.6684438420423,0,0,0.236184400559697,-360,360,0,0,0,0,3.5527136788005e-15,0
123,NY2025:RCC_STATEN:CABLE,9113,9114,1,300,77.6684438420342,72.253904679178,0,0,0.0840957101943314,-360,360,0,0,0,0,6.05805919666427e-12,0
124,NY2025:NYC:GREENWOOD_CORONA,9111,601,1,600,105.928218823891,101.50428938211,0,0,0.141423958236846,-360,360,0,0,0,0,1.52746857801744e-12,0
125,NY2025:NYC:FOX_GREENWOOD,9114,9111,1,600,72.2539046791938,66.2703556918428,0,0,0.0862374341108865,-360,360,0,0,0,0,3.13926634173077e-12,0
