source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.08368435350394,0.9,1.1,-2.8421709430404e-13,1.45959633268689e-12,0,0,0,0
38,1,1.09420575286311,0.9,1.1,-2.27373675443232e-13,-2.13509765423225e-12,0,0,0,0
39,1,1.08652927666383,0.9,1.1,1.19371179607697e-12,2.8421709430404e-14,0,0,0,0
40,1,0.998930517857007,0.9,1.1,-2.83064815949048e-13,-1.41629327288906e-12,0,0,0,0
41,1,0.927231354819053,0.9,1.1,1.98951966012828e-13,-1.37845290737459e-12,0,0,0,0
42,3,0.900000059361306,0.9,1.1,0,5.6843418860808e-14,0,0,0,0
43,1,1.08858397445394,0.9,1.1,5.11590769747272e-13,5.95912208467553e-12,0,0,0,0
44,1,1.06229812878158,0.9,1.1,-3.41060513164848e-13,-8.18095591270662e-12,0,0,0,0
45,1,1.0269453442327,0.9,1.1,-5.6843418860808e-14,9.16600129130529e-13,0,0,0,0
46,1,0.926062185045256,0.9,1.1,2.38919994899334e-13,1.33226762955019e-13,0,0,0,0
47,2,0.900000146843701,0.9,1.1,-4.54747350886464e-13,5.6843418860808e-13,0,0,0,0
48,2,1.09999996158712,0.9,1.1,2.22134600481611e-13,-7.95807864051312e-13,0,0,0,0
49,1,1.05828176590059,0.9,1.1,7.105427357601e-15,-2.92654789291191e-13,0,0,0,0
50,2,1.09434654305692,0.9,1.1,-3.41060513164848e-13,-3.86535248253495e-12,0,0,0,0
51,2,0.922770500886869,0.9,1.1,-2.8421709430404e-14,1.93267624126747e-12,0,0,0,0
52,1,1.05283268788014,0.9,1.1,-3.44231711144405e-14,7.47290204110067e-13,0,0,0,0
53,2,1.08296936167306,0.9,1.1,-3.97903932025656e-13,-5.6843418860808e-13,0,0,0,0
54,2,0.984228688438888,0.9,1.1,-1.13686837721616e-13,-9.09494701772928e-13,0,0,0,0
55,2,1.05610388617791,0.9,1.1,0,-5.6843418860808e-13,0,0,0,0
56,2,1.00609541806501,0.9,1.1,7.95807864051312e-13,3.32534000335727e-12,0,0,0,0
57,2,1.0397705609925,0.9,1.1,8.88178419700125e-14,6.53699316899292e-13,0,0,0,0
58,1,1.00449302050968,0.9,1.1,-2.1316282072803e-13,-1.38609124178402e-11,0,0,0,0
59,1,1.00751288007127,0.9,1.1,-1.13686837721616e-13,5.04485342389671e-12,0,0,0,0
60,2,1.00028414352042,0.9,1.1,2.70006239588838e-13,1.84741111297626e-13,0,0,0,0
61,2,1.02693194722273,0.9,1.1,5.6843418860808e-14,4.68958205601666e-13,0,0,0,0
62,1,1.00456068917649,0.9,1.1,2.12291595450188e-13,3.39819696405107e-12,0,0,0,0
63,1,1.01569800878405,0.9,1.1,-6.0825903897529e-14,9.02607530126432e-13,0,0,0,0
64,1,0.984250276491866,0.9,1.1,0,-7.28306304154103e-13,0,0,0,0
65,2,0.900000052730344,0.9,1.1,2.22932783344731e-13,0,0,0,0,0
66,1,1.09496932819642,0.9,1.1,3.90798504668055e-14,-1.1576568696714e-12,0,0,0,0
67,1,1.08758932269865,0.9,1.1,-5.6843418860808e-14,6.38996234397782e-13,0,0,0,0
68,2,1.09999994566143,0.9,1.1,5.6843418860808e-14,7.38964445190504e-13,0,0,0,0
69,1,1.09999995943775,0.9,1.1,-1.26509599251806e-13,-1.17326590577577e-12,0,0,0,0
70,1,1.09025626756603,0.9,1.1,-5.16282830530741e-14,7.73803875983206e-13,0,0,0,0
71,2,1.08781385956437,0.9,1.1,2.8421709430404e-13,0,0,0,0,0
72,2,0.959239693072265,0.9,1.1,-3.97903932025656e-13,-7.95807864051312e-13,0,0,0,0
73,1,1.08558778395485,0.9,1.1,1.13686837721616e-12,2.19273488255567e-11,0,0,0,0
74,1,1.08638744507153,0.9,1.1,-6.13908923696727e-12,-3.70814490224802e-11,0,0,0,0
75,1,1.0858184173952,0.9,1.1,-2.1316282072803e-13,2.42653119819636e-12,0,0,0,0
76,1,1.08583687970324,0.9,1.1,-3.41060513164848e-12,-1.1503686891956e-11,0,0,0,0
77,1,1.08646060294448,0.9,1.1,2.85034034163411e-12,1.20182465493526e-11,0,0,0,0
78,2,1.08534735013929,0.9,1.1,9.52127265918534e-12,2.36468622460961e-11,0,0,0,0
79,2,1.09999999019265,0.9,1.1,2.72848410531878e-12,4.54747350886464e-13,0,0,0,0
80,2,0.900000005938781,0.9,1.1,5.6843418860808e-13,-1.36424205265939e-12,0,0,0,0
81,1,1.04571752473937,0.9,1.1,-7.04858393874019e-12,-8.08597633294994e-12,0,0,0,0
82,2,1.09999998870608,0.9,1.1,-2.27373675443232e-13,-1.59161572810262e-12,0,0,0,0
9001,1,1.09100918815179,0.9,1.1,-3.82486821234849e-13,1.61106522608247e-12,0,0,0,0
9002,1,1.08644427518614,0.9,1.1,6.32641194769729e-12,-7.59664713376086e-12,0,0,0,0
9003,1,0.992803837895248,0.9,1.1,-1.67688085639384e-12,-1.67643676718399e-12,0,0,0,0
858,1,1.08625251387304,0.9,1.1,-1.79619997584837e-13,2.5128284239976e-11,0,0,0,0
774,1,1.08623899108561,0.9,1.1,6.76468560454483e-12,3.64571799910543e-11,0,0,0,0
9101,1,1.08751262955041,0.9,1.1,-7.72662494235531e-13,-9.76512582461031e-15,0,0,0,0
