source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.07248367857697,0.9,1.1,7.38964445190504e-13,1.01209405439784e-11,0,0,0,0
38,1,1.083622396481,0.9,1.1,-2.27373675443232e-13,-4.44045841763163e-12,0,0,0,0
39,1,1.07500720426587,0.9,1.1,-5.11590769747272e-13,-6.52278231427772e-12,0,0,0,0
40,1,1.07053036412608,0.9,1.1,-6.90806094633581e-15,1.52129946297235e-12,0,0,0,0
41,1,1.07954079813008,0.9,1.1,-1.70530256582424e-13,-2.99849034490762e-12,0,0,0,0
42,3,1.09999999800196,0.9,1.1,0,2.8421709430404e-14,0,0,0,0
43,1,1.05637255273888,0.9,1.1,3.97903932025656e-13,7.77711228749922e-12,0,0,0,0
44,1,1.03962523255584,0.9,1.1,5.11590769747272e-13,-3.7025937871249e-12,0,0,0,0
45,1,1.01705300017718,0.9,1.1,-2.27373675443232e-13,1.58451030074502e-12,0,0,0,0
46,1,0.922154536107956,0.9,1.1,-1.06581410364015e-13,4.2632564145606e-14,0,0,0,0
47,2,0.900000007796997,0.9,1.1,5.11590769747272e-13,2.27373675443232e-13,0,0,0,0
48,2,1.09999999461815,0.9,1.1,-3.35318752471696e-13,0,0,0,0,0
49,1,1.05748572136706,0.9,1.1,-5.6843418860808e-14,-5.41788836017076e-14,0,0,0,0
50,2,1.05959211974517,0.9,1.1,-4.54747350886464e-13,2.8421709430404e-12,0,0,0,0
51,2,0.900000004244774,0.9,1.1,-2.8421709430404e-14,-1.47792889038101e-12,0,0,0,0
52,1,0.995401588296111,0.9,1.1,4.96632511516416e-13,-6.70074799696272e-13,0,0,0,0
53,2,1.01085757496146,0.9,1.1,-5.6843418860808e-14,-2.27373675443232e-13,0,0,0,0
54,2,0.912569195446776,0.9,1.1,-9.09494701772928e-13,-2.72848410531878e-12,0,0,0,0
55,2,0.98381883578178,0.9,1.1,8.5265128291212e-14,6.82121026329696e-13,0,0,0,0
56,2,0.935355517862481,0.9,1.1,-5.6843418860808e-13,1.74793512996985e-12,0,0,0,0
57,2,0.967804909567839,0.9,1.1,-1.4033219031262e-13,-7.105427357601e-14,0,0,0,0
58,1,0.935155804076456,0.9,1.1,4.83169060316868e-13,2.05524486318609e-12,0,0,0,0
59,1,0.937057911766592,0.9,1.1,-3.97903932025656e-13,8.66862137627322e-13,0,0,0,0
60,2,0.929480908900783,0.9,1.1,-4.2632564145606e-14,8.10018718766514e-13,0,0,0,0
61,2,0.956991958092861,0.9,1.1,0,2.55795384873636e-13,0,0,0,0
62,1,0.941030813290019,0.9,1.1,-3.95815438829873e-13,3.1074219006613e-13,0,0,0,0
63,1,0.988759198246939,0.9,1.1,1.07025494016064e-14,8.78403777117457e-13,0,0,0,0
64,1,0.969287862283086,0.9,1.1,-2.1316282072803e-13,-4.2632564145606e-14,0,0,0,0
65,2,0.900000002503795,0.9,1.1,7.90478793533111e-14,2.8421709430404e-14,0,0,0,0
66,1,1.08830740897894,0.9,1.1,-1.66977542903624e-13,-2.37310171513627e-12,0,0,0,0
67,1,1.08048113755701,0.9,1.1,2.48689957516035e-14,9.54791801177635e-13,0,0,0,0
68,2,1.09999999675001,0.9,1.1,1.4210854715202e-13,-1.84741111297626e-13,0,0,0,0
