branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,64.8334564410063,35.2570597296323,0,0,0.0733767354616755,-360,360,0,0,0,0,1.4210854715202e-14,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,784.491275460065,778.538992987007,0,0,2.79383452281818,-360,360,0,0,0,0,2.27817331817184e-13,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,149.543474365631,150.230694130655,0,0,0.00752843161460975,-360,360,0,0,0,0,3.06775334720487e-14,0
4,NPCC_S7:BRANCH_ROW:36,37,43,0,3745.98196383403,0,0,0,0,-3.73698754844963,-360,360,0,0,0,0,0,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,55.1797740144468,72.8059947209305,0,0,-1.00202031424861,-360,360,0,0,0,0,0,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,590.293538184462,585.92548491223,0,0,5.22011060606458,-360,360,0,0,0,0,1.13908665908592e-13,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,590.293538184462,585.92548491223,0,0,5.22011060606458,-360,360,0,0,0,0,1.13908665908592e-13,0
8,NPCC_S7:BRANCH_ROW:40,40,44,0,1328.76341358641,0,0,0,0,-4.63258396371838,-360,360,0,0,0,0,0,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,345.684517523183,346.242413166812,0,0,-1.72562239855477,-360,360,0,0,0,0,6.35528743231302e-14,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,22.9564419859126,18.7207809923477,0,0,-1.94301396330892,-360,360,0,0,0,0,2.13165711914216e-14,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,255.786263784421,251.211593074133,0,0,-0.888067983654145,-360,360,0,0,0,0,1.98951966012828e-13,0
