source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.092643689636,0.9,1.1,-1.67688085639384e-12,-1.40807070864168e-11,0,0,0,0
38,1,1.0999994291531,0.9,1.1,4.54747350886464e-13,7.06205927070158e-12,0,0,0,0
39,1,1.09206855887539,0.9,1.1,1.36424205265939e-12,2.40163444686914e-12,0,0,0,0
40,1,1.04848175372243,0.9,1.1,-1.82025504315201e-13,7.46033966084875e-13,0,0,0,0
41,1,1.01210572928861,0.9,1.1,6.25277607468888e-13,5.40012479177676e-13,0,0,0,0
42,3,1.00521846045017,0.9,1.1,0,-1.4210854715202e-14,0,0,0,0
43,1,1.09245767805296,0.9,1.1,5.6843418860808e-14,-7.43849426498855e-13,0,0,0,0
44,1,1.07291935700234,0.9,1.1,-8.5265128291212e-14,2.66453525910038e-13,0,0,0,0
45,1,1.04244883125746,0.9,1.1,-5.6843418860808e-14,1.13686837721616e-13,0,0,0,0
46,1,0.940595621744727,0.9,1.1,1.74971148680925e-13,4.2632564145606e-13,0,0,0,0
47,2,0.900000336031248,0.9,1.1,3.97903932025656e-13,3.41060513164848e-13,0,0,0,0
48,2,1.09999983080762,0.9,1.1,-3.49084544365615e-13,-1.59161572810262e-12,0,0,0,0
49,1,1.0610732008403,0.9,1.1,8.5265128291212e-14,-1.31894495325469e-13,0,0,0,0
50,2,1.09324506975218,0.9,1.1,0,7.95807864051312e-13,0,0,0,0
51,2,0.91407851211984,0.9,1.1,-1.98951966012828e-13,-5.6843418860808e-13,0,0,0,0
52,1,1.05140301052157,0.9,1.1,3.02741710761582e-14,-7.46453103429001e-13,0,0,0,0
53,2,1.08328102259888,0.9,1.1,5.6843418860808e-14,-5.6843418860808e-13,0,0,0,0
54,2,0.981447757123517,0.9,1.1,-4.54747350886464e-13,-3.97903932025656e-12,0,0,0,0
55,2,1.05662158341088,0.9,1.1,3.41060513164848e-13,2.27373675443232e-13,0,0,0,0
56,2,1.00352657872461,0.9,1.1,1.19371179607697e-12,3.89377419196535e-12,0,0,0,0
57,2,1.03990317393912,0.9,1.1,5.32907051820075e-15,-2.77111666946439e-13,0,0,0,0
58,1,1.0028985812119,0.9,1.1,-1.06581410364015e-13,-3.06243919112603e-12,0,0,0,0
59,1,1.00630622569809,0.9,1.1,1.13686837721616e-13,-7.105427357601e-13,0,0,0,0
60,2,0.999912087921363,0.9,1.1,-6.3948846218409e-14,3.5527136788005e-13,0,0,0,0
61,2,1.02614780339482,0.9,1.1,-8.5265128291212e-14,8.5265128291212e-14,0,0,0,0
62,1,1.00273624132617,0.9,1.1,5.80646557659651e-14,3.57770274190301e-13,0,0,0,0
63,1,1.01399890892187,0.9,1.1,-6.5714067466164e-14,1.80798740851887e-13,0,0,0,0
64,1,0.983309666207346,0.9,1.1,-8.5265128291212e-14,-4.2632564145606e-14,0,0,0,0
65,2,0.900000148078015,0.9,1.1,2.22044604925031e-13,0,0,0,0,0
