source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.08025681861952,0.9,1.1,1.0324549748475e-07,7.66733941962028e-09,0,0,0,0
38,1,1.09124717069506,0.9,1.1,7.96546828496503e-09,5.09516040470004e-09,0,0,0,0
39,1,1.08298063194898,0.9,1.1,8.97952645573241e-08,-3.09560732603131e-09,0,0,0,0
40,1,1.0226924327175,0.9,1.1,3.76833335113121e-08,-6.54827708870432e-09,0,0,0,0
41,1,0.977503678721812,0.9,1.1,1.74118213180918e-08,1.59610635819263e-09,0,0,0,0
42,3,0.965789179290726,0.9,1.1,-2.33746959565906e-08,-9.02180374851014e-08,0,0,0,0
43,1,1.07826447157213,0.9,1.1,3.37948733886151e-07,-1.83375092888127e-08,0,0,0,0
44,1,1.05511186255998,0.9,1.1,-1.27246664760605e-07,-9.86893899934671e-10,0,0,0,0
45,1,1.02426678842227,0.9,1.1,2.10441555736907e-07,3.15760928515374e-09,0,0,0,0
46,1,0.924923961274266,0.9,1.1,-2.07911430294416e-08,3.44346773317739e-09,0,0,0,0
47,2,0.900000024998878,0.9,1.1,5.3955773182679e-10,9.35983734962065e-10,0,0,0,0
48,2,1.09999999130335,0.9,1.1,-2.67116251742486e-08,-3.98063093598466e-09,0,0,0,0
49,1,1.05805094883814,0.9,1.1,8.21032131170796e-11,-7.74269537373584e-12,0,0,0,0
50,2,1.08353710448407,0.9,1.1,8.93001015356276e-07,-5.92593096371274e-07,0,0,0,0
51,2,0.918168207439806,0.9,1.1,1.20052396823667e-06,1.91174308383779e-07,0,0,0,0
52,1,1.03289042687588,0.9,1.1,1.30707729617557e-08,-5.69092896894943e-08,0,0,0,0
53,2,1.05672824386153,0.9,1.1,4.40433399262474e-06,1.96235132534639e-05,0,0,0,0
54,2,0.958664077490882,0.9,1.1,-7.58823045998724e-06,5.15897772856988e-06,0,0,0,0
55,2,1.03013966479302,0.9,1.1,3.13346438929329e-06,6.80436630773329e-06,0,0,0,0
56,2,0.980887795132372,0.9,1.1,-7.11505748540731e-06,8.52383308824756e-07,0,0,0,0
57,2,1.01400315623536,0.9,1.1,1.94068123882118e-06,4.14474548904309e-07,0,0,0,0
58,1,0.97983180756361,0.9,1.1,4.89629918831724e-07,-3.64678642839067e-07,0,0,0,0
59,1,0.982422119902895,0.9,1.1,6.53438564768294e-06,2.85732340898903e-07,0,0,0,0
60,2,0.975167209953108,0.9,1.1,-1.38180217135186e-06,5.29418443306895e-07,0,0,0,0
61,2,1.00202647770961,0.9,1.1,-7.17051847232142e-07,2.30965966352414e-07,0,0,0,0
62,1,0.982028078332033,0.9,1.1,8.77579431813499e-07,6.29991718110961e-09,0,0,0,0
63,1,1.00660782708936,0.9,1.1,1.13751157955946e-06,-1.44911934885769e-07,0,0,0,0
64,1,0.979207150922463,0.9,1.1,2.87798172848852e-07,1.16155195684087e-07,0,0,0,0
65,2,0.900000008407512,0.9,1.1,2.81504856580739e-06,-5.71729771081664e-07,0,0,0,0
66,1,1.09433638657406,0.9,1.1,-1.20343450760174e-08,1.60251586306392e-09,0,0,0,0
67,1,1.08643273079274,0.9,1.1,4.96578653752522e-08,-2.33965598631092e-09,0,0,0,0
68,2,1.099999991252,0.9,1.1,-2.50653897637676e-09,6.20293860720267e-09,0,0,0,0
69,1,1.09999997303393,0.9,1.1,5.33218768551411e-08,5.58896446774308e-09,0,0,0,0
70,1,1.091515546182,0.9,1.1,-9.00660860648274e-09,3.76751838544129e-10,0,0,0,0
71,2,1.09095819600908,0.9,1.1,2.70343605279777e-07,-1.68108499565278e-07,0,0,0,0
72,2,0.964778230777467,0.9,1.1,2.41731342498497e-07,2.85171358882508e-06,0,0,0,0
73,1,1.08222377870221,0.9,1.1,7.84181111157523e-08,-7.45238537547266e-09,0,0,0,0
74,1,1.08474196683696,0.9,1.1,2.21978098124964e-08,-5.28366239649358e-10,0,0,0,0
75,1,1.08425956837606,0.9,1.1,1.69642078162724e-10,-6.84174938925253e-12,0,0,0,0
76,1,1.08427805949737,0.9,1.1,-3.55942120222608e-09,3.51086271166423e-10,0,0,0,0
77,1,1.08490555719712,0.9,1.1,7.29213092727002e-10,-1.59440679909569e-11,0,0,0,0
78,2,1.08424455923506,0.9,1.1,1.61302864398749e-08,-2.02123828785261e-09,0,0,0,0
79,2,1.09999999813146,0.9,1.1,6.54836185276508e-10,-3.37763594870921e-10,0,0,0,0
80,2,0.900000001117679,0.9,1.1,1.30808075482491e-09,-3.39923644787632e-11,0,0,0,0
81,1,1.04452071513331,0.9,1.1,1.4210854715202e-11,1.25865540212544e-10,0,0,0,0
82,2,1.09999999785088,0.9,1.1,1.50726009451319e-09,-3.60955709766131e-10,0,0,0,0
9001,1,1.08552808571396,0.9,1.1,8.45165925434235e-09,-2.84231879652444e-10,0,0,0,0
9002,1,1.08396962016602,0.9,1.1,3.40689514643574e-08,-1.49626486840526e-09,0,0,0,0
9003,1,0.992248146395366,0.9,1.1,5.53910695089144e-10,1.64424029946986e-11,0,0,0,0
858,1,1.08326263489085,0.9,1.1,1.18847789428733e-08,-4.92603632303901e-10,0,0,0,0
774,1,1.08468106769928,0.9,1.1,-1.16725314837771e-12,-1.2372422486976e-11,0,0,0,0
9101,1,1.08034557999393,0.9,1.1,1.84757154998568e-07,-6.81063476584408e-09,0,0,0,0
9102,1,1.07903002617012,0.9,1.1,4.59374769522716e-08,-1.136297487271e-09,0,0,0,0
9103,1,1.05343869001117,0.9,1.1,3.35118849363698e-08,-6.69784515678256e-09,0,0,0,0
9104,1,1.08558063366543,0.9,1.1,3.74256229958321e-09,-1.10528372404672e-10,0,0,0,0
1220,1,1.0609269366091,0.9,1.1,-1.56021787413969e-07,1.15266594545472e-08,0,0,0,0
1130,1,1.09090541860467,0.9,1.1,7.19791296603221e-10,-2.76062796500489e-12,0,0,0,0
557,1,1.09099788844676,0.9,1.1,1.09231723853318e-09,-4.65684420943948e-11,0,0,0,0
1529,1,1.08127746088473,0.9,1.1,5.41255472245614e-11,-1.46970377149972e-11,0,0,0,0
1493,1,1.08045157514659,0.9,1.1,6.81694761502621e-11,-1.84765963442542e-11,0,0,0,0
601,1,1.0799914038707,0.9,1.1,2.08013146482322e-11,-2.45255994504738e-12,0,0,0,0
1129,1,1.06506435316102,0.9,1.1,6.81577501020305e-11,-2.98591920880226e-12,0,0,0,0
9111,1,1.07497698220467,0.9,1.1,3.06227558164803e-11,1.39310773070362e-11,0,0,0,0
9112,1,1.07476043725863,0.9,1.1,-7.56632487438279e-11,-5.02419487728094e-12,0,0,0,0
9113,1,1.06594273748599,0.9,1.1,-3.27552360065062e-11,-3.85761989276878e-12,0,0,0,0
9114,1,1.07046870848453,0.9,1.1,1.26886702402071e-11,9.21272487454274e-12,0,0,0,0
