zone,zone_name,actual_load_mw,target_load_mw,load_share,actual_load_q_mvar,target_load_q_mvar,source_csv_line,scenario_id,timestamp,timestamp_utc,vintage,dataset_split,campaign_role,scale_factor_gamma,source_id,scale_policy,scale_reference_scenario_id,scale_reference_source_id,target_use,provenance_class,source_field,actual_unit,model_power_scale
A,WEST,2620.7106,932.340491582214,0.0855184089843234,NaN,NaN,210,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,fixed_year_peak,S1_2025_SUMMER_PEAK_PUBLIC,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
B,GENESE,1788.1464,636.148567337793,0.0583503707578569,NaN,NaN,203,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,fixed_year_peak,S1_2025_SUMMER_PEAK_PUBLIC,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
C,CENTRL,2560.2205,910.820614656522,0.0835445103358795,NaN,NaN,201,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,fixed_year_peak,S1_2025_SUMMER_PEAK_PUBLIC,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
D,NORTH,478.3731,170.185373086867,0.0156101579521595,NaN,NaN,209,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,fixed_year_peak,S1_2025_SUMMER_PEAK_PUBLIC,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
E,MHK VL,1249.5819,444.549582437007,0.040776061265066,NaN,NaN,206,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,fixed_year_peak,S1_2025_SUMMER_PEAK_PUBLIC,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
F,CAPITL,2208.8633,785.822247965843,0.0720791052166776,NaN,NaN,200,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,fixed_year_peak,S1_2025_SUMMER_PEAK_PUBLIC,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
G,HUD VL,2293.6963,816.002322378635,0.0748473556253137,NaN,NaN,204,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,fixed_year_peak,S1_2025_SUMMER_PEAK_PUBLIC,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
H,MILLWD,640.25,227.774482133019,0.0208924866989179,NaN,NaN,207,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,fixed_year_peak,S1_2025_SUMMER_PEAK_PUBLIC,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
I,DUNWOD,1366.5224,486.15217802916,0.0445920360261981,NaN,NaN,202,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,fixed_year_peak,S1_2025_SUMMER_PEAK_PUBLIC,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
J,N.Y.C.,10230.2371,3639.49544326512,0.333830679482274,NaN,NaN,208,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,fixed_year_peak,S1_2025_SUMMER_PEAK_PUBLIC,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
K,LONGIL,5208.3862,1852.92849582782,0.169958827655334,NaN,NaN,205,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,fixed_year_peak,S1_2025_SUMMER_PEAK_PUBLIC,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
