source_id,publisher,publication_date,source_url,sha256,byte_count,retrieved_on,cache_path,verification
CEEC_COMPLETION,NYPA,2023-12-13,https://www.nypa.gov/news/press-releases/2023/20231213-transmission-line,,,2026-09-08,,primary_web_text_reviewed_download_failed_HTTPError
NYES_COMPLETION,New York Transco,2023-08-16,https://nytransco.com/wp-content/uploads/2023/08/NYES-News-Release.8.16.23_updated.pdf,,,2026-09-08,,primary_web_text_reviewed_download_failed_HTTPError
SMART_PATH_COMPLETION,NYPA,2023-06-20,https://www.nypa.gov/News/Press-Releases/2023/20230620-78-mile,,,2026-09-08,,primary_web_text_reviewed_download_failed_HTTPError
SMART_PATH_GREEN_BOND,NYPA,2023,https://nypa.gov/-/media/nypa/documents/document-library/financials/2023-nypa-green-bond-report.pdf,,,2026-09-08,,primary_web_text_reviewed_download_failed_HTTPError
SPC_FULL_COMPLETION,NYPA,2026-06,https://www.nypa.gov/News/Press-Releases/2026/20260622-smarthpath,,,2026-09-08,,primary_web_text_reviewed_download_failed_HTTPError
RCC_QUEENS_COMPLETION,Con Edison,2023-05-03,https://www.coned.com/en/about-us/media-center/news/2023/05-03/con-edison-completes-important-clean-energy-project-in-queens,de57bdfc628035b4ab36838786d875d17fe396b84eded5961c9ab0d7aad0c0e8,109933,2026-09-08,tmp/infrastructure_status_audit/RCC_QUEENS_COMPLETION.html,downloaded_primary_source_bytes
RCC_MAY_ANNOUNCEMENT,Con Edison,2025-05-16,https://www.coned.com/en/about-us/media-center/news/2025/05-16/con-edison-investing-in-major-reliability-projects--serving-customers-in-brooklyn-and-staten-island,1bb7e2998876ecea0686a9ca46a47e2b6d2eedd2a2c1d0de98c17892ca013085,105606,2026-09-08,tmp/infrastructure_status_audit/RCC_MAY_ANNOUNCEMENT.html,downloaded_primary_source_bytes
RCC_BROOKLYN_COMPLETION,Con Edison,2025-09-23,https://www.coned.com/en/about-us/media-center/news/2025/09-23/con-edison-customers-brighten-the-future--with-new-community-solar-record,6b866984c7766cdba3583052c4ae204eabce00879581be9094b16d6b30544f68,110495,2026-09-08,tmp/infrastructure_status_audit/RCC_BROOKLYN_COMPLETION.html,downloaded_primary_source_bytes
RCC_LIC_PLAN,Con Edison,2025-04-18,https://www.coned.com/en/about-us/media-center/news/2025/04-18/con-edison-begins-construction-of-transmission-line-in-western-queens,cfd9f54f88fcb461848b45202cdb1a35e58aa7315a529fd131b2eff5e47fd4e7,107044,2026-09-08,tmp/infrastructure_status_audit/RCC_LIC_PLAN.html,downloaded_primary_source_bytes
CHPE_COMMERCIAL,CHPE owner,2026-06-16,https://chpexpress.com/news/the-champlain-hudson-power-express-marks-completion-of-a-landmark-1250-mw-energy-infrastructure-project-connecting-quebec-to-new-york-city/,,,2026-09-08,,primary_web_text_reviewed_download_failed_HTTPError
PROPEL_PLAN,Propel NY Energy owners,undated current project schedule,https://www.propelnyenergy.com/queens-route,752b3962118bd83f1470a364aa6be71949cd20a1289d64de1b9b7beffcef0196,343320,2026-09-08,tmp/infrastructure_status_audit/PROPEL_PLAN.html,downloaded_primary_source_bytes
SPC_WRY2,NYPA,05/22/2026,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B10C04F9E-0000-C283-8084-4BDC812FABF1%7D,0cab8db880d6cb74761bfd1cb27e4cd25750d5538090e31d9d07dfa276b03162,75210,2026-09-08,tmp/infrastructure_status_audit/10C04F9E-0000-C283-8084-4BDC812FABF1.pdf,owner_in_service_notice_DPS_Case_21_T_0340
SPC_W2,NYPA,05/15/2026,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B900A2C9E-0000-C62F-9961-3B948070005A%7D,1cfb043f97535a4e4185b32f25421e505fb86409f8d66aef577f7ef5a69e2848,80096,2026-09-08,tmp/infrastructure_status_audit/900A2C9E-0000-C62F-9961-3B948070005A.pdf,owner_in_service_notice_DPS_Case_21_T_0340
SPC_HW1,NYPA,04/29/2026,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B304AD99D-0000-CE2F-A0C5-929B7BCC08B2%7D,afb2d92818de76fe65bd4aedc4e2a939ce07b068c2790ef8dbafbae0d073873c,79278,2026-09-08,tmp/infrastructure_status_audit/304AD99D-0000-CE2F-A0C5-929B7BCC08B2.pdf,owner_in_service_notice_DPS_Case_21_T_0340
SPC_MH1,NYPA,04/16/2026,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7BE06E969D-0000-CE21-B946-CF365666B73B%7D,6a6b833531846936d845a7e97ba117d586c2b6a6868e7239a1dc2e4e8ddd41e5,75021,2026-09-08,tmp/infrastructure_status_audit/E06E969D-0000-CE21-B946-CF365666B73B.pdf,owner_in_service_notice_DPS_Case_21_T_0340
SPC_LINE12,National Grid,03/31/2026,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B30EE449D-0000-C554-9B1F-EEA1FBA5E0FB%7D,6b4a3abb5c93c91110ccc370ae8bbca432ece691a5ee5c10f1f3196bbbd4fc98,107177,2026-09-08,tmp/infrastructure_status_audit/30EE449D-0000-C554-9B1F-EEA1FBA5E0FB.pdf,owner_in_service_notice_DPS_Case_21_T_0340
SPC_HA1,NYPA,03/30/2026,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B101D3F9D-0000-CA6E-AF99-F8341FEECB4B%7D,2bfed6f027e96e21ca36cce152b5b521ca2c9d145891c69a76682335d0b9543b,80640,2026-09-08,tmp/infrastructure_status_audit/101D3F9D-0000-CA6E-AF99-F8341FEECB4B.pdf,owner_in_service_notice_DPS_Case_21_T_0340
SPC_WPN2,NYPA,11/18/2025,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7BA04C979A-0000-C6D4-BECD-FE0D512766ED%7D,5248a2933869d384312d10787203421a2b13af8281359d3dd7a01cbacc4bc738,66785,2026-09-08,tmp/infrastructure_status_audit/A04C979A-0000-C6D4-BECD-FE0D512766ED.pdf,owner_in_service_notice_DPS_Case_21_T_0340
SPC_MH3,NYPA,10/27/2025,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B8034269A-0000-C526-9C99-74AC5F0E7BDF%7D,d716a794036b1f4209165fb798d2df88de11e004d3f4401b4b5bf99e2a0253f8,444847,2026-09-08,tmp/infrastructure_status_audit/8034269A-0000-C526-9C99-74AC5F0E7BDF.pdf,owner_in_service_notice_DPS_Case_21_T_0340
SPC_WPN1,NYPA,10/27/2025,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B5032269A-0000-CD29-9014-65C9818C76E0%7D,30e5b0197048f8b6708d8e6e8cd8e5b350098c202c1c8b00ef17336051d0a1ea,446154,2026-09-08,tmp/infrastructure_status_audit/5032269A-0000-CD29-9014-65C9818C76E0.pdf,owner_in_service_notice_DPS_Case_21_T_0340
SPC_W1,NYPA,10/23/2025,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B7070129A-0000-C424-9EE7-954087900810%7D,d3f5d31758c6361892c9cbffa4a41305738db47ac2a7744953446965628a3bde,448713,2026-09-08,tmp/infrastructure_status_audit/7070129A-0000-C424-9EE7-954087900810.pdf,owner_in_service_notice_DPS_Case_21_T_0340
SPC_HA2,NYPA,10/14/2025,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B7068E499-0000-C447-80CF-7A033EE81A59%7D,383affbc77eb23294148efae52804270989c4f96985d7ec809c316574e7f90b7,444277,2026-09-08,tmp/infrastructure_status_audit/7068E499-0000-C447-80CF-7A033EE81A59.pdf,owner_in_service_notice_DPS_Case_21_T_0340
SPC_LINE11,National Grid,10/14/2025,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B804FE499-0000-C12E-8CA7-F547F681A4FA%7D,ca2ffc6d4f22c63b8a21090f9c3b7a896f1daacbb7b96b584edd3aa59669f1ea,235986,2026-09-08,tmp/infrastructure_status_audit/804FE499-0000-C12E-8CA7-F547F681A4FA.pdf,owner_in_service_notice_DPS_Case_21_T_0340
SPC_MH2,NYPA,10/09/2025,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7BE031C999-0000-C531-A4C4-16D562D34460%7D,8d881514f603a080c950d0234e94674ec1055c2e2bbc318272b2868c664bf6f5,71210,2026-09-08,tmp/infrastructure_status_audit/E031C999-0000-C531-A4C4-16D562D34460.pdf,owner_in_service_notice_DPS_Case_21_T_0340
SPC_HW2,NYPA,10/06/2025,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B8094B999-0000-C718-99E2-5B687BD30A50%7D,1b9a84062c2f4a51652d2f46e36d98404e1811b20eac41a16b918c78b567d456,39178,2026-09-08,tmp/infrastructure_status_audit/8094B999-0000-C718-99E2-5B687BD30A50.pdf,owner_in_service_notice_DPS_Case_21_T_0340
