branch_row,branch_key,conductor_code,circuits,bundle_count,equipment_limit_mva,declared_asset_kind,equipment_limit_policy,reference_resistance_policy,multiplicity_policy,base_kv,base_mva,from_bus,to_bus,frozen_r_pu,frozen_x_pu,frozen_b_pu,resistance_reference_c,resistance_eq_ohm,effective_length_km,inherited_rating_a_mva,reconstructed_r_ohm,resistance_identity_error_ohm,length_requires_review,realization_class,length_policy,physical_conductor_verified,thermal_parameters_assumed,research_thermal_eligible,qualification_scope
82,PERFORM2019:AC:651:858:1,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,73,858,0.00035,0.00527,0.13611,75,0.4165875,11.04138,1216,0.4165875,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
83,PERFORM2019:AC:651:858:2,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,73,858,0.00035,0.00527,0.13612,75,0.4165875,11.04138,1216,0.4165875,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
84,PERFORM2019:AC:651:902:1,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,73,9002,0.00081,0.01237,0.31971,75,0.9641025,25.552908,1216,0.9641025,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
85,PERFORM2019:AC:651:902:2,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,73,9002,0.00081,0.01237,0.31972,75,0.9641025,25.552908,1216,0.9641025,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
86,PERFORM2019:AC:858:902:1,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,858,9002,0.00047,0.00713,0.18428,75,0.5594175,14.826996,1216,0.5594175,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
87,PERFORM2019:AC:858:902:2,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,858,9002,0.00047,0.00713,0.18426,75,0.5594175,14.826996,1216,0.5594175,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
88,PERFORM2019:AC:897:902:1,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,9002,74,0.00037,0.00563,0.14565,75,0.4403925,11.672316,1216,0.4403925,5.55111512312578e-17,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
89,PERFORM2019:AC:897:902:2,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,9002,74,0.00037,0.00563,0.14542,75,0.4403925,11.672316,1216,0.4403925,5.55111512312578e-17,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
90,PERFORM2019:AC:774:1519:1,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,76,774,0.00018,0.00276,0.07125,75,0.214245,5.678424,1216,0.214245,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
91,PERFORM2019:AC:774:900:1,CARDINAL_954_ACSR,1,2,1725,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,774,77,0.00035,0.00541,0.13993,75,0.4165875,11.04138,1725,0.4165875,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
