iteration,max_temperature_fixed_point_error_c,max_equilibrium_temperature_c,max_heat_balance_residual_w_m,max_series_ampacity_fraction,bounded_AC_pass
1,43.7491615802861,43.359882367872,147.222207293317,0.559071374322042,1
2,21.8746785208044,43.3956910370482,72.6957266778918,0.559833562181278,1
3,10.937343914138,43.4157627003813,36.1470569955156,0.560260258703485,1
4,5.46868457899827,43.425570674613,18.026849298815,0.56046862514834,1
5,2.73434851831806,43.4304911636795,9.00219876760337,0.560573124898496,1
6,1.36717735830648,43.4329520245643,4.49835210972697,0.560625379334791,1
7,0.683590227689706,43.4341808647067,2.24849853925754,0.560651470656033,1
8,0.341795887924501,43.4347940605538,1.12408200720826,0.560664489793265,1
9,0.170898330567688,43.4350999541357,0.561999928309667,0.560670984275643,1
10,0.0854493581996572,43.4352525290626,0.280990025022583,0.560674223588897,1
11,0.0427247753086561,43.4353286263861,0.140492687135931,0.560675839200503,1
12,0.0213624356186166,43.4353665791177,0.0702458410563911,0.560676644967595,1
13,0.0106812417173678,43.4353855073743,0.0351228341114229,0.560677046829241,1
14,0.00534063277466146,43.435394947444,0.0175614149834153,0.560677247249153,1
15,0.0026703223260931,43.4353996554641,0.00878071670645175,0.560677347203996,1
