accounting_id,source_gen_row,bus_id,inherited_status,inherited_pmin_mw,inherited_pmax_mw,inherited_qmin_mvar,inherited_qmax_mvar,source_case,parameter_provenance,contemporary_unit_id,contemporary_status,contemporary_pmin_mw,contemporary_pmax_mw,contemporary_qmin_mvar,contemporary_qmax_mvar,review_cutoff,release_eligible
inherited_gen_001,1,21,1,0,1793.93322,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_002,2,22,1,0,412.624315,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_003,3,23,1,0,180.231046,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_004,4,23,1,0,181.476826,-9999,9999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_005,5,24,1,0,596.869973,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_006,6,25,1,0,333.659703,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_007,7,26,1,0,281.047831,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_008,8,27,1,0,1535.86381,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_009,9,36,1,0,1645.49178,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_010,10,42,1,0,568.003995,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_011,11,47,1,0,944.920662,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_012,12,48,1,0,40.0600457,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_013,13,50,1,0,1105.24857748821,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_014,14,51,1,0,292.878562141814,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_015,15,53,1,0,288.8,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_016,16,54,1,0,197.192650893643,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_017,17,54,1,0,197.192650893643,-9999,9999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_018,18,55,1,0,197.192650893643,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_019,19,56,1,0,495.093851384339,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_020,20,57,1,0,14.3166985641929,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_021,21,60,1,0,59.5351288283759,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
