zone,source_bus,model_bus,gen_row,active_capacity_share,reactive_capability_share,pmax_mw,qmin_mvar,qmax_mvar,vg_pu,source_Q_limits_placeholder,policy,scenario_id
J,1136,1136,64,0,0.135871217081722,0,-237.947511103008,237.947511103008,1.02,1,relocated_bounded_Q_source_placeholder_not_copied,S1_2019_SUMMER_PEAK_PUBLIC
J,595,595,65,0.0186476486693466,0.0212173770092474,67.4284983717288,-37.1574065495271,37.1574065495271,1.02,0,relocated_bounded_zonal_generation_and_Q,S1_2019_SUMMER_PEAK_PUBLIC
J,557,557,66,0.049872541228444,0.0320246452730068,180.335366921836,-56.0838770737248,56.0838770737248,1.02,0,relocated_bounded_zonal_generation_and_Q,S1_2019_SUMMER_PEAK_PUBLIC
K,589,9003,67,0.0236669625861274,0.0298829745591019,47.9172740282977,-29.3027038136715,29.3027038136715,1.01,0,relocated_bounded_zonal_generation_and_Q,S1_2019_SUMMER_PEAK_PUBLIC
J,1136,1136,64,0,0.135871217081722,0,-292.501767266012,292.501767266012,1.02,1,relocated_bounded_Q_source_placeholder_not_copied,S2_2019_WINTER_PEAK_PUBLIC
J,595,595,65,0.0186476486693466,0.0212173770092474,82.8878387775441,-45.6764898795403,45.6764898795403,1.02,0,relocated_bounded_zonal_generation_and_Q,S2_2019_WINTER_PEAK_PUBLIC
J,557,557,66,0.049872541228444,0.0320246452730068,221.680879453985,-68.9422347102955,68.9422347102955,1.02,0,relocated_bounded_zonal_generation_and_Q,S2_2019_WINTER_PEAK_PUBLIC
K,589,9003,67,0.0236669625861274,0.0298829745591019,58.9032735449765,-36.0209384474753,36.0209384474753,1.01,0,relocated_bounded_zonal_generation_and_Q,S2_2019_WINTER_PEAK_PUBLIC
J,1136,1136,64,0,0.135871217081722,0,-605.205102479857,605.205102479857,1.02,1,relocated_bounded_Q_source_placeholder_not_copied,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,595,595,65,0.0186476486693466,0.0212173770092474,171.500307265072,-94.5076161311778,94.5076161311778,1.02,0,relocated_bounded_zonal_generation_and_Q,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,557,557,66,0.049872541228444,0.0320246452730068,458.672098366373,-142.645949161358,142.645949161358,1.02,0,relocated_bounded_zonal_generation_and_Q,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
K,589,9003,67,0.0236669625861274,0.0298829745591019,121.874688263905,-74.5296548061509,74.5296548061509,1.01,0,relocated_bounded_zonal_generation_and_Q,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,1136,1136,64,0,0.135871217081722,0,-246.689655768887,246.689655768887,1.02,1,relocated_bounded_Q_source_placeholder_not_copied,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,595,595,65,0.0186476486693466,0.0212173770092474,69.9058081138485,-38.5225623435888,38.5225623435888,1.02,0,relocated_bounded_zonal_generation_and_Q,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,557,557,66,0.049872541228444,0.0320246452730068,186.960852764058,-58.1443876650274,58.1443876650274,1.02,0,relocated_bounded_zonal_generation_and_Q,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
K,589,9003,67,0.0236669625861274,0.0298829745591019,49.6777452330945,-30.3792793771352,30.3792793771352,1.01,0,relocated_bounded_zonal_generation_and_Q,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,1136,1136,64,0,0.135871217081722,0,-297.176776817361,297.176776817361,1.02,1,relocated_bounded_Q_source_placeholder_not_copied,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,595,595,65,0.0186476486693466,0.0212173770092474,84.2126220142325,-46.4065300035877,46.4065300035877,1.02,0,relocated_bounded_zonal_generation_and_Q,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,557,557,66,0.049872541228444,0.0320246452730068,225.223969940192,-70.0441275596091,70.0441275596091,1.02,0,relocated_bounded_zonal_generation_and_Q,S5_2019_HIGH_TOTAL_EAST_PUBLIC
K,589,9003,67,0.0236669625861274,0.0298829745591019,59.8447152634399,-36.5966554178872,36.5966554178872,1.01,0,relocated_bounded_zonal_generation_and_Q,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,1136,1136,64,0,0.135871217081722,0,-427.090716392309,427.090716392309,1.02,1,relocated_bounded_Q_source_placeholder_not_copied,S6_2019_LOW_TOTAL_EAST_PUBLIC
J,595,595,65,0.0186476486693466,0.0212173770092474,121.027051475955,-66.6936304941967,66.6936304941967,1.02,0,relocated_bounded_zonal_generation_and_Q,S6_2019_LOW_TOTAL_EAST_PUBLIC
J,557,557,66,0.049872541228444,0.0320246452730068,323.68298660697,-100.664651319282,100.664651319282,1.02,0,relocated_bounded_zonal_generation_and_Q,S6_2019_LOW_TOTAL_EAST_PUBLIC
K,589,9003,67,0.0236669625861274,0.0298829745591019,86.0064591449029,-52.5952665190721,52.5952665190721,1.01,0,relocated_bounded_zonal_generation_and_Q,S6_2019_LOW_TOTAL_EAST_PUBLIC
