gen_row,device_key,source_bus,online,pg_mw,pmin_mw,pmax_mw,qg_mvar,qmin_mvar,qmax_mvar,p_below_min_mw,p_above_max_mw,q_below_min_mvar,q_above_max_mvar,violated,invalid_capability_bounds
1,PERFORM2019:GEN:6:1,6,1,2.74321304955024,1,2.8,0.0643939900135539,-1.5,1.8,0,0,0,0,0,0
2,PERFORM2019:GEN:6:2,6,1,2.74321304955024,1,2.8,0.064393990013554,-1.5,1.8,0,0,0,0,0,0
3,PERFORM2019:GEN:6:3,6,1,2.93954100814958,1,3,0.0384876782090189,-1.7,2,0,0,0,0,0,0
4,PERFORM2019:GEN:6:4,6,1,2.93954100814958,1,3,0.0384876782090189,-1.7,2,0,0,0,0,0,0
5,PERFORM2019:GEN:15:1,15,1,7.84182137139733,7,8,-0.890905116575858,-4.4,5.2,0,0,0,0,0,0
6,PERFORM2019:GEN:15:2,15,1,7.84182137139733,7,8,-0.890905116575857,-4.4,5.2,0,0,0,0,0,0
7,PERFORM2019:GEN:17:1,17,0,0,10.5,18.000001,0,-9.9,11.7,0,0,0,0,0,0
8,PERFORM2019:GEN:17:2,17,1,11.4136023530851,11.4,18.000001,0.962360950010467,-9.9,11.7,0,0,0,0,0,0
9,PERFORM2019:GEN:17:3,17,1,11.0136226062618,11,18.000001,0.962360950010467,-9.9,11.7,0,0,0,0,0,0
10,PERFORM2019:GEN:17:4,17,1,11.2136114123838,11.2,18.000001,0.962360950010467,-9.9,11.7,0,0,0,0,0,0
11,PERFORM2019:GEN:17:5,17,1,11.4136023530851,11.4,18.000001,0.962360950010467,-9.9,11.7,0,0,0,0,0,0
12,PERFORM2019:GEN:17:6,17,1,10.7136423063841,10.7,18.000001,0.962360950010467,-9.9,11.7,0,0,0,0,0,0
13,PERFORM2019:GEN:17:7,17,1,9.0137410512146,9,18.000001,0.962360950010467,-9.9,11.7,0,0,0,0,0,0
14,PERFORM2019:GEN:17:8,17,1,29.8138523254089,29.800001,41.800001,2.3941061203345,-23,27.200001,0,0,0,0,0,0
15,PERFORM2019:GEN:17:9,17,0,0,30.000001,41.800001,0,-23,27.200001,0,0,0,0,0,0
16,PERFORM2019:GEN:17:10,17,0,0,30.000001,41.800001,0,-23,27.200001,0,0,0,0,0,0
