branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,PERFORM2019:AC:1:142:1,142,1,1,167,55.9936153615782,55.1099927326137,0,0,5.16037927100793,0,0,0,0,0,0,1.69351194475312e-13,0
2,PERFORM2019:AC:1:199:1,1,199,1,167,17.8907284141668,17.882086086059,0,0,0.107174980884437,0,0,0,0,0,0,3.18511838323196e-12,0
3,PERFORM2019:AC:1:228:1,1,228,1,167,46.2452997755838,46.0178007110158,0,0,1.34226084046121,0,0,0,0,0,0,7.25382444034371e-13,0
4,PERFORM2019:AC:1:228:2,1,228,1,167,41.7769249927683,41.5517354608394,0,0,1.34226084046121,0,0,0,0,0,0,9.03102769588294e-13,0
5,PERFORM2019:AC:1:242:1,1,242,1,167,46.0193720216872,45.9093555103479,0,0,0.738044647252551,0,0,0,0,0,0,9.02452213998155e-13,0
6,PERFORM2019:AC:1:881:1,881,1,1,167,27.4941979263408,27.3018548012828,0,0,0.609865488438928,0,0,0,0,0,0,7.99234249039218e-13,0
7,PERFORM2019:AC:1:882:1,882,1,1,167,27.7615407651694,27.5717024931117,0,0,0.60958874153765,0,0,0,0,0,0,1.43548098511724e-12,0
8,PERFORM2019:AC:1:883:1,883,1,1,167,26.6418274167869,26.5355025325832,0,0,0.348599667227802,0,0,0,0,0,0,1.43924811660117e-12,0
9,PERFORM2019:AC:1:1402:1,1,1402,1,116,75.5401824773645,75.4840513841809,0,0,0.51133058732097,0,0,0,0,0,0,1.48553144445883e-12,0
10,PERFORM2019:AC:1:1402:2,1,1402,1,116,75.5401824773645,75.4840513841809,0,0,0.51133058732097,0,0,0,0,0,0,1.48553144445883e-12,0
11,PERFORM2019:AC:1:1403:1,1,1403,1,167,75.5160540349869,75.4175882908285,0,0,0.501668921520405,0,0,0,0,0,0,5.12891069647381e-12,0
12,PERFORM2019:AC:1:1404:1,1,1404,1,167,75.437975958632,75.3393011205025,0,0,0.503331784565006,0,0,0,0,0,0,3.57834464520011e-12,0
13,PERFORM2019:AC:1:1405:1,1,1405,1,167,19.0993133943348,19.0857776795906,0,0,0.125621369296539,0,0,0,0,0,0,1.47440928655852e-12,0
14,PERFORM2019:AC:1:1422:1,1,1422,1,167,25.3305037734428,25.3180884518225,0,0,0.113335088985849,0,0,0,0,0,0,3.5211764061098e-12,0
15,PERFORM2019:AC:1:1550:1,1,1550,1,116,71.4047424202262,72.2888366012199,0,0,-4.1442244570013,0,0,0,0,0,0,3.96382396449034e-13,0
16,PERFORM2019:AC:1:1550:2,1,1550,1,116,71.4047424202262,72.2888366012199,0,0,-4.1442244570013,0,0,0,0,0,0,3.96382396449034e-13,0
17,PERFORM2019:AC:1:1551:1,1,1551,1,556,160.210038693473,161.265931610315,0,0,-1.80767137795027,0,0,0,0,0,0,1.90048619439069e-12,0
18,PERFORM2019:AC:1:1551:2,1,1551,1,556,175.109277149048,176.261444378407,0,0,-1.80767137795027,0,0,0,0,0,0,2.01655233086218e-12,0
19,PERFORM2019:AC:2:777:1,777,2,1,96,1.55162553546089,1.54000000000003,0,0,0.0827539870238212,0,0,0,0,0,0,3.60851724452252e-13,0
20,PERFORM2019:AC:3:794:1,794,3,1,167,3.42206426832236,3.42000000000153,0,0,0.0130586959522248,0,0,0,0,0,0,4.4798876913077e-16,0
21,PERFORM2019:AC:4:193:1,4,193,1,167,25.0355749112803,25.0290214876402,0,0,0.0614062016188797,0,0,0,0,0,0,3.15648021842231e-12,0
22,PERFORM2019:AC:4:193:2,4,193,1,167,24.2347948066388,24.228505760886,0,0,0.0614062016188797,0,0,0,0,0,0,3.14565017101292e-12,0
23,PERFORM2019:AC:4:193:3,4,193,1,167,24.7995366343435,24.7930394142379,0,0,0.0614062016188797,0,0,0,0,0,0,1.40996861932323e-12,0
24,PERFORM2019:AC:4:449:1,4,449,1,167,13.0533857646228,12.9944304506267,0,0,0.204313355660801,0,0,0,0,0,0,8.84808077024486e-13,0
25,PERFORM2019:AC:4:1527:1,4,1527,1,167,80.5285308339346,80.8489124873397,0,0,-0.98876681332284,0,0,0,0,0,0,1.06990577131804e-12,0
26,PERFORM2019:AC:4:1527:2,4,1527,1,167,80.5285308339346,80.8489124873397,0,0,-0.98876681332284,0,0,0,0,0,0,1.06990577131804e-12,0
