source_bus,pd_gross_mw,qd_gross_mvar,p_boundary_mw,q_boundary_mvar,pd_effective_mw,qd_effective_mvar
1,115.19,0,0,0,115.19,0
2,1.54,0,0,0,1.54,0
3,3.42,0,0,0,3.42,0
4,74.05,0,0,0,74.05,0
5,3.42,0,0,0,3.42,0
6,3.42,0,0,0,3.42,0
7,6.84,0,0,0,6.84,0
8,6.84,0,0,0,6.84,0
9,36.73,0,0,0,36.73,0
10,14.81,0,0,0,14.81,0
11,6.84,0,0,0,6.84,0
12,3.42,0,0,0,3.42,0
13,13.69,0,0,0,13.69,0
14,4.15,0,0,0,4.15,0
15,4.15,0,0,0,4.15,0
16,10.39,0,0,0,10.39,0
17,44.52,0,0,0,44.52,0
18,41.74,0,0,0,41.74,0
19,77.35,0,129.999995,-110.476803435258,-52.649995,110.476803435258
20,8.31,0,0,0,8.31,0
21,8.31,0,0,0,8.31,0
22,1.54,0,0,0,1.54,0
23,10.39,0,0,0,10.39,0
24,20.89,0,0,0,20.89,0
25,2.08,0,0,0,2.08,0
26,0,0,0,0,0,0
27,8.36,0,0,0,8.36,0
28,2.08,0,0,0,2.08,0
29,16.71,0,0,0,16.71,0
30,8.36,0,0,0,8.36,0
31,3.42,0,0,0,3.42,0
32,3.42,0,0,0,3.42,0
33,5.05,0,0,0,5.05,0
34,8.36,0,0,0,8.36,0
35,35.24,0,0,0,35.24,0
36,35.24,0,0,0,35.24,0
37,7.58,0,0,0,7.58,0
38,5.05,0,0,0,5.05,0
39,0,0,0,0,0,0
40,2.08,0,0,0,2.08,0
41,5.05,0,0,0,5.05,0
42,17.68,0,0,0,17.68,0
43,5.05,0,0,0,5.05,0
44,2.53,0,0,0,2.53,0
45,7.58,0,0,0,7.58,0
46,5.05,0,0,0,5.05,0
47,2.53,0,0,0,2.53,0
48,10.1,0,0,0,10.1,0
49,4.15,0,0,0,4.15,0
50,4.15,0,0,0,4.15,0
51,4.18,0,0,0,4.18,0
52,4.18,0,0,0,4.18,0
53,8.36,0,0,0,8.36,0
54,0,0,0,0,0,0
55,12.54,0,0,0,12.54,0
56,8.36,0,0,0,8.36,0
57,8.36,0,0,0,8.36,0
58,6.27,0,0,0,6.27,0
59,14.54,0,0,0,14.54,0
60,1.87,0,0,0,1.87,0
61,12.54,0,0,0,12.54,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,2.08,0,0,0,2.08,0
65,5.05,0,0,0,5.05,0
66,5.05,0,0,0,5.05,0
67,2.53,0,0,0,2.53,0
68,5.05,0,0,0,5.05,0
69,12.63,0,0,0,12.63,0
70,5.05,0,0,0,5.05,0
71,7.58,0,0,0,7.58,0
72,2.53,0,0,0,2.53,0
73,5.05,0,0,0,5.05,0
74,10.1,0,0,0,10.1,0
75,2.53,0,0,0,2.53,0
76,5.05,0,0,0,5.05,0
77,12.63,0,0,0,12.63,0
78,5.05,0,0,0,5.05,0
79,0,0,0,0,0,0
80,4.15,0,0,0,4.15,0
81,20.89,0,0,0,20.89,0
82,2.08,0,0,0,2.08,0
83,6.23,0,0,0,6.23,0
84,3.42,0,0,0,3.42,0
85,2.53,0,0,0,2.53,0
86,5.05,0,0,0,5.05,0
87,7.58,0,0,0,7.58,0
88,5.05,0,0,0,5.05,0
89,2.53,0,0,0,2.53,0
90,5.05,0,0,0,5.05,0
91,5.05,0,0,0,5.05,0
92,14.4,0,0,0,14.4,0
93,14.4,0,0,0,14.4,0
94,14.4,0,0,0,14.4,0
95,7.2,0,0,0,7.2,0
96,7.2,0,0,0,7.2,0
97,14.4,0,0,0,14.4,0
98,14.4,0,0,0,14.4,0
99,14.4,0,0,0,14.4,0
