source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
1,1,1.01487680248945,0.9,1.1,-4.59010607301025e-12,-3.08086889333481e-12,0,0,0,0
2,1,1.00956364680907,0.9,1.1,5.7065463465733e-14,-2.2422283485219e-13,0,0,0,0
3,1,1.01663867972829,0.9,1.1,-1.50990331349021e-13,-2.24061220965854e-12,0,0,0,0
4,1,1.01250606834053,0.9,1.1,7.75912667450029e-12,3.19300141882195e-11,0,0,0,0
5,1,1.01847535322033,0.9,1.1,2.06727968077303e-11,-1.06732591514946e-10,0,0,0,0
6,2,1.03541833777559,0.9,1.1,-3.5527136788005e-14,5.55111512312578e-17,0,0,0,0
7,1,1.03267872776206,0.9,1.1,1.11111120304486e-12,-3.80381490194814e-12,0,0,0,0
8,1,1.01335272272013,0.9,1.1,4.78728168218368e-13,-1.37303363123564e-12,0,0,0,0
9,1,1.05585832207041,0.9,1.1,9.9475983006414e-14,2.60763632908834e-12,0,0,0,0
10,1,1.00316455948391,0.9,1.1,6.3948846218409e-14,8.13932254928318e-13,0,0,0,0
11,1,1.01682515351153,0.9,1.1,8.61533067109121e-12,3.53612972237016e-11,0,0,0,0
12,1,1.0238847283734,0.9,1.1,6.82431888776591e-12,1.46067489700807e-10,0,0,0,0
13,1,1.01929021004424,0.9,1.1,-1.77280412572145e-12,1.81157172596258e-12,0,0,0,0
14,1,1.0192156085418,0.9,1.1,2.37410091585843e-12,8.57622349872966e-12,0,0,0,0
15,2,1.02675301736705,0.9,1.1,2.38031816479634e-12,-5.09592368302947e-13,0,0,0,0
16,1,1.00462210387368,0.9,1.1,-9.50350909079134e-13,-7.8687056870308e-13,0,0,0,0
17,2,1.06356342351299,0.9,1.1,2.1600499167107e-12,5.44986278327997e-12,0,0,0,0
18,2,1.06856561610029,0.9,1.1,6.05382410867605e-12,-4.38404867963982e-12,0,0,0,0
19,2,1.03691516002248,0.9,1.1,-2.27373675443232e-12,3.08375547319883e-12,0,0,0,0
20,1,1.0192907216425,0.9,1.1,2.1476154188349e-12,-1.81243908770057e-12,0,0,0,0
21,1,1.01914733777935,0.9,1.1,8.44124770082999e-12,-3.08464365161853e-12,0,0,0,0
22,1,1.00557891089221,0.9,1.1,-1.95621296938953e-13,-6.49255497454926e-13,0,0,0,0
23,1,0.999656164788245,0.9,1.1,-3.73034936274053e-14,2.83401774270331e-12,0,0,0,0
24,2,1.02516672270229,0.9,1.1,3.59534624294611e-12,-2.73869815714534e-12,0,0,0,0
25,1,1.03140206126846,0.9,1.1,1.98951966012828e-13,6.7914424084492e-13,0,0,0,0
26,2,1.07531962286332,0.9,1.1,2.27373675443232e-13,-1.2170175978099e-10,0,0,0,0
27,2,1.01470979604047,0.9,1.1,6.43183284410043e-11,-4.46149783783767e-11,0,0,0,0
28,2,1.01903510384638,0.9,1.1,1.27391430737589e-11,1.44711499727723e-11,0,0,0,0
29,2,1.0177488772216,0.9,1.1,-7.67386154620908e-13,5.6843418860808e-14,0,0,0,0
30,2,1.01653448178435,0.9,1.1,-2.91322521661641e-13,-4.2454928461666e-13,0,0,0,0
31,2,1.01431009551866,0.9,1.1,1.73372427525464e-12,1.39989131398011e-11,0,0,0,0
32,2,1.01402807706936,0.9,1.1,-4.34852154285181e-12,-9.27258270166931e-12,0,0,0,0
33,2,1.02053865655747,0.9,1.1,-4.9737991503207e-13,3.38395977905748e-13,0,0,0,0
34,2,1.03435937158527,0.9,1.1,-1.01465502666542e-11,2.91322521661641e-13,0,0,0,0
35,1,1.01640290178911,0.9,1.1,-1.01252339845814e-11,-9.26022591940523e-11,0,0,0,0
36,1,1.01635264635099,0.9,1.1,-3.61950469596195e-11,9.39887057072042e-11,0,0,0,0
37,2,1.01522175270501,0.9,1.1,4.40536496171262e-12,-1.11910480882216e-12,0,0,0,0
38,2,1.01443690212012,0.9,1.1,4.2632564145606e-14,4.01456645704457e-13,0,0,0,0
39,2,1.01790164237677,0.9,1.1,3.41060513164848e-13,2.95585778076202e-12,0,0,0,0
40,1,1.04466971217509,0.9,1.1,1.71862524211974e-13,1.01620101222721e-12,0,0,0,0
41,2,1.0094659251677,0.9,1.1,2.20126139538479e-11,-7.48556772123266e-12,0,0,0,0
42,1,1.00578508249441,0.9,1.1,-1.4352963262354e-12,-1.7382623118678e-11,0,0,0,0
43,1,1.00482252361607,0.9,1.1,-8.24140755639746e-12,3.59400009752875e-12,0,0,0,0
44,1,1.00481074643739,0.9,1.1,-6.14219786143622e-12,1.0218562107589e-11,0,0,0,0
45,1,1.00481914380539,0.9,1.1,8.37374614093278e-12,-3.03229663600746e-12,0,0,0,0
46,1,1.00573401265587,0.9,1.1,2.22755147660791e-12,1.25399690631411e-11,0,0,0,0
47,1,1.01106505927239,0.9,1.1,-3.06865644006393e-13,8.79504802320241e-14,0,0,0,0
48,1,1.01070562957973,0.9,1.1,6.3948846218409e-14,7.57727214306669e-13,0,0,0,0
49,1,0.998397185792664,0.9,1.1,-3.23296944770846e-13,-4.79945944098503e-12,0,0,0,0
50,1,1.01536559717268,0.9,1.1,-4.2543746303636e-13,7.97278909558941e-13,0,0,0,0
51,1,1.01621072829092,0.9,1.1,3.99680288865056e-14,-2.13752626709862e-12,0,0,0,0
52,2,1.01746760372845,0.9,1.1,-1.03028696685215e-13,0,0,0,0,0
53,2,1.02253865821879,0.9,1.1,-1.13686837721616e-13,9.9475983006414e-14,0,0,0,0
54,1,1.03974331686624,0.9,1.1,-8.54675408011474e-13,8.96989100960132e-13,0,0,0,0
55,1,1.02074866873527,0.9,1.1,5.86197757002083e-14,-1.66533453693773e-13,0,0,0,0
56,1,1.02182089290978,0.9,1.1,2.46913600676635e-13,-5.24580379135386e-13,0,0,0,0
57,1,1.02400865832183,0.9,1.1,1.95399252334028e-14,-4.57966997657877e-13,0,0,0,0
58,1,1.03658104315964,0.9,1.1,-1.3855583347322e-13,-4.10158018659956e-12,0,0,0,0
59,1,1.03118220435049,0.9,1.1,-2.45137243837235e-13,2.62984078958084e-13,0,0,0,0
60,2,1.03938075951612,0.9,1.1,-1.15463194561016e-13,-1.33226762955019e-15,0,0,0,0
61,1,1.02951373045857,0.9,1.1,-1.45661260830821e-13,2.03309591384482e-13,0,0,0,0
62,1,1.06296118664947,0.9,1.1,1.61004979487493e-11,-2.17219409468071e-10,0,0,0,0
63,2,1.06297426991486,0.9,1.1,-8.42419467517175e-11,2.7227997634327e-11,0,0,0,0
64,1,1.00777383182771,0.9,1.1,8.81139605724002e-11,7.44892862669655e-11,0,0,0,0
