branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,PERFORM2019:AC:1:142:1,142,1,1,167,55.8561565461945,54.9740241451517,0,0,5.14750485772116,0,0,0,0,0,0,7.105427357601e-15,0
2,PERFORM2019:AC:1:199:1,1,199,1,167,17.8907286743074,17.8820860966586,0,0,0.10717917009957,0,0,0,0,0,0,2.57134624311988e-12,0
3,PERFORM2019:AC:1:228:1,1,228,1,167,46.2643207002048,46.036755529686,0,0,1.34288933166016,0,0,0,0,0,0,5.74969144626718e-13,0
4,PERFORM2019:AC:1:228:2,1,228,1,167,41.7941168065466,41.5688403874257,0,0,1.34288933166016,0,0,0,0,0,0,4.05044417540378e-13,0
5,PERFORM2019:AC:1:242:1,1,242,1,167,46.0206521397071,45.9106389697567,0,0,0.7380941254915,0,0,0,0,0,0,7.105427357601e-15,0
6,PERFORM2019:AC:1:881:1,881,1,1,167,27.4870560927654,27.2946787710647,0,0,0.609723620050801,0,0,0,0,0,0,5.36883100758923e-13,0
7,PERFORM2019:AC:1:882:1,882,1,1,167,27.754323195731,27.5644510978288,0,0,0.609446814454046,0,0,0,0,0,0,6.21788331869309e-13,0
8,PERFORM2019:AC:1:883:1,883,1,1,167,26.6546401649793,26.5483365831066,0,0,0.348781748814702,0,0,0,0,0,0,1.77635683940025e-15,0
9,PERFORM2019:AC:1:1402:1,1,1402,1,116,75.5422678357093,75.4861384173694,0,0,0.511364744015495,0,0,0,0,0,0,1.46482137552712e-14,0
10,PERFORM2019:AC:1:1402:2,1,1402,1,116,75.5422678357093,75.4861384173694,0,0,0.511364744015495,0,0,0,0,0,0,1.46482137552712e-14,0
11,PERFORM2019:AC:1:1403:1,1,1403,1,167,75.5243912478453,75.4259405621797,0,0,0.50174782480498,0,0,0,0,0,0,1.77635683940025e-15,0
12,PERFORM2019:AC:1:1404:1,1,1404,1,167,75.4463025997028,75.3476428354391,0,0,0.50341093125077,0,0,0,0,0,0,0,0
13,PERFORM2019:AC:1:1405:1,1,1405,1,167,19.107351575786,19.0937517931333,0,0,0.125689189318535,0,0,0,0,0,0,1.11022302462516e-16,0
14,PERFORM2019:AC:1:1422:1,1,1422,1,167,25.330504193571,25.318088441568,0,0,0.113339519754007,0,0,0,0,0,0,2.85293567039957e-12,0
15,PERFORM2019:AC:1:1550:1,1,1550,1,116,71.4182069411744,72.3024968877633,0,0,-4.1451835678152,0,0,0,0,0,0,2.26100292131484e-13,0
16,PERFORM2019:AC:1:1550:2,1,1550,1,116,71.4182069411744,72.3024968877633,0,0,-4.1451835678152,0,0,0,0,0,0,2.26100292131484e-13,0
17,PERFORM2019:AC:1:1551:1,1,1551,1,556,160.292370718362,161.348358983932,0,0,-1.80875441554656,0,0,0,0,0,0,2.84355838317334e-14,0
18,PERFORM2019:AC:1:1551:2,1,1551,1,556,175.199271732055,176.351530557588,0,0,-1.80875441554656,0,0,0,0,0,0,2.8477166477148e-14,0
19,PERFORM2019:AC:2:777:1,777,2,1,96,1.55162223016262,1.5399999999998,0,0,0.0827667880050171,0,0,0,0,0,0,2.68694621543394e-13,0
