gen_row,device_key,source_bus,online,pg_mw,pmin_mw,pmax_mw,qg_mvar,qmin_mvar,qmax_mvar,p_below_min_mw,p_above_max_mw,q_below_min_mvar,q_above_max_mvar,violated,invalid_capability_bounds
1,PERFORM2019:GEN:6:1,6,1,2.744616,1,2.8,-0.188632693098334,-1.5,1.8,0,0,0,0,0,0
2,PERFORM2019:GEN:6:2,6,1,2.744616,1,2.8,-0.188632693098334,-1.5,1.8,0,0,0,0,0,0
3,PERFORM2019:GEN:6:3,6,1,2.94066,1,3,-0.229679080140557,-1.7,2,0,0,0,0,0,0
4,PERFORM2019:GEN:6:4,6,1,2.94066,1,3,-0.229679080140557,-1.7,2,0,0,0,0,0,0
5,PERFORM2019:GEN:15:1,15,1,7.841761,7,8,-1.23151922527252,-4.4,5.2,0,0,0,0,0,0
6,PERFORM2019:GEN:15:2,15,1,7.841761,7,8,-1.23151922527252,-4.4,5.2,0,0,0,0,0,0
7,PERFORM2019:GEN:17:1,17,0,0,10.5,18.000001,0,-9.9,11.7,0,0,0,0,0,0
8,PERFORM2019:GEN:17:2,17,1,11.4,11.4,18.000001,-5.27524139664097,-9.9,11.7,0,0,0,0,0,0
9,PERFORM2019:GEN:17:3,17,1,11,11,18.000001,-5.27524139664097,-9.9,11.7,0,0,0,0,0,0
10,PERFORM2019:GEN:17:4,17,1,11.2,11.2,18.000001,-5.27524139664097,-9.9,11.7,0,0,0,0,0,0
11,PERFORM2019:GEN:17:5,17,1,11.4,11.4,18.000001,-5.27524139664097,-9.9,11.7,0,0,0,0,0,0
12,PERFORM2019:GEN:17:6,17,1,10.7,10.7,18.000001,-5.27524139664097,-9.9,11.7,0,0,0,0,0,0
13,PERFORM2019:GEN:17:7,17,1,9,9,18.000001,-5.27524139664097,-9.9,11.7,0,0,0,0,0,0
14,PERFORM2019:GEN:17:8,17,1,29.800001,29.800001,41.800001,-12.2517182169731,-23,27.200001,0,0,0,0,0,0
15,PERFORM2019:GEN:17:9,17,0,0,30.000001,41.800001,0,-23,27.200001,0,0,0,0,0,0
16,PERFORM2019:GEN:17:10,17,0,0,30.000001,41.800001,0,-23,27.200001,0,0,0,0,0,0
17,PERFORM2019:GEN:17:11,17,1,30.000001,30.000001,41.800001,-12.2517182169731,-23,27.200001,3.5527136788005e-15,0,0,0,0,0
18,PERFORM2019:GEN:17:12,17,1,183.000004,15.000001,188,-55.0969688418134,-103.400004,122.2,0,0,0,0,0,0
19,PERFORM2019:GEN:17:13,17,1,183.000004,15.000001,188,-55.0969688418134,-103.400004,122.2,0,0,0,0,0,0
20,PERFORM2019:GEN:18:1,18,1,15.898612,10,16,-5.76143235386556,-8.8,10.4,0,0,0,0,0,0
21,PERFORM2019:GEN:18:2,18,1,52.664155,37,52.999997,-19.1189187990227,-29.2,34.5,0,0,0,0,0,0
22,PERFORM2019:GEN:18:3,18,1,52.664155,37,52.999997,-19.1189187990227,-29.2,34.5,0,0,0,0,0,0
23,PERFORM2019:GEN:18:4,18,1,54.651493,40.000001,55.000001,-19.8390976849972,-30.3,35.800001,0,0,0,0,0,0
24,PERFORM2019:GEN:18:5,18,0,0,44.100001,55.000001,0,-30.3,35.800001,0,0,0,0,0,0
25,PERFORM2019:GEN:19:1,19,1,15.898612,10.6,16,0.692870978487022,-8.8,10.4,0,0,0,0,0,0
26,PERFORM2019:GEN:19:2,19,0,0,40.000001,386.999989,0,-212.899995,251.600003,0,0,0,0,0,0
27,PERFORM2019:GEN:19:3,19,1,384.54771,30.000001,386.999989,16.7582628396604,-212.899995,251.600003,0,0,0,0,0,0
28,PERFORM2019:GEN:19:4,19,1,386.999989,40.000001,386.999989,16.7582628396604,-212.899995,251.600003,0,0,0,0,0,0
29,PERFORM2019:GEN:19:5,19,1,386.999989,40.000001,386.999989,16.7582628396604,-212.899995,251.600003,0,0,0,0,0,0
30,PERFORM2019:GEN:19:X,19,1,129.999995,129.999995,129.999995,-110.476803435258,-9900,9900,0,0,0,0,0,0
31,PERFORM2019:GEN:21:1,21,1,10.782421,0.2,11,7.2,-6.1,7.2,0,0,0,8.88178419700125e-16,0,0
32,PERFORM2019:GEN:21:2,21,1,11.762641,0.2,12,7.8,-6.6,7.8,0,0,0,0,0,0
33,PERFORM2019:GEN:21:3,21,1,12.742861,0.2,13,8.5,-7.2,8.5,0,0,0,0,0,0
34,PERFORM2019:GEN:24:1,24,1,8.821981,3,9,4.93942736933736,-5,5.9,0,0,0,0,0,0
35,PERFORM2019:GEN:24:2,24,1,8.821981,3,9,4.93942736933736,-5,5.9,0,0,0,0,0,0
36,PERFORM2019:GEN:24:3,24,1,8.821981,3,9,4.93942736933736,-5,5.9,0,0,0,0,0,0
37,PERFORM2019:GEN:24:4,24,1,8.821981,3,9,4.93942736933736,-5,5.9,0,0,0,0,0,0
38,PERFORM2019:GEN:26:C1,26,1,594.999981,320.000005,594.999981,9.15046235505686,-416.499996,446.25001,0,0,0,0,0,0
39,PERFORM2019:GEN:26:C2,26,1,650,320.000005,650,9.99628618345062,-455.000019,487.5,0,0,0,0,0,0
40,PERFORM2019:GEN:27:C1,27,1,121.823132,41.999999,122.599995,45.0607778832449,-85.820001,91.949999,0,0,0,0,0,0
41,PERFORM2019:GEN:28:C1,28,0,0,34.999999,62.900001,0,-44.029999,47.174999,0,0,0,0,0,0
42,PERFORM2019:GEN:29:1,29,1,111.2903,31.999999,112,-8.1883265868511,-61.6,72.799999,0,0,0,0,0,0
43,PERFORM2019:GEN:30:1,30,1,4.07402,0,4.1,-0.25142425293227,-2.3,2.7,0,0,0,0,0,0
44,PERFORM2019:GEN:30:2,30,1,55.048954,0,55.400002,-3.25394274456889,-30.500001,36.000001,0,0,0,0,0,0
45,PERFORM2019:GEN:31:1,31,1,0.98022,0.2,1,-0.216496025647874,-0.6,0.7,0,0,0,0,0,0
46,PERFORM2019:GEN:31:2,31,1,0.98022,0.2,1,-0.216496025647874,-0.6,0.7,0,0,0,0,0,0
47,PERFORM2019:GEN:31:3,31,1,2.548572,0.9,2.6,-0.485490522698777,-1.4,1.7,0,0,0,0,0,0
48,PERFORM2019:GEN:31:4,31,1,2.548572,0.9,2.6,-0.485490522698777,-1.4,1.7,0,0,0,0,0,0
49,PERFORM2019:GEN:31:5,31,1,2.548572,2.3,2.6,-0.485490522698777,-1.4,1.7,0,0,0,0,0,0
50,PERFORM2019:GEN:31:6,31,1,24.113415,6,24.600001,-4.79741051777563,-13.500001,16,0,0,0,0,0,0
51,PERFORM2019:GEN:31:7,31,1,24.113415,6,24.600001,-4.79741051777563,-13.500001,16,0,0,0,0,0,0
52,PERFORM2019:GEN:32:C1,32,1,147.000003,113,147.000003,-32.9407623343646,-102.900004,110.249996,0,0,0,0,0,0
53,PERFORM2019:GEN:33:C1,33,1,56.241345,44,56.599998,-10.1005143000766,-39.62,42.449999,0,0,0,0,0,0
54,PERFORM2019:GEN:34:C1,34,1,57.036275,44.499999,57.4,14.8864580242306,-40.180001,43.05,0,0,0,0,0,0
55,PERFORM2019:GEN:35:1,35,1,3.136704,0,3.2,2.1,-1.8,2.1,0,0,0,0,0,0
56,PERFORM2019:GEN:35:2,35,1,3.136704,0,3.2,2.1,-1.8,2.1,0,0,0,0,0,0
57,PERFORM2019:GEN:35:3,35,1,3.92088,0,4,2.6,-2.2,2.6,0,0,0,0,0,0
58,PERFORM2019:GEN:35:4,35,1,3.92088,0,4,2.6,-2.2,2.6,0,0,0,0,0,0
