control_key,device_key,source_bus,source_control_role,canonical_enabled,regulated_bus,setpoint_pu,qmin_mvar,qmax_mvar,bounds_are_placeholder,recommended_treatment,raw_regulated_bus,raw_remote_control_omitted
PERFORM2019:GEN:6:1:CONTROL,PERFORM2019:GEN:6:1,6,PV_voltage_control,1,6,1.02,-1.5,1.8,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,6,0
PERFORM2019:GEN:6:2:CONTROL,PERFORM2019:GEN:6:2,6,PV_voltage_control,1,6,1.02,-1.5,1.8,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,6,0
PERFORM2019:GEN:6:3:CONTROL,PERFORM2019:GEN:6:3,6,PV_voltage_control,1,6,1.02,-1.7,2,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,6,0
PERFORM2019:GEN:6:4:CONTROL,PERFORM2019:GEN:6:4,6,PV_voltage_control,1,6,1.02,-1.7,2,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,6,0
PERFORM2019:GEN:15:1:CONTROL,PERFORM2019:GEN:15:1,15,PV_voltage_control,1,15,1.02,-4.4,5.2,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,15,0
PERFORM2019:GEN:15:2:CONTROL,PERFORM2019:GEN:15:2,15,PV_voltage_control,1,15,1.02,-4.4,5.2,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,15,0
PERFORM2019:GEN:17:1:CONTROL,PERFORM2019:GEN:17:1,17,offline_generator_control,0,17,1.01,-9.9,11.7,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,17,0
PERFORM2019:GEN:17:2:CONTROL,PERFORM2019:GEN:17:2,17,PV_voltage_control,1,17,1.01,-9.9,11.7,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,17,0
PERFORM2019:GEN:17:3:CONTROL,PERFORM2019:GEN:17:3,17,PV_voltage_control,1,17,1.01,-9.9,11.7,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,17,0
PERFORM2019:GEN:17:4:CONTROL,PERFORM2019:GEN:17:4,17,PV_voltage_control,1,17,1.01,-9.9,11.7,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,17,0
PERFORM2019:GEN:17:5:CONTROL,PERFORM2019:GEN:17:5,17,PV_voltage_control,1,17,1.01,-9.9,11.7,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,17,0
PERFORM2019:GEN:17:6:CONTROL,PERFORM2019:GEN:17:6,17,PV_voltage_control,1,17,1.01,-9.9,11.7,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,17,0
PERFORM2019:GEN:17:7:CONTROL,PERFORM2019:GEN:17:7,17,PV_voltage_control,1,17,1.01,-9.9,11.7,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,17,0
PERFORM2019:GEN:17:8:CONTROL,PERFORM2019:GEN:17:8,17,PV_voltage_control,1,17,1.01,-23,27.200001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,17,0
PERFORM2019:GEN:17:9:CONTROL,PERFORM2019:GEN:17:9,17,offline_generator_control,0,17,1.01,-23,27.200001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,17,0
PERFORM2019:GEN:17:10:CONTROL,PERFORM2019:GEN:17:10,17,offline_generator_control,0,17,1.01,-23,27.200001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,17,0
PERFORM2019:GEN:17:11:CONTROL,PERFORM2019:GEN:17:11,17,PV_voltage_control,1,17,1.01,-23,27.200001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,17,0
