device_key,issue,electrical_use_policy,thermal_use_policy
PERFORM2019:AC:1:142:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:199:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:228:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:228:2,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:242:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:881:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:882:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:883:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:1402:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:1402:1,electrically_identical_parallel_ID_assignment_ambiguous,preserve_all_parallel_elements_and_candidate_ID_set,no_individual_physical_circuit_claim
PERFORM2019:AC:1:1402:2,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:1402:2,electrically_identical_parallel_ID_assignment_ambiguous,preserve_all_parallel_elements_and_candidate_ID_set,no_individual_physical_circuit_claim
PERFORM2019:AC:1:1403:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:1404:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:1405:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:1422:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:1550:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:1550:1,electrically_identical_parallel_ID_assignment_ambiguous,preserve_all_parallel_elements_and_candidate_ID_set,no_individual_physical_circuit_claim
PERFORM2019:AC:1:1550:2,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:1550:2,electrically_identical_parallel_ID_assignment_ambiguous,preserve_all_parallel_elements_and_candidate_ID_set,no_individual_physical_circuit_claim
PERFORM2019:AC:1:1551:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:1:1551:2,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:2:777:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:3:794:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:4:193:1,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:4:193:2,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
PERFORM2019:AC:4:193:3,line_cable_or_equivalent_not_identified,retain_pinned_canonical_electrical_element,ineligible_until_physical_or_synthetic_realization_declared
