branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_PARENT:BRANCH:33,37,38,1,2500,564.440251080836,570.714584270831,0,0,-4.2750714322995,-360,360,0,0,0,0,1.62184395130017e-12,0
2,NPCC_PARENT:BRANCH:35,37,40,1,2500,154.430568508019,154.58344484878,0,0,0.281258571011453,-360,360,0,0,0,0,7.6791230220046e-13,0
3,NPCC_PARENT:BRANCH:36,37,43,1,3745.98196383403,1473.85371739727,1344.72860333011,0,0,-12.269145397194,-360,360,0,0,0,0,7.27950946092375e-13,0
4,NPCC_PARENT:BRANCH:37,38,69,1,1216,264.32443535702,311.874769006873,0,0,-2.7722640696195,-360,360,0,0,0,0,4.26562423280178e-13,0
5,NPCC_PARENT:BRANCH:40,40,44,1,1328.76341358641,298.090423544667,291.546313180535,0,0,-5.48705631060122,-360,360,0,0,0,0,6.25923222103928e-13,0
6,NPCC_PARENT:BRANCH:41,41,42,1,2500,471.347903356108,480.959103518392,0,0,-0.746362460659018,-360,360,0,0,0,0,3.23870336196415e-12,0
7,NPCC_PARENT:BRANCH:42,41,45,1,314.254622579561,59.5317633229759,63.3661696932081,0,0,-2.63519185059082,-360,360,0,0,0,0,7.10548156750283e-15,0
8,NPCC_PARENT:BRANCH:43,43,44,1,2500,990.777221643811,962.918412989713,0,0,7.06334765760421,-360,360,0,0,0,0,1.2710574864626e-13,0
9,NPCC_PARENT:BRANCH:44,43,50,1,3463.47124449306,1241.86392012558,1189.754018476,0,0,-22.5445098143412,-360,360,0,0,0,0,2.54211497292521e-13,0
10,NPCC_PARENT:BRANCH:45,43,50,1,3463.47124449306,1241.86392012558,1189.754018476,0,0,-22.5445098143412,-360,360,0,0,0,0,2.54211497292521e-13,0
11,NPCC_PARENT:BRANCH:46,44,45,1,2500,293.618816397185,296.901948030821,0,0,4.10515308245302,-360,360,0,0,0,0,0,0
12,NPCC_PARENT:BRANCH:49,45,51,1,489.56239109923,188.955047009911,186.286523780646,0,0,-26.3033710992765,-360,360,0,0,0,0,8.59286801531867e-14,0
13,NPCC_PARENT:BRANCH:50,45,71,1,166.495119914644,23.2272651111404,26.1757204505474,0,0,-9.75456634951231,-360,360,0,0,0,0,3.66205343881779e-15,0
14,NPCC_PARENT:BRANCH:54,50,51,1,2500,496.613208854835,498.98098477016,0,0,7.40963945512194,-360,360,0,0,0,0,6.70324676268067e-14,0
15,NPCC_PARENT:BRANCH:55,50,52,1,2858.06690137886,648.388831837484,650.782088502576,0,0,-6.74329638096226,-360,360,0,0,0,0,6.62902481831827e-13,0
