source_bus,model_bus,zone,mapping_kind,allocation_anchor_source_bus,source_path_impedance_distance_pu,source_base_kv,is_external_boundary_proxy
1,53,B,assumed_same_zone_source_distance_aggregation,250,0.0435636537320807,115,0
2,41,F,assumed_same_zone_source_distance_aggregation,1507,0.362715377397451,69,0
3,37,F,assumed_same_zone_source_distance_aggregation,469,0.265953007385315,115,0
4,20004,D,exact_source_region,4,0,115,0
5,37,F,assumed_same_zone_source_distance_aggregation,469,0.337280084011819,115,0
6,37,F,assumed_same_zone_source_distance_aggregation,6,0,115,0
7,37,F,assumed_same_zone_source_distance_aggregation,870,0.0791248146718429,115,0
8,37,F,assumed_same_zone_source_distance_aggregation,463,0.0204221118450393,115,0
9,20009,G,exact_source_region,9,0,115,0
10,20010,D,exact_source_region,10,0,115,0
11,37,F,assumed_same_zone_source_distance_aggregation,469,0.256886826056024,115,0
12,37,F,assumed_same_zone_source_distance_aggregation,867,0.0309776407041587,115,0
13,37,F,assumed_same_zone_source_distance_aggregation,194,0.0188892355710459,115,0
14,1228,E,assumed_same_zone_source_distance_aggregation,1228,0.253835309704207,115,0
15,43,E,assumed_same_zone_source_distance_aggregation,15,0,115,0
16,43,E,assumed_same_zone_source_distance_aggregation,1053,0.0612153754046349,115,0
17,20017,K,exact_source_region,17,0,138,0
18,20018,K,exact_source_region,18,0,69,0
19,20019,K,exact_source_region,19,0,115,1
20,43,E,assumed_same_zone_source_distance_aggregation,21,0.00431237064930527,115,0
21,43,E,assumed_same_zone_source_distance_aggregation,21,0,115,0
22,37,F,assumed_same_zone_source_distance_aggregation,1213,0.251710482765206,69,0
23,43,E,assumed_same_zone_source_distance_aggregation,1194,0.0286006713207925,115,0
24,68,C,assumed_same_zone_source_distance_aggregation,24,0,115,0
25,43,E,assumed_same_zone_source_distance_aggregation,83,0.0446618192643336,115,0
26,20026,J,exact_source_region,26,0,345,0
27,68,C,assumed_same_zone_source_distance_aggregation,27,0,115,0
28,44,E,assumed_same_zone_source_distance_aggregation,1287,0.00211009478460092,115,0
29,65,C,assumed_same_zone_source_distance_aggregation,29,0,115,0
30,68,C,assumed_same_zone_source_distance_aggregation,30,0,115,0
31,37,F,assumed_same_zone_source_distance_aggregation,31,0,115,0
32,37,F,assumed_same_zone_source_distance_aggregation,32,0,115,0
33,56,A,assumed_same_zone_source_distance_aggregation,33,0,115,0
34,50,C,assumed_same_zone_source_distance_aggregation,34,0,115,0
35,20035,D,exact_source_region,35,0,115,0
36,20036,D,exact_source_region,36,0,115,0
37,57,A,assumed_same_zone_source_distance_aggregation,37,0,115,0
38,61,A,assumed_same_zone_source_distance_aggregation,38,0,115,0
39,60,A,assumed_same_zone_source_distance_aggregation,39,0,230,0
40,44,E,assumed_same_zone_source_distance_aggregation,768,0.0773167152985611,115,0
41,56,A,assumed_same_zone_source_distance_aggregation,41,0,115,0
42,61,A,assumed_same_zone_source_distance_aggregation,1330,0.00153287311934158,115,0
43,61,A,assumed_same_zone_source_distance_aggregation,1330,0.0396606263321945,115,0
44,61,A,assumed_same_zone_source_distance_aggregation,1330,0.0388893287958899,115,0
45,61,A,assumed_same_zone_source_distance_aggregation,1330,0.0374291918160144,115,0
46,61,A,assumed_same_zone_source_distance_aggregation,1330,0.00457918236168715,115,0
47,61,A,assumed_same_zone_source_distance_aggregation,1330,0.128261584589386,115,0
48,61,A,assumed_same_zone_source_distance_aggregation,1330,0.117553241700648,115,0
49,44,E,assumed_same_zone_source_distance_aggregation,399,0.0340869107791215,115,0
50,43,E,assumed_same_zone_source_distance_aggregation,21,0.220333214421092,115,0
51,68,C,assumed_same_zone_source_distance_aggregation,30,0.0476135964579844,115,0
52,72,C,assumed_same_zone_source_distance_aggregation,52,0,115,0
53,68,C,assumed_same_zone_source_distance_aggregation,53,0,115,0
54,72,C,assumed_same_zone_source_distance_aggregation,1250,0.0351688159192074,230,0
55,68,C,assumed_same_zone_source_distance_aggregation,30,0.100669847024817,115,0
56,68,C,assumed_same_zone_source_distance_aggregation,30,0.138140268693114,115,0
57,68,C,assumed_same_zone_source_distance_aggregation,1568,0.154829697201926,115,0
58,68,C,assumed_same_zone_source_distance_aggregation,1460,0.0114092288715096,115,0
59,43,E,assumed_same_zone_source_distance_aggregation,83,0.0270798689066251,115,0
60,20060,E,exact_source_region,60,0,69,0
61,72,C,assumed_same_zone_source_distance_aggregation,1173,0.132328908668438,115,0
62,42,F,assumed_same_zone_source_distance_aggregation,63,5e-05,345,0
63,42,F,assumed_same_zone_source_distance_aggregation,63,0,345,0
64,44,E,assumed_same_zone_source_distance_aggregation,1287,0.213477338090744,115,0
65,61,A,assumed_same_zone_source_distance_aggregation,1573,0.0249503386750561,115,0
66,56,A,assumed_same_zone_source_distance_aggregation,69,0.065020928787185,115,0
67,56,A,assumed_same_zone_source_distance_aggregation,69,0.0766678004379089,115,0
