source_gen_row,source_bus,source_generator_id,device_key,source_device_role,canonical_status,raw_status,source_pg_mw,source_qg_mvar,proposed_schedule_group,boundary_member,effective_pg_mw,effective_qg_mvar,legacy_schedule_member,reconciliation_reason,model_bus,mapping_kind,p_injection_mw,q_injection_mvar,provenance
30,19,X,PERFORM2019:GEN:19:X,external_boundary_proxy,1,1,129.999995,-12.677054,SCH - NPX_1385,1,129.999995,-12.677054,1,present_in_legacy_schedule_map,20019,exact_source_region,129.999995,-110.476803435258,frozen_Package_A_reproduced_source_boundary_PQ_assumed_schedule
74,69,X,PERFORM2019:GEN:69:X,external_boundary_proxy,0,1,8,-1.972762,SCH - PJ - NY,1,0,-0,0,legacy_fixed_P_heuristic_omitted_colocated_variable_P_import_canonical_offline,56,assumed_same_zone_source_distance_aggregation,0,0,frozen_Package_A_reproduced_source_boundary_PQ_assumed_schedule
91,81,X,PERFORM2019:GEN:81:X,external_boundary_proxy,0,1,5,1.054758,SCH - PJ - NY,1,0,0,1,present_in_legacy_schedule_map,71,assumed_same_zone_source_distance_aggregation,0,0,frozen_Package_A_reproduced_source_boundary_PQ_assumed_schedule
220,571,X,PERFORM2019:GEN:571:X,external_boundary_proxy,1,1,129.999995,39.452526,SCH - PJ - NY,1,129.999995,39.452526,1,present_in_legacy_schedule_map,20571,exact_source_region,129.999995,60.3460421186898,frozen_Package_A_reproduced_source_boundary_PQ_assumed_schedule
229,580,X,PERFORM2019:GEN:580:X,external_boundary_proxy,1,1,150,13.597302,SCH - PJM_NEPTUNE,1,150,13.597302,1,present_in_legacy_schedule_map,20580,exact_source_region,150,13.6085200552221,frozen_Package_A_reproduced_source_boundary_PQ_assumed_schedule
292,651,X,PERFORM2019:GEN:651:X,external_boundary_proxy,1,1,-800.37899,42.484131,SCH - NE - NY,1,-800.37899,42.484131,1,present_in_legacy_schedule_map,20651,exact_source_region,-800.37899,43.4104129646257,frozen_Package_A_reproduced_source_boundary_PQ_assumed_schedule
325,756,X,PERFORM2019:GEN:756:X,external_boundary_proxy,0,1,8.169051,-1.3788,SCH - PJ - NY,1,0,-0,1,present_in_legacy_schedule_map,20756,exact_source_region,0,0,frozen_Package_A_reproduced_source_boundary_PQ_assumed_schedule
331,773,X,PERFORM2019:GEN:773:X,external_boundary_proxy,1,1,159.621,49.418005,SCH - PJ - NY,1,159.621,49.418005,1,present_in_legacy_schedule_map,20773,exact_source_region,159.621,49.1446789736739,frozen_Package_A_reproduced_source_boundary_PQ_assumed_schedule
333,799,X,PERFORM2019:GEN:799:X,external_boundary_proxy,1,1,-835.999966,57.661134,SCH - NE - NY,1,-835.999966,57.661134,1,present_in_legacy_schedule_map,20799,exact_source_region,-835.999966,57.9630455374444,frozen_Package_A_reproduced_source_boundary_PQ_assumed_schedule
455,1132,X,PERFORM2019:GEN:1132:X,external_boundary_proxy,1,1,199.620998,264.11047,SCH - PJ - NY,1,199.620998,264.11047,1,present_in_legacy_schedule_map,21132,exact_source_region,199.620998,264.187342323382,frozen_Package_A_reproduced_source_boundary_PQ_assumed_schedule
487,1136,X,PERFORM2019:GEN:1136:X,external_boundary_proxy,1,1,100,317.011642,SCH - PJM_HTP,1,100,317.011642,1,present_in_legacy_schedule_map,21136,exact_source_region,100,317.053991153852,frozen_Package_A_reproduced_source_boundary_PQ_assumed_schedule
494,1148,X,PERFORM2019:GEN:1148:X,external_boundary_proxy,1,1,234.99999,364.802074,SCH - NPX_CSC,1,234.99999,364.802074,1,present_in_legacy_schedule_map,21148,exact_source_region,234.99999,364.803901283246,frozen_Package_A_reproduced_source_boundary_PQ_assumed_schedule
530,1231,X,PERFORM2019:GEN:1231:X,external_boundary_proxy,1,1,750,57.75519,SCH - HQ - NY,1,750,57.75519,1,present_in_legacy_schedule_map,21231,exact_source_region,750,57.1638695248684,frozen_Package_A_reproduced_source_boundary_PQ_assumed_schedule
