model_gen_row,device_key,source_gen_row,source_bus,model_bus,source_device_role,zone,mapping_kind,status,prior_pg_mw,prior_qg_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar
1,PERFORM2019:GEN:6:1,1,6,20006,native_generation,F,exact_source_region,1,2.74321304955024,0.0643939900135539,1,2.8,-1.5,1.8
2,PERFORM2019:GEN:6:2,2,6,20006,native_generation,F,exact_source_region,1,2.74321304955024,0.064393990013554,1,2.8,-1.5,1.8
3,PERFORM2019:GEN:6:3,3,6,20006,native_generation,F,exact_source_region,1,2.93954100814958,0.0384876782090189,1,3,-1.7,2
4,PERFORM2019:GEN:6:4,4,6,20006,native_generation,F,exact_source_region,1,2.93954100814958,0.0384876782090189,1,3,-1.7,2
5,PERFORM2019:GEN:15:1,5,15,20015,native_generation,E,exact_source_region,1,7.84182137139733,-0.890905116575858,7,8,-4.4,5.2
6,PERFORM2019:GEN:15:2,6,15,20015,native_generation,E,exact_source_region,1,7.84182137139733,-0.890905116575857,7,8,-4.4,5.2
7,PERFORM2019:GEN:17:1,7,17,20017,native_generation,K,exact_source_region,0,0,0,10.5,18.000001,-9.9,11.7
8,PERFORM2019:GEN:17:2,8,17,20017,native_generation,K,exact_source_region,1,11.4136023530851,0.962360950010467,11.4,18.000001,-9.9,11.7
9,PERFORM2019:GEN:17:3,9,17,20017,native_generation,K,exact_source_region,1,11.0136226062618,0.962360950010467,11,18.000001,-9.9,11.7
10,PERFORM2019:GEN:17:4,10,17,20017,native_generation,K,exact_source_region,1,11.2136114123838,0.962360950010467,11.2,18.000001,-9.9,11.7
11,PERFORM2019:GEN:17:5,11,17,20017,native_generation,K,exact_source_region,1,11.4136023530851,0.962360950010467,11.4,18.000001,-9.9,11.7
12,PERFORM2019:GEN:17:6,12,17,20017,native_generation,K,exact_source_region,1,10.7136423063841,0.962360950010467,10.7,18.000001,-9.9,11.7
13,PERFORM2019:GEN:17:7,13,17,20017,native_generation,K,exact_source_region,1,9.0137410512146,0.962360950010467,9,18.000001,-9.9,11.7
14,PERFORM2019:GEN:17:8,14,17,20017,native_generation,K,exact_source_region,1,29.8138523254089,2.3941061203345,29.800001,41.800001,-23,27.200001
15,PERFORM2019:GEN:17:9,15,17,20017,native_generation,K,exact_source_region,0,0,0,30.000001,41.800001,-23,27.200001
16,PERFORM2019:GEN:17:10,16,17,20017,native_generation,K,exact_source_region,0,0,0,30.000001,41.800001,-23,27.200001
17,PERFORM2019:GEN:17:11,17,17,20017,native_generation,K,exact_source_region,1,30.0138419377851,2.3941061203345,30.000001,41.800001,-23,27.200001
18,PERFORM2019:GEN:17:12,18,17,20017,native_generation,K,exact_source_region,1,183.000158236195,15.6283440593374,15.000001,188,-103.400004,122.2
19,PERFORM2019:GEN:17:13,19,17,20017,native_generation,K,exact_source_region,1,183.000158236195,15.6283440593374,15.000001,188,-103.400004,122.2
20,PERFORM2019:GEN:18:1,20,18,20018,native_generation,K,exact_source_region,1,15.8986003005354,-0.398233123782508,10,16,-8.8,10.4
21,PERFORM2019:GEN:18:2,21,18,20018,native_generation,K,exact_source_region,1,52.6642593253945,-8.48258735349743,37,52.999997,-29.2,34.5
22,PERFORM2019:GEN:18:3,22,18,20018,native_generation,K,exact_source_region,1,52.6642593253945,-8.48258735349743,37,52.999997,-29.2,34.5
23,PERFORM2019:GEN:18:4,23,18,20018,native_generation,K,exact_source_region,1,54.6515990796374,-9.12163608101911,40.000001,55.000001,-30.3,35.800001
24,PERFORM2019:GEN:18:5,24,18,20018,native_generation,K,exact_source_region,0,0,0,44.100001,55.000001,-30.3,35.800001
25,PERFORM2019:GEN:19:1,25,19,20019,native_generation,K,exact_source_region,1,15.8985811713349,0.708909315653051,10.6,16,-8.8,10.4
26,PERFORM2019:GEN:19:2,26,19,20019,native_generation,K,exact_source_region,0,0,0,40.000001,386.999989,-212.899995,251.600003
27,PERFORM2019:GEN:19:3,27,19,20019,native_generation,K,exact_source_region,1,384.548173036762,-38.3524621115356,30.000001,386.999989,-212.899995,251.600003
28,PERFORM2019:GEN:19:4,28,19,20019,native_generation,K,exact_source_region,1,386.970590802197,-38.3524621115356,40.000001,386.999989,-212.899995,251.600003
29,PERFORM2019:GEN:19:5,29,19,20019,native_generation,K,exact_source_region,1,386.970590802197,-38.3524621115356,40.000001,386.999989,-212.899995,251.600003
30,PERFORM2019:GEN:21:1,31,21,20021,native_generation,E,exact_source_region,1,10.7824892868158,-1.94048318991805,0.2,11,-6.1,7.2
31,PERFORM2019:GEN:21:2,32,21,20021,native_generation,E,exact_source_region,1,11.7627149359427,-2.25475546552371,0.2,12,-6.6,7.8
32,PERFORM2019:GEN:21:3,33,21,20021,native_generation,E,exact_source_region,1,12.7429398049489,-2.65306551587941,0.2,13,-7.2,8.5
33,PERFORM2019:GEN:24:1,34,24,68,native_generation,C,assumed_same_zone_same_kV_boundary_aggregation,1,8.82203640528767,-0.46519208538436,3,9,-5,5.9
34,PERFORM2019:GEN:24:2,35,24,68,native_generation,C,assumed_same_zone_same_kV_boundary_aggregation,1,8.82203640528767,-0.46519208538436,3,9,-5,5.9
35,PERFORM2019:GEN:24:3,36,24,68,native_generation,C,assumed_same_zone_same_kV_boundary_aggregation,1,8.82203640528767,-0.46519208538436,3,9,-5,5.9
36,PERFORM2019:GEN:24:4,37,24,68,native_generation,C,assumed_same_zone_same_kV_boundary_aggregation,1,8.82203640528767,-0.46519208538436,3,9,-5,5.9
37,PERFORM2019:GEN:26:C1,38,26,20026,native_generation,J,exact_source_region,1,594.976234922302,86.53913042454,320.000005,594.999981,-416.499996,446.25001
38,PERFORM2019:GEN:26:C2,39,26,20026,native_generation,J,exact_source_region,1,649.97174835772,101.012456111197,320.000005,650,-455.000019,487.5
39,PERFORM2019:GEN:27:C1,40,27,68,native_generation,C,assumed_same_zone_source_distance_aggregation,1,121.823253288762,-37.687737239195,41.999999,122.599995,-85.820001,91.949999
40,PERFORM2019:GEN:28:C1,41,28,20028,native_generation,E,exact_source_region,0,0,0,34.999999,62.900001,-44.029999,47.174999
41,PERFORM2019:GEN:29:1,42,29,65,native_generation,C,assumed_same_zone_source_distance_aggregation,1,111.290417921758,-33.6147663544831,31.999999,112,-61.6,72.799999
42,PERFORM2019:GEN:30:1,43,30,68,native_generation,C,assumed_same_zone_source_distance_aggregation,1,4.06741263449377,0.0617033429883953,0,4.1,-2.3,2.7
43,PERFORM2019:GEN:30:2,44,30,68,native_generation,C,assumed_same_zone_source_distance_aggregation,1,55.0490495855682,-15.7607385943493,0,55.400002,-30.500001,36.000001
44,PERFORM2019:GEN:31:1,45,31,20031,native_generation,F,exact_source_region,1,0.972636877825075,0.0541556043931594,0.2,1,-0.6,0.7
45,PERFORM2019:GEN:31:2,46,31,20031,native_generation,F,exact_source_region,1,0.972636877825075,0.0541556043931594,0.2,1,-0.6,0.7
46,PERFORM2019:GEN:31:3,47,31,20031,native_generation,F,exact_source_region,1,2.54682530073229,0.144345716165184,0.9,2.6,-1.4,1.7
47,PERFORM2019:GEN:31:4,48,31,20031,native_generation,F,exact_source_region,1,2.54682530073229,0.144345716165184,0.9,2.6,-1.4,1.7
48,PERFORM2019:GEN:31:5,49,31,20031,native_generation,F,exact_source_region,1,2.54828316140427,0.144345716165184,2.3,2.6,-1.4,1.7
49,PERFORM2019:GEN:31:6,50,31,20031,native_generation,F,exact_source_region,1,24.1135287136412,-0.352567273355938,6,24.600001,-13.500001,16
50,PERFORM2019:GEN:31:7,51,31,20031,native_generation,F,exact_source_region,1,24.1135287136412,-0.352567273355939,6,24.600001,-13.500001,16
51,PERFORM2019:GEN:32:C1,52,32,20032,native_generation,F,exact_source_region,1,146.981212808234,-44.9786371053103,113,147.000003,-102.900004,110.249996
52,PERFORM2019:GEN:33:C1,53,33,56,native_generation,A,assumed_same_zone_source_distance_aggregation,1,56.2414381707917,-7.91399438088902,44,56.599998,-39.62,42.449999
53,PERFORM2019:GEN:34:C1,54,34,50,native_generation,C,assumed_same_zone_source_distance_aggregation,1,57.0363701076386,-21.1870375272137,44.499999,57.4,-40.180001,43.05
54,PERFORM2019:GEN:35:1,55,35,20035,native_generation,D,exact_source_region,1,3.13583804080977,0.132240958460205,0,3.2,-1.8,2.1
55,PERFORM2019:GEN:35:2,56,35,20035,native_generation,D,exact_source_region,1,3.13583804080977,0.132240958460205,0,3.2,-1.8,2.1
56,PERFORM2019:GEN:35:3,57,35,20035,native_generation,D,exact_source_region,1,3.92059070529038,0.164497684067799,0,4,-2.2,2.6
57,PERFORM2019:GEN:35:4,58,35,20035,native_generation,D,exact_source_region,1,3.92059070529038,0.164497684067799,0,4,-2.2,2.6
58,PERFORM2019:GEN:35:5,59,35,20035,native_generation,D,exact_source_region,1,5.88134313371389,0.197349152151612,0,6,-3.3,3.9
59,PERFORM2019:GEN:35:6,60,35,20035,native_generation,D,exact_source_region,1,6.86158340677929,0.199733435367945,0,7,-3.9,4.6
60,PERFORM2019:GEN:37:C1,61,37,57,native_generation,A,assumed_same_zone_source_distance_aggregation,1,190.435225924654,-21.1401214868623,103.999996,221.300006,-154.910004,165.974998
61,PERFORM2019:GEN:38:1,62,38,61,native_generation,A,assumed_same_zone_source_distance_aggregation,1,99.8632776570107,-9.6432106280634,0,100.5,-55.299997,70.4
62,PERFORM2019:GEN:39:1,63,39,60,native_generation,A,assumed_same_zone_source_distance_aggregation,1,125.201699783802,-27.282108112803,0,125.999999,-69.300002,88.200003
63,PERFORM2019:GEN:41:C1,64,41,56,native_generation,A,assumed_same_zone_source_distance_aggregation,1,65.2837821006858,-20.3360674570386,40.599999,65.700001,-45.989999,49.274999
64,PERFORM2019:GEN:52:1,65,52,72,native_generation,C,assumed_same_zone_source_distance_aggregation,1,16.0972638873657,-1.44558030970986,0,16.2,-8.9,11.3
65,PERFORM2019:GEN:53:1,66,53,68,native_generation,C,assumed_same_zone_source_distance_aggregation,1,37.2624461930005,-5.14025689735256,0,37.5,-20.6,26.300001
66,PERFORM2019:GEN:60:1,67,60,20060,native_generation,E,exact_source_region,1,0.776575209821305,0.0999347630264564,0.4,0.8,-0.4,0.6
67,PERFORM2019:GEN:60:2,68,60,20060,native_generation,E,exact_source_region,1,9.80227373199668,-1.80673166792879,4,10,-5.5,7
68,PERFORM2019:GEN:63:C1,69,63,20063,native_generation,F,exact_source_region,0,0,0,60.000002,88.199997,-61.739999,66.149998
69,PERFORM2019:GEN:63:C2,70,63,20063,native_generation,F,exact_source_region,1,653.636118974329,-32.1664246381428,315.00001,653.700018,-457.590008,490.275002
70,PERFORM2019:GEN:69:1,71,69,56,native_generation,A,assumed_same_zone_source_distance_aggregation,0,0,0,5,24.5,-13.500001,17.200001
71,PERFORM2019:GEN:69:2,72,69,56,native_generation,A,assumed_same_zone_source_distance_aggregation,1,24.3448012585255,-2.48452088910094,5,24.5,-13.500001,17.200001
72,PERFORM2019:GEN:69:3,73,69,56,native_generation,A,assumed_same_zone_source_distance_aggregation,1,47.0003645066829,-9.93762710532227,9,47.299999,-25.999999,33.1
73,PERFORM2019:GEN:79:1,75,79,20079,native_generation,J,exact_source_region,0,0,0,0.3,1,-0.6,0.7
74,PERFORM2019:GEN:79:2,76,79,20079,native_generation,J,exact_source_region,0,0,0,0.4,1.3,-0.7,0.9
75,PERFORM2019:GEN:79:3,77,79,20079,native_generation,J,exact_source_region,0,0,0,0.4,1.4,-0.8,1
76,PERFORM2019:GEN:79:4,78,79,20079,native_generation,J,exact_source_region,0,0,0,0.4,1.4,-0.8,1
77,PERFORM2019:GEN:79:5,79,79,20079,native_generation,J,exact_source_region,0,0,0,0.1,2.5,-1.4,1.8
78,PERFORM2019:GEN:79:6,80,79,20079,native_generation,J,exact_source_region,0,0,0,0.8,2.7,-1.5,1.9
79,PERFORM2019:GEN:79:7,81,79,20079,native_generation,J,exact_source_region,0,0,0,0.8,2.7,-1.5,1.9
80,PERFORM2019:GEN:79:8,82,79,20079,native_generation,J,exact_source_region,0,0,0,0.1,3,-1.7,2.1
81,PERFORM2019:GEN:79:9,83,79,20079,native_generation,J,exact_source_region,0,0,0,0.1,3,-1.7,2.1
82,PERFORM2019:GEN:79:10,84,79,20079,native_generation,J,exact_source_region,1,7.45020096905707,0.624558204498685,4,7.5,-4.1,5.3
83,PERFORM2019:GEN:79:11,85,79,20079,native_generation,J,exact_source_region,1,46.70228041114,3.37734870327176,1,47,-25.9,32.9
84,PERFORM2019:GEN:79:12,86,79,20079,native_generation,J,exact_source_region,0,0,0,44.999999,156.200004,-85.900003,109.300005
85,PERFORM2019:GEN:79:13,87,79,20079,native_generation,J,exact_source_region,1,178.859553232076,13.1295024931097,110.000002,179.999995,-99.000001,125.999999
86,PERFORM2019:GEN:79:14,88,79,20079,native_generation,J,exact_source_region,1,178.859553232076,13.1295024931097,110.000002,179.999995,-99.000001,125.999999
87,PERFORM2019:GEN:79:15,89,79,20079,native_generation,J,exact_source_region,0,0,0,64.999998,200,-110.000002,139.999998
88,PERFORM2019:GEN:80:1,90,80,20080,native_generation,E,exact_source_region,1,55.1484151390882,-18.2929969218979,15.000001,55.500001,-30.500001,38.9
89,PERFORM2019:GEN:82:1,92,82,20082,native_generation,E,exact_source_region,1,34.2814603382707,-8.24621831926582,0,34.5,-19,24.2
90,PERFORM2019:GEN:83:1,93,83,20083,native_generation,E,exact_source_region,1,7.8418080350838,-0.442951978089008,4,8,-4.4,5.6
91,PERFORM2019:GEN:83:2,94,83,20083,native_generation,E,exact_source_region,1,7.8418080350838,-0.442951978089006,4,8,-4.4,5.6
92,PERFORM2019:GEN:84:1,95,84,20084,native_generation,F,exact_source_region,1,10.7824961476728,0.30924166934834,1,11,-6.1,7.7
93,PERFORM2019:GEN:84:2,96,84,20084,native_generation,F,exact_source_region,1,10.7824961476728,0.30924166934834,1,11,-6.1,7.7
94,PERFORM2019:GEN:95:C1,97,95,53,native_generation,B,assumed_same_zone_source_distance_aggregation,1,66.5755439782977,-6.95420038767681,37,67.000002,-46.900001,50.25
95,PERFORM2019:GEN:116:1,98,116,71,native_generation,C,assumed_same_zone_source_distance_aggregation,1,47.3978320613285,-19.5634978710225,41.999999,47.7,-26.199999,33.399999
96,PERFORM2019:GEN:125:1,99,125,20125,native_generation,E,exact_source_region,0,0,0,0.1,2,-1.1,1.4
97,PERFORM2019:GEN:125:C1,100,125,20125,native_generation,E,exact_source_region,0,0,0,75.999999,102.100003,-71.469998,76.574999
98,PERFORM2019:GEN:127:C1,101,127,20127,native_generation,F,exact_source_region,1,708.879177964354,-135.702782893951,666.400003,893.099976,-625.169992,669.824982
