branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_PARENT:BRANCH:54,50,51,1,2500,548.608590722466,548.560523933188,0,0,5.38459817761318,-360,360,0,0,0,0,3.94847006346305e-13,0
2,NPCC_PARENT:BRANCH:55,50,52,1,2858.06690137886,222.501067167115,233.147121298643,0,0,2.24351016843719,-360,360,0,0,0,0,4.22519086308697e-13,0
3,NPCC_PARENT:BRANCH:56,51,53,1,290.964700741948,88.0650095133643,79.3826364991677,0,0,9.30987946157971,-360,360,0,0,0,0,5.85928550210846e-14,0
4,NPCC_PARENT:BRANCH:57,51,72,1,2500,786.77660787356,772.661336637983,0,0,8.87947179026228,-360,360,0,0,0,0,8.83476391343808e-13,0
5,NPCC_PARENT:BRANCH:58,52,53,1,2500,664.27766544353,660.461462706909,0,0,12.4509674707557,-360,360,0,0,0,0,1.4210854715202e-14,0
6,NPCC_PARENT:BRANCH:59,53,55,1,997.983883346124,256.711116978983,267.856140855836,0,0,-14.0949921873384,-360,360,0,0,0,0,2.0495186137532e-13,0
7,NPCC_PARENT:BRANCH:60,53,65,1,785.968397879188,28.4057373301813,28.4772316485234,0,0,-1.07602133753936,-360,360,0,0,0,0,3.97015753605956e-13,0
8,NPCC_PARENT:BRANCH:61,54,56,1,789.941803,210.815616239486,206.176623074364,0,0,0.983363490893577,-360,360,0,0,0,0,1.5659207705256e-12,0
9,NPCC_PARENT:BRANCH:62,54,62,1,789.941803,144.199669276806,142.972481654177,0,0,4.7392362743178,-360,360,0,0,0,0,1.50990331349021e-14,0
10,NPCC_PARENT:BRANCH:65,55,57,1,789.941803,248.753450572208,244.399288250188,0,0,4.73534905094542,-360,360,0,0,0,0,4.37604344658747e-13,0
11,NPCC_PARENT:BRANCH:66,55,59,1,789.941803,32.4222690189458,33.8436799964561,0,0,1.09809309271468,-360,360,0,0,0,0,4.35711039574243e-13,0
12,NPCC_PARENT:BRANCH:67,56,58,1,2500,358.239868461122,356.569485838795,0,0,2.64084605228212,-360,360,0,0,0,0,1.11228878214078e-12,0
13,NPCC_PARENT:BRANCH:68,57,59,1,2500,106.890839855293,107.866824926392,0,0,-3.63725595823074,-360,360,0,0,0,0,2.63787495396835e-13,0
14,NPCC_PARENT:BRANCH:69,58,60,1,2500,120.045822563372,119.055598649088,0,0,-1.96985204493608,-360,360,0,0,0,0,1.46482137552712e-14,0
15,NPCC_PARENT:BRANCH:70,58,62,1,2500,126.519966610872,126.099322093238,0,0,1.11502673114211,-360,360,0,0,0,0,1.58882185807825e-14,0
16,NPCC_PARENT:BRANCH:71,59,61,1,2500,34.4175859444186,37.0340999956239,0,0,-2.72527552732672,-360,360,0,0,0,0,1.40545640511309e-13,0
17,NPCC_PARENT:BRANCH:73,62,63,1,620,267.811897493355,262.941623661279,0,0,10.6661586902988,-360,360,0,0,0,0,1.4210854715202e-14,0
18,NPCC_PARENT:BRANCH:74,63,64,1,2500,91.2468221793184,92.2567156546723,0,0,1.98712647989494,-360,360,0,0,0,0,2.05074992573796e-13,0
19,NPCC_PARENT:BRANCH:75,63,67,1,2500,172.964987223592,170.204802259471,0,0,8.09546021698529,-360,360,0,0,0,0,3.86119670826972e-13,0
20,NPCC_PARENT:BRANCH:76,64,65,1,2500,29.1644056257475,28.5922831398601,0,0,-1.02392020059247,-360,360,0,0,0,0,2.77988494611478e-13,0
21,NPCC_PARENT:BRANCH:77,64,68,1,2500,117.879781114581,109.830755157462,0,0,14.4695160732648,-360,360,0,0,0,0,8.03887338846093e-14,0
22,NPCC_PARENT:BRANCH:78,66,67,1,2500,129.117674856311,126.974810869408,0,0,1.10972313550571,-360,360,0,0,0,0,7.67517725329911e-13,0
23,NPCC_PARENT:BRANCH:79,66,69,1,2500,74.8973633318733,78.5526464290497,0,0,-1.00681516703084,-360,360,0,0,0,0,7.8482010346102e-13,0
24,NPCC_PARENT:BRANCH:81,67,68,1,2500,338.365112969578,330.711509704516,0,0,8.36118233617446,-360,360,0,0,0,0,2.29143147075165e-13,0
25,NPCC_PARENT:BRANCH:82,67,70,1,2500,64.6728005005623,63.7191440992798,0,0,-1.94648314085913,-360,360,0,0,0,0,3.94045288247275e-13,0
26,NPCC_PARENT:BRANCH:84,68,71,1,2500,95.2656152255278,101.237198538,0,0,-11.8572528160665,-360,360,0,0,0,0,1.44966390984558e-13,0
27,NPCC_PARENT:BRANCH:85,69,71,1,2500,78.5526464290485,77.9672177880454,0,0,-1.37953217735547,-360,360,0,0,0,0,7.87204714047227e-13,0
28,NPCC_PARENT:BRANCH:86,70,71,1,2500,63.7191440992798,63.7675138701531,0,0,-1.5495873390329,-360,360,0,0,0,0,9.39194215958909e-14,0
29,NPCC_PARENT:BRANCH:87,71,72,1,2500,425.996468839353,432.63513055614,0,0,-2.99056979156886,-360,360,0,0,0,0,7.65277946916073e-13,0
30,NPCC_PARENT:BRANCH:222,54,52,1,4583.01611665388,449.702290174185,446.814624183138,0,0,4.99365511070269,-360,360,0,0,0,0,4.23727202369995e-13,0
31,NPCC_PARENT:BRANCH:223,54,55,1,2500,543.040591434076,543.116467407774,0,0,3.34963039412003,-360,360,0,0,0,0,1.75327859845802e-12,0
32,NPCC_PARENT:BRANCH:224,56,57,1,2500,102.208104880013,101.86322444866,0,0,7.10161595417188,-360,360,0,0,0,0,1.88293824976427e-13,0
33,NPCC_PARENT:BRANCH:225,58,59,1,2500,182.257680000139,182.48144770386,0,0,0.82351394365902,-360,360,0,0,0,0,7.68275873232856e-13,0
34,NPCC_PARENT:BRANCH:226,60,61,1,2500,2.21475928581092,2.21502061638276,0,0,0.0680904612683797,-360,360,0,0,0,0,4.57756679852224e-16,0
35,PERFORM2019:AC:2:777:1,20777,20002,1,96,1.5533945377825,1.53999999999998,0,0,0.076693971058845,0,0,0,0,0,0,1.19262238973405e-18,0
36,PERFORM2019:AC:3:794:1,20794,20003,1,167,3.42240835919749,3.42000000000013,0,0,0.0119791552118675,0,0,0,0,0,0,7.48725228180578e-13,0
37,PERFORM2019:AC:4:193:1,20004,20193,1,167,25.0349059849865,25.0290010625837,0,0,0.0550230110994026,0,0,0,0,0,0,1.48695168515844e-12,0
38,PERFORM2019:AC:4:193:2,20004,20193,1,167,24.2341454022177,24.2284893153086,0,0,0.0550230110994026,0,0,0,0,0,0,4.0360271889108e-15,0
39,PERFORM2019:AC:4:193:3,20004,20193,1,167,24.7988745390906,24.7930188778539,0,0,0.0550230110994026,0,0,0,0,0,0,2.98048776431852e-12,0
40,PERFORM2019:AC:4:449:1,20004,20449,1,167,13.0293273698075,12.9716615535641,0,0,0.182385385322359,0,0,0,0,0,0,1.79018083652472e-15,0
41,PERFORM2019:AC:4:1527:1,20004,21527,1,167,80.5267593958115,80.8139672344065,0,0,-0.88616380856706,0,0,0,0,0,0,2.33146835171283e-15,0
42,PERFORM2019:AC:4:1527:2,20004,21527,1,167,80.5267593958115,80.8139672344065,0,0,-0.88616380856706,0,0,0,0,0,0,2.33146835171283e-15,0
43,PERFORM2019:AC:5:990:1,20990,20005,1,167,3.42000686244827,3.42000000006551,0,0,0.000334122299417317,0,0,0,0,0,0,1.0734509729821e-10,0
44,PERFORM2019:AC:6:635:1,20635,20006,1,167,7.94744397919433,7.96276444000078,0,0,-0.0601953177600656,0,0,0,0,0,0,8.88178419700125e-16,0
45,PERFORM2019:AC:7:698:1,20698,20007,1,167,1.18565678316479,1.17229458920672,0,0,0.00505732543528925,0,0,0,0,0,0,1.38777878078145e-17,0
46,PERFORM2019:AC:7:699:1,20699,20007,1,167,5.67007976654534,5.66791496123689,0,0,0.023965883178457,0,0,0,0,0,0,7.58293419840525e-13,0
47,PERFORM2019:AC:8:676:1,20676,20008,1,167,10.7438304638634,10.7657091880352,0,0,-0.0499056481190179,0,0,0,0,0,0,3.07300088403459e-12,0
48,PERFORM2019:AC:8:677:1,20677,20008,1,167,17.583173504502,17.565284397401,0,0,0.081258612252566,0,0,0,0,0,0,5.00104647180253e-12,0
49,PERFORM2019:AC:9:524:1,20009,20524,1,556,12.7362356318698,13.4059746883402,0,0,0.0976852177134502,0,0,0,0,0,0,7.70343108336512e-13,0
50,PERFORM2019:AC:9:649:1,20649,20009,1,556,23.0738816571648,22.7251747202876,0,0,-0.536236183228664,0,0,0,0,0,0,3.85469434149854e-13,0
51,PERFORM2019:AC:9:649:2,20649,20009,1,556,23.0738816571648,22.7251747202876,0,0,-0.536236183228664,0,0,0,0,0,0,3.85469434149854e-13,0
52,PERFORM2019:XFMR:9:848:1,20848,20009,1,750,207.105251957155,201.792875483754,0,0,6.65486174763978,0,0,0,0,0,0,5.6843418860808e-14,0
53,PERFORM2019:AC:9:851:1,20009,20851,1,240,114.945264944328,114.597224457375,0,0,0.753986896958679,0,0,0,0,0,0,5.86143925535235e-13,0
54,PERFORM2019:AC:10:450:1,20010,20450,1,167,14.8099999999993,14.8210217153001,0,0,-0.136111136652707,0,0,0,0,0,0,1.77722398948334e-15,0
55,PERFORM2019:AC:11:489:1,20011,20489,1,167,12.451240379722,12.3706552277455,0,0,0.0498570778820016,0,0,0,0,0,0,1.77635683940025e-15,0
56,PERFORM2019:AC:11:795:1,20795,20011,1,167,18.4887827776236,18.478015016187,0,0,0.0159803711018256,0,0,0,0,0,0,2.41499459034907e-11,0
57,PERFORM2019:AC:12:872:1,20872,20012,1,167,3.42000685372945,3.4199999999679,0,0,0.000332643290740897,0,0,0,0,0,0,4.44955726205437e-16,0
58,PERFORM2019:AC:13:196:1,20013,20196,1,167,10.5373057950773,10.5488672019475,0,0,-0.0357109173433421,0,0,0,0,0,0,1.11022302462516e-16,0
59,PERFORM2019:AC:13:864:1,20864,20013,1,167,3.77708880731838,3.82664943976871,0,0,-0.066668257820778,0,0,0,0,0,0,8.36422385715836e-13,0
60,PERFORM2019:AC:13:865:1,20865,20013,1,167,3.585762702395,3.73027885006221,0,0,-0.0650681220279736,0,0,0,0,0,0,1.87683785170856e-13,0
61,PERFORM2019:AC:13:1442:1,20013,21442,1,167,10.5498509228039,10.561440686105,0,0,-0.0358090044973025,0,0,0,0,0,0,2.22044604925031e-16,0
