gen_row,device_key,source_bus,online,pg_mw,pmin_mw,pmax_mw,qg_mvar,qmin_mvar,qmax_mvar,p_below_min_mw,p_above_max_mw,q_below_min_mvar,q_above_max_mvar,violated,invalid_capability_bounds
1,PERFORM2019:GEN:6:1,20006,1,2.74321515343864,1,2.8,-0.114899271163358,-1.5,1.8,0,0,0,0,0,0
2,PERFORM2019:GEN:6:2,20006,1,2.74321515343864,1,2.8,-0.114899271163358,-1.5,1.8,0,0,0,0,0,0
3,PERFORM2019:GEN:6:3,20006,1,2.93954318550709,1,3,-0.147008273728614,-1.7,2,0,0,0,0,0,0
4,PERFORM2019:GEN:6:4,20006,1,2.93954318550709,1,3,-0.147008273728614,-1.7,2,0,0,0,0,0,0
5,PERFORM2019:GEN:15:1,20015,1,7.84182423016701,7,8,-0.137874412648932,-4.4,5.2,0,0,0,0,0,0
6,PERFORM2019:GEN:15:2,20015,1,7.84182423016701,7,8,-0.137874412648932,-4.4,5.2,0,0,0,0,0,0
7,PERFORM2019:GEN:17:1,20017,0,0,10.5,18.000001,0,-9.9,11.7,0,0,0,0,0,0
8,PERFORM2019:GEN:17:2,20017,1,11.4136210712396,11.4,18.000001,1.17056518304653,-9.9,11.7,0,0,0,0,0,0
9,PERFORM2019:GEN:17:3,20017,1,11.0136412751136,11,18.000001,1.17056518304653,-9.9,11.7,0,0,0,0,0,0
10,PERFORM2019:GEN:17:4,20017,1,11.2136301108839,11.2,18.000001,1.17056518304653,-9.9,11.7,0,0,0,0,0,0
11,PERFORM2019:GEN:17:5,20017,1,11.4136210712396,11.4,18.000001,1.17056518304653,-9.9,11.7,0,0,0,0,0,0
12,PERFORM2019:GEN:17:6,20017,1,10.7136609207319,10.7,18.000001,1.17056518304653,-9.9,11.7,0,0,0,0,0,0
13,PERFORM2019:GEN:17:7,20017,1,9.01375945116411,9,18.000001,1.17056518304653,-9.9,11.7,0,0,0,0,0,0
14,PERFORM2019:GEN:17:8,20017,1,29.8138703182847,29.800001,41.800001,2.72881403979173,-23,27.200001,0,0,0,0,0,0
15,PERFORM2019:GEN:17:9,20017,0,0,30.000001,41.800001,0,-23,27.200001,0,0,0,0,0,0
16,PERFORM2019:GEN:17:10,20017,0,0,30.000001,41.800001,0,-23,27.200001,0,0,0,0,0,0
17,PERFORM2019:GEN:17:11,20017,1,30.0138599565843,30.000001,41.800001,2.72881403979173,-23,27.200001,0,0,0,0,0,0
18,PERFORM2019:GEN:17:12,20017,1,183.000161833969,15.000001,188,12.2259010730351,-103.400004,122.2,0,0,0,0,0,0
19,PERFORM2019:GEN:17:13,20017,1,183.000161833969,15.000001,188,12.2259010730351,-103.400004,122.2,0,0,0,0,0,0
20,PERFORM2019:GEN:18:1,20018,1,15.8986030526853,10,16,-4.2633959518261,-8.8,10.4,0,0,0,0,0,0
21,PERFORM2019:GEN:18:2,20018,1,52.6642625723269,37,52.999997,-14.1488709443397,-29.2,34.5,0,0,0,0,0,0
22,PERFORM2019:GEN:18:3,20018,1,52.6642625723269,37,52.999997,-14.1488709443397,-29.2,34.5,0,0,0,0,0,0
23,PERFORM2019:GEN:18:4,20018,1,54.6516023348127,40.000001,55.000001,-14.6817952020365,-30.3,35.800001,0,0,0,0,0,0
24,PERFORM2019:GEN:18:5,20018,0,0,44.100001,55.000001,0,-30.3,35.800001,0,0,0,0,0,0
25,PERFORM2019:GEN:19:1,20019,1,15.8985839535751,10.6,16,-1.03391327901375,-8.8,10.4,0,0,0,0,0,0
26,PERFORM2019:GEN:19:2,20019,0,0,40.000001,386.999989,0,-212.899995,251.600003,0,0,0,0,0,0
27,PERFORM2019:GEN:19:3,20019,1,384.548184058492,30.000001,386.999989,-25.0173248767739,-212.899995,251.600003,0,0,0,0,0,0
28,PERFORM2019:GEN:19:4,20019,1,386.970594124747,40.000001,386.999989,-25.0173248767739,-212.899995,251.600003,0,0,0,0,0,0
29,PERFORM2019:GEN:19:5,20019,1,386.970594124747,40.000001,386.999989,-25.0173248767739,-212.899995,251.600003,0,0,0,0,0,0
30,PERFORM2019:GEN:21:1,20021,1,10.782492181577,0.2,11,-1.07582529181448,-6.1,7.2,0,0,0,0,0,0
31,PERFORM2019:GEN:21:2,20021,1,11.7627178581228,0.2,12,-1.16029204527282,-6.6,7.8,0,0,0,0,0,0
32,PERFORM2019:GEN:21:3,20021,1,12.7429427503363,0.2,13,-1.26920729935995,-7.2,8.5,0,0,0,0,0,0
33,PERFORM2019:GEN:24:1,68,1,8.82203965535335,3,9,2.79856133521212,-5,5.9,0,0,0,0,0,0
34,PERFORM2019:GEN:24:2,68,1,8.82203965535335,3,9,2.79856133521212,-5,5.9,0,0,0,0,0,0
35,PERFORM2019:GEN:24:3,68,1,8.82203965535335,3,9,2.79856133521212,-5,5.9,0,0,0,0,0,0
36,PERFORM2019:GEN:24:4,68,1,8.82203965535335,3,9,2.79856133521212,-5,5.9,0,0,0,0,0,0
37,PERFORM2019:GEN:26:C1,20026,1,594.976235873903,320.000005,594.999981,25.0358077343812,-416.499996,446.25001,0,0,0,0,0,0
38,PERFORM2019:GEN:26:C2,20026,1,649.971751232894,320.000005,650,27.3500250622827,-455.000019,487.5,0,0,0,0,0,0
39,PERFORM2019:GEN:27:C1,68,1,121.823256843875,41.999999,122.599995,41.3680951982255,-85.820001,91.949999,0,0,0,0,0,0
40,PERFORM2019:GEN:28:C1,20028,0,0,34.999999,62.900001,0,-44.029999,47.174999,0,0,0,0,0,0
41,PERFORM2019:GEN:29:1,65,1,111.290421034722,31.999999,112,-0.165151235715171,-61.6,72.799999,0,0,0,0,0,0
42,PERFORM2019:GEN:30:1,68,1,4.06741407231332,0,4.1,1.27732171340005,-2.3,2.7,0,0,0,0,0,0
43,PERFORM2019:GEN:30:2,68,1,55.0490530267877,0,55.400002,17.0783792191494,-30.500001,36.000001,0,0,0,0,0,0
44,PERFORM2019:GEN:31:1,20031,1,0.972637678911467,0.2,1,-0.00236629030302969,-0.6,0.7,0,0,0,0,0,0
45,PERFORM2019:GEN:31:2,20031,1,0.972637678911467,0.2,1,-0.00236629030302969,-0.6,0.7,0,0,0,0,0,0
46,PERFORM2019:GEN:31:3,20031,1,2.54682733009301,0.9,2.6,0.02512653850816,-1.4,1.7,0,0,0,0,0,0
47,PERFORM2019:GEN:31:4,20031,1,2.54682733009301,0.9,2.6,0.02512653850816,-1.4,1.7,0,0,0,0,0,0
48,PERFORM2019:GEN:31:5,20031,1,2.5482854034554,2.3,2.6,0.02512653850816,-1.4,1.7,0,0,0,0,0,0
49,PERFORM2019:GEN:31:6,20031,1,24.1135319233355,6,24.600001,0.0616874874571781,-13.500001,16,0,0,0,0,0,0
50,PERFORM2019:GEN:31:7,20031,1,24.1135319233355,6,24.600001,0.0616874874571781,-13.500001,16,0,0,0,0,0,0
51,PERFORM2019:GEN:32:C1,20032,1,146.981211785476,113,147.000003,-28.6110519438278,-102.900004,110.249996,0,0,0,0,0,0
52,PERFORM2019:GEN:33:C1,56,1,56.2414411139723,44,56.599998,6.47772931927976,-39.62,42.449999,0,0,0,0,0,0
53,PERFORM2019:GEN:34:C1,50,1,57.036373042341,44.499999,57.4,-4.67335032832677,-40.180001,43.05,0,0,0,0,0,0
54,PERFORM2019:GEN:35:1,20035,1,3.13584027312972,0,3.2,0.0343458849416328,-1.8,2.1,0,0,0,0,0,0
55,PERFORM2019:GEN:35:2,20035,1,3.13584027312972,0,3.2,0.0343458849416328,-1.8,2.1,0,0,0,0,0,0
56,PERFORM2019:GEN:35:3,20035,1,3.92059315066826,0,4,0.0576564737743171,-2.2,2.6,0,0,0,0,0,0
57,PERFORM2019:GEN:35:4,20035,1,3.92059315066826,0,4,0.0576564737743171,-2.2,2.6,0,0,0,0,0,0
58,PERFORM2019:GEN:35:5,20035,1,5.88134587639052,0,6,0.086484710661476,-3.3,3.9,0,0,0,0,0,0
59,PERFORM2019:GEN:35:6,20035,1,6.86158623545502,0,7,0.097933338975353,-3.9,4.6,0,0,0,0,0,0
60,PERFORM2019:GEN:37:C1,57,1,190.435229088434,103.999996,221.300006,19.7422153396596,-154.910004,165.974998,0,0,0,0,0,0
61,PERFORM2019:GEN:38:1,61,1,99.8632806183167,0,100.5,-2.78539199539184,-55.299997,70.4,0,0,0,0,0,0
62,PERFORM2019:GEN:39:1,60,1,125.201702797743,0,125.999999,-8.05038620245095,-69.300002,88.200003,0,0,0,0,0,0
63,PERFORM2019:GEN:41:C1,56,1,65.2837850691193,40.599999,65.700001,7.51920222962018,-45.989999,49.274999,0,0,0,0,0,0
64,PERFORM2019:GEN:52:1,72,1,16.0972664279408,0,16.2,7.92355688877538,-8.9,11.3,0,0,0,0,0,0
65,PERFORM2019:GEN:53:1,68,1,37.2624495354106,0,37.5,12.9552783871568,-20.6,26.300001,0,0,0,0,0,0
66,PERFORM2019:GEN:60:1,20060,1,0.776575775937862,0.4,0.8,-0.156020463807715,-0.4,0.6,0,0,0,0,0,0
67,PERFORM2019:GEN:60:2,20060,1,9.80227683667214,4,10,-2.45025579759644,-5.5,7,0,0,0,0,0,0
68,PERFORM2019:GEN:63:C1,20063,0,0,60.000002,88.199997,0,-61.739999,66.149998,0,0,0,0,0,0
69,PERFORM2019:GEN:63:C2,20063,1,653.636125354359,315.00001,653.700018,-6.1061651703351,-457.590008,490.275002,0,0,0,0,0,0
70,PERFORM2019:GEN:69:1,56,0,0,5,24.5,0,-13.500001,17.200001,0,0,0,0,0,0
71,PERFORM2019:GEN:69:2,56,1,24.3448039323867,5,24.5,3.74382012271437,-13.500001,17.200001,0,0,0,0,0,0
72,PERFORM2019:GEN:69:3,56,1,47.0003674056822,9,47.299999,7.19575815690827,-25.999999,33.1,0,0,0,0,0,0
73,PERFORM2019:GEN:79:1,20079,0,0,0.3,1,0,-0.6,0.7,0,0,0,0,0,0
74,PERFORM2019:GEN:79:2,20079,0,0,0.4,1.3,0,-0.7,0.9,0,0,0,0,0,0
75,PERFORM2019:GEN:79:3,20079,0,0,0.4,1.4,0,-0.8,1,0,0,0,0,0,0
76,PERFORM2019:GEN:79:4,20079,0,0,0.4,1.4,0,-0.8,1,0,0,0,0,0,0
77,PERFORM2019:GEN:79:5,20079,0,0,0.1,2.5,0,-1.4,1.8,0,0,0,0,0,0
78,PERFORM2019:GEN:79:6,20079,0,0,0.8,2.7,0,-1.5,1.9,0,0,0,0,0,0
79,PERFORM2019:GEN:79:7,20079,0,0,0.8,2.7,0,-1.5,1.9,0,0,0,0,0,0
80,PERFORM2019:GEN:79:8,20079,0,0,0.1,3,0,-1.7,2.1,0,0,0,0,0,0
81,PERFORM2019:GEN:79:9,20079,0,0,0.1,3,0,-1.7,2.1,0,0,0,0,0,0
82,PERFORM2019:GEN:79:10,20079,1,7.45020307091566,4,7.5,-1.88866394644511,-4.1,5.3,0,0,0,0,0,0
83,PERFORM2019:GEN:79:11,20079,1,46.7022837109128,1,47,-12.0673872394652,-25.9,32.9,0,0,0,0,0,0
84,PERFORM2019:GEN:79:12,20079,0,0,44.999999,156.200004,0,-85.900003,109.300005,0,0,0,0,0,0
85,PERFORM2019:GEN:79:13,20079,1,178.859556712949,110.000002,179.999995,-46.0690848244841,-99.000001,125.999999,0,0,0,0,0,0
86,PERFORM2019:GEN:79:14,20079,1,178.859556712949,110.000002,179.999995,-46.0690848244841,-99.000001,125.999999,0,0,0,0,0,0
87,PERFORM2019:GEN:79:15,20079,0,0,64.999998,200,0,-110.000002,139.999998,0,0,0,0,0,0
88,PERFORM2019:GEN:80:1,20080,1,55.1484183208899,15.000001,55.500001,1.46032994637466,-30.500001,38.9,0,0,0,0,0,0
89,PERFORM2019:GEN:82:1,20082,1,34.2814634235954,0,34.5,-2.48641256234533,-19,24.2,0,0,0,0,0,0
90,PERFORM2019:GEN:83:1,20083,1,7.84181084910458,4,8,1.80162791935525,-4.4,5.6,0,0,0,0,0,0
91,PERFORM2019:GEN:83:2,20083,1,7.84181084910458,4,8,1.80162791935525,-4.4,5.6,0,0,0,0,0,0
92,PERFORM2019:GEN:84:1,20084,1,10.7824991777477,1,11,0.0718784763671682,-6.1,7.7,0,0,0,0,0,0
93,PERFORM2019:GEN:84:2,20084,1,10.7824991777477,1,11,0.0718784763671682,-6.1,7.7,0,0,0,0,0,0
94,PERFORM2019:GEN:95:C1,53,1,66.57554710098,37,67.000002,8.1473410852798,-46.900001,50.25,0,0,0,0,0,0
95,PERFORM2019:GEN:116:1,71,1,47.3978351899139,41.999999,47.7,4.54032525012706,-26.199999,33.399999,0,0,0,0,0,0
96,PERFORM2019:GEN:125:1,20125,0,0,0.1,2,0,-1.1,1.4,0,0,0,0,0,0
97,PERFORM2019:GEN:125:C1,20125,0,0,75.999999,102.100003,0,-71.469998,76.574999,0,0,0,0,0,0
98,PERFORM2019:GEN:127:C1,20127,1,708.879182214355,666.400003,893.099976,-100.011164938069,-625.169992,669.824982,0,0,0,0,0,0
