model_gen_row,device_key,source_gen_row,source_bus,model_bus,source_device_role,zone,mapping_kind,status,prior_pg_mw,prior_qg_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar,bounded_pg_mw,bounded_qg_mvar,replay_pg_mw,replay_qg_mvar,pg_movement_mw,qg_movement_mvar
1,PERFORM2019:GEN:6:1,1,6,20006,native_generation,F,exact_source_region,1,2.74321304955024,0.0643939900135539,1,2.8,-1.5,1.8,2.74321515343864,-0.099260326469641,2.74321515343864,-0.114899271163358,2.10388840216069e-06,-0.179293261176912
2,PERFORM2019:GEN:6:2,2,6,20006,native_generation,F,exact_source_region,1,2.74321304955024,0.064393990013554,1,2.8,-1.5,1.8,2.74321515343864,-0.0992603264696412,2.74321515343864,-0.114899271163358,2.10388840216069e-06,-0.179293261176912
3,PERFORM2019:GEN:6:3,3,6,20006,native_generation,F,exact_source_region,1,2.93954100814958,0.0384876782090189,1,3,-1.7,2,2.93954318550709,-0.162647256094209,2.93954318550709,-0.147008273728614,2.17735751473214e-06,-0.185495951937633
4,PERFORM2019:GEN:6:4,4,6,20006,native_generation,F,exact_source_region,1,2.93954100814958,0.0384876782090189,1,3,-1.7,2,2.93954318550709,-0.162647256094209,2.93954318550709,-0.147008273728614,2.17735751473214e-06,-0.185495951937633
5,PERFORM2019:GEN:15:1,5,15,20015,native_generation,E,exact_source_region,1,7.84182137139733,-0.890905116575858,7,8,-4.4,5.2,7.84182423016701,-0.137874761936343,7.84182423016701,-0.137874412648932,2.85876968231236e-06,0.753030703926926
6,PERFORM2019:GEN:15:2,6,15,20015,native_generation,E,exact_source_region,1,7.84182137139733,-0.890905116575857,7,8,-4.4,5.2,7.84182423016701,-0.137874761936344,7.84182423016701,-0.137874412648932,2.85876968231236e-06,0.753030703926925
7,PERFORM2019:GEN:17:1,7,17,20017,native_generation,K,exact_source_region,0,0,0,10.5,18.000001,-9.9,11.7,0,0,0,0,0,0
8,PERFORM2019:GEN:17:2,8,17,20017,native_generation,K,exact_source_region,1,11.4136023530851,0.962360950010467,11.4,18.000001,-9.9,11.7,11.4136210712396,0.944026836113804,11.4136210712396,1.17056518304653,1.87181545001636e-05,0.208204233036068
9,PERFORM2019:GEN:17:3,9,17,20017,native_generation,K,exact_source_region,1,11.0136226062618,0.962360950010467,11,18.000001,-9.9,11.7,11.0136412751136,0.944026836113804,11.0136412751136,1.17056518304653,1.86688517871403e-05,0.208204233036068
10,PERFORM2019:GEN:17:4,10,17,20017,native_generation,K,exact_source_region,1,11.2136114123838,0.962360950010467,11.2,18.000001,-9.9,11.7,11.2136301108839,0.944026836113804,11.2136301108839,1.17056518304653,1.86985000922846e-05,0.208204233036068
