parent_branch_row,model_branch_row,device_key
54,1,NPCC_PARENT:BRANCH:54
55,2,NPCC_PARENT:BRANCH:55
56,3,NPCC_PARENT:BRANCH:56
57,4,NPCC_PARENT:BRANCH:57
58,5,NPCC_PARENT:BRANCH:58
59,6,NPCC_PARENT:BRANCH:59
60,7,NPCC_PARENT:BRANCH:60
61,8,NPCC_PARENT:BRANCH:61
62,9,NPCC_PARENT:BRANCH:62
65,10,NPCC_PARENT:BRANCH:65
66,11,NPCC_PARENT:BRANCH:66
67,12,NPCC_PARENT:BRANCH:67
68,13,NPCC_PARENT:BRANCH:68
69,14,NPCC_PARENT:BRANCH:69
70,15,NPCC_PARENT:BRANCH:70
71,16,NPCC_PARENT:BRANCH:71
73,17,NPCC_PARENT:BRANCH:73
74,18,NPCC_PARENT:BRANCH:74
75,19,NPCC_PARENT:BRANCH:75
76,20,NPCC_PARENT:BRANCH:76
77,21,NPCC_PARENT:BRANCH:77
78,22,NPCC_PARENT:BRANCH:78
79,23,NPCC_PARENT:BRANCH:79
81,24,NPCC_PARENT:BRANCH:81
82,25,NPCC_PARENT:BRANCH:82
84,26,NPCC_PARENT:BRANCH:84
85,27,NPCC_PARENT:BRANCH:85
86,28,NPCC_PARENT:BRANCH:86
87,29,NPCC_PARENT:BRANCH:87
222,30,NPCC_PARENT:BRANCH:222
223,31,NPCC_PARENT:BRANCH:223
224,32,NPCC_PARENT:BRANCH:224
225,33,NPCC_PARENT:BRANCH:225
226,34,NPCC_PARENT:BRANCH:226
