zone,source_pd_gross_mw,mapped_pd_gross_mw,source_qd_gross_mvar,mapped_qd_gross_mvar,source_boundary_p_mw,mapped_boundary_p_mw,source_boundary_q_mvar,mapped_boundary_q_mvar,source_bs_mvar,mapped_bs_mvar,source_native_records,mapped_native_records,source_gs_mw,mapped_gs_mw,source_native_prior_p_mw,mapped_native_prior_p_mw,source_native_prior_q_mvar,mapped_native_prior_q_mvar,source_online_native_pmin_mw,mapped_online_native_pmin_mw,source_online_native_pmax_mw,mapped_online_native_pmax_mw,source_online_native_qmin_mvar,mapped_online_native_qmin_mvar,source_online_native_qmax_mvar,mapped_online_native_qmax_mvar
A,2370.33,2370.33,0,0,725,725,-69.957884491536,-69.957884491536,0,0,49,49,0,0,2640.51437541856,2640.51437541856,-263.578169328818,-263.578169328818,343.699996,343.699996,3832.699941,3832.699941,-2182.070014,-2182.070014,2708.275032,2708.275032
B,1727.83,1727.83,0,0,0,0,0,0,43.25,43.25,26,26,0,0,719.804574153349,719.804574153349,-16.3730215150715,-16.3730215150715,498.100013,498.100013,724.999992,724.999992,-408.70001,-408.70001,510.949986,510.949986
C,2533.4,2533.4,0,0,0,0,0,0,0,0,57,57,0,0,4529.0077177877,4529.0077177877,-495.843317882144,-495.843317882144,2727.399937,2727.399937,4552.300085,4552.300085,-2693.76999,-2693.76999,3240.074972,3240.074972
D,560.38,560.38,0,0,0,0,0,0,40.31,40.31,12,12,0,0,623.551184529312,623.551184529312,9.31691871201145,9.31691871201145,1.5,1.5,627.900018,627.900018,-345.599999,-345.599999,438.399999,438.399999
E,1233.88,1233.88,0,0,950,950,29.3755363044009,29.3755363044009,0,0,63,63,0,0,1652.62707779372,1652.62707779372,-443.094122817656,-443.094122817656,143.200001,143.200001,2005.199996,2005.199996,-1113.740021,-1113.740021,1404.74999,1404.74999
F,2035.61,2035.61,0,0,-835.999966,-835.999966,57.9630455374444,57.9630455374444,25.62,25.62,68,68,0,0,3394.99328931546,3394.99328931546,-277.856604295918,-277.856604295918,1340.100013,1340.100013,3608.900002,3608.900002,-2301.119998,-2301.119998,2628.24997,2628.24997
G,2029.7,2029.7,0,0,-640.75799,-640.75799,92.5550919382995,92.5550919382995,78.55,78.55,22,22,0,0,3097.0870526325,3097.0870526325,257.895788318873,257.895788318873,1643.999959,1643.999959,4000.600004,4000.600004,-2499.119946,-2499.119946,2838.100028,2838.100028
H,593.22,593.22,0,0,0,0,0,0,0,0,3,3,0,0,59.3218137504411,59.3218137504411,4.51177960026677,4.51177960026677,7,7,59.7,59.7,-32.800001,-32.800001,41.800001,41.800001
I,1304.57,1304.57,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0
J,10415.09,10415.09,0,0,579.392993,579.392993,586.811394134371,586.811394134371,0,0,192,192,0,0,8241.29952582342,8241.29952582342,945.612040319065,945.612040319065,3012.400011,3012.400011,8633.500025,8633.500025,-5097.29005,-5097.29005,6159.57506,6159.57506
K,4995.65,4995.65,-15.42,-15.42,514.999985,514.999985,267.935617903211,267.935617903211,848.17,848.17,90,90,0,0,4125.55742298727,4125.55742298727,-704.250100025114,-704.250100025114,1560.899995,1560.899995,4434.099949,4434.099949,-2563.55002,-2563.55002,3049.925003,3049.925003
