scope,operator_variant,interface,month,observations,sum_absolute_error_mw,sum_absolute_observed_mw,actual_flow_wape_pct,mae_mw,rmse_mw,bias_sim_minus_observed_mw,mape_nonzero_actual_pct,max_nonzero_actual_error_pct,mape_defined_observations,zero_actual_flow_count,min_absolute_observed_mw,min_nonzero_absolute_observed_mw,opposite_direction_count,opposite_direction_fraction,zero_prediction_nonzero_actual_count,positive_limit_9999_count,paper_error_q025_pct,paper_error_q25_pct,paper_error_median_pct,paper_error_q75_pct,paper_error_q975_pct,fraction_absolute_paper_error_le_10pct,fraction_absolute_paper_error_le_15pct
primary_all_naive_hours,literal_released_plot,Dysinger East,1,744,969451.250209,1076283.65645,90.0739544265,1303.02587394,1466.45477498,-1301.36902535,89.1545297118,2828.75886344,744,0,5.22916666667,5.22916666667,274,0.368279569892,0,0,6.50892894309,24.7538052983,38.6582585248,55.6001735869,88.4947220334,0.0430107526882,0.100806451613
primary_all_naive_hours,literal_released_plot,Dysinger East,2,672,445843.62732,668820.185245,66.6612098672,663.45777875,835.709424615,-654.722597693,58.6605930178,161.867434151,672,0,155.803333333,155.803333333,57,0.0848214285714,0,0,-2.01466820584,10.1127686793,17.8101766258,26.7787688606,67.3522486586,0.245535714286,0.419642857143
primary_all_naive_hours,literal_released_plot,Dysinger East,3,744,508988.184281,820787.659839,62.0121633384,684.123903603,808.570248473,-674.462104214,57.5901097283,194.721369487,744,0,115.324166667,115.324166667,49,0.0658602150538,0,0,-2.51205504819,11.7464557615,19.0079097128,30.334286941,56.6946509225,0.188172043011,0.361559139785
primary_all_naive_hours,literal_released_plot,Dysinger East,4,720,301306.119407,666268.107583,45.2229539397,418.480721399,493.751516117,-361.184742103,164.954127441,55214.849384,720,0,0.469230769231,0.469230769231,31,0.0430555555556,0,0,-11.547323525,4.42375444012,12.3569110386,19.0400539508,30.6688119746,0.381944444444,0.595833333333
primary_all_naive_hours,literal_released_plot,Dysinger East,5,744,394219.475633,842022.191896,46.8181812103,529.864886603,590.636165948,-523.74538789,44.1610486895,114.201084247,744,0,259.820833333,259.820833333,0,0,0,0,0.136930401455,11.7821496046,17.0164354039,23.5464884216,32.6896714929,0.168010752688,0.405913978495
primary_all_naive_hours,literal_released_plot,Dysinger East,6,720,370373.453142,716634.835149,51.6823122427,514.407573808,596.78126273,-505.117652674,48.3761467697,105.762245306,720,0,192.5075,192.5075,9,0.0125,0,0,-2.30188621435,8.88894374475,16.1028347162,22.410466844,37.093027357,0.291666666667,0.461111111111
primary_all_naive_hours,literal_released_plot,Dysinger East,7,744,527498.875292,775523.352101,68.0184386277,709.00386464,825.470060257,-708.017259383,62.8135493001,133.616528288,744,0,338.875833333,338.875833333,42,0.0564516129032,0,0,1.14502348584,13.2712196677,21.6458225717,29.445407269,59.317774717,0.182795698925,0.287634408602
primary_all_naive_hours,literal_released_plot,Dysinger East,8,744,326116.626071,554880.28436,58.772429885,438.328798483,524.018849247,-414.598482265,62.0613163243,4127.97847092,744,0,6.58583333333,6.58583333333,8,0.010752688172,0,0,-5.13062541646,5.36141678143,13.1028217675,20.3832595354,32.0591521656,0.389784946237,0.556451612903
primary_all_naive_hours,literal_released_plot,Dysinger East,9,720,143461.453176,433178.000118,33.1183608441,199.2520183,255.364290503,-109.557788277,46.9821726568,3482.9985079,720,0,6.3725,6.3725,2,0.00277777777778,0,0,-10.7692444512,-1.02534291941,3.09545532837,8.05417727788,18.3645668878,0.791666666667,0.923611111111
primary_all_naive_hours,literal_released_plot,Dysinger East,10,744,145752.229654,453200.908143,32.1606217101,195.903534482,257.777538807,-112.104595008,170.544786867,101651.949182,744,0,0.4175,0.4175,0,0,0,0,-8.48401593675,-1.82557281279,2.56251247408,8.12103265268,20.4294924581,0.801075268817,0.923387096774
primary_all_naive_hours,literal_released_plot,Dysinger East,11,720,155917.934292,444107.70682,35.1081352334,216.552686517,270.688306231,-99.6562991123,95.5609087968,8117.95206878,720,0,5.4075,5.4075,19,0.0263888888889,0,0,-15.0520704004,-1.74411994283,4.14874684334,8.66723354478,20.4630018517,0.727777777778,0.911111111111
primary_all_naive_hours,literal_released_plot,Dysinger East,12,744,415182.192283,723169.282692,57.4114805786,558.040581026,636.276358609,-552.900419696,53.8543499239,189.64528765,744,0,119.635833333,119.635833333,0,0,0,0,-0.437736096594,10.9011867893,17.0633116554,22.9614833274,43.1903423194,0.211021505376,0.418010752688
primary_all_naive_hours,literal_released_plot,West Central,1,744,1715233.86328,634988.685371,270.12038211,2305.42185925,2337.83804422,-2305.42185925,322.20470768,7155.59245757,744,0,27.2008333333,27.2008333333,737,0.990591397849,0,744,15.8646037251,20.3652685396,22.9611996984,25.8179338817,30.25492943,0,0.0161290322581
primary_all_naive_hours,literal_released_plot,West Central,2,672,1335088.63373,304324.604728,438.705452331,1986.73903829,2011.96072381,-1986.73903829,1461.06753647,66605.3718691,672,0,2.46083333333,2.46083333333,613,0.912202380952,0,672,13.4813644772,17.9387442599,19.9484015427,21.7492598312,26.6272016294,0,0.0729166666667
