hour_index,timestamp,source_chunk,max_branch_pf_error_mw,max_bus_angle_error_deg,max_result_pg_error_mw,max_released_operator_error_mw,max_corrected_operator_error_mw,max_independent_nodal_residual_mw,reference_angle_error_deg,max_active_rated_branch_overload_mw,replay_passed
1,2019-01-01T00:00:00,annual_1.mat,4.604316927725449e-12,1.2789769243681803e-13,1.3642420526593924e-12,2.6147972675971687e-12,5.229594535194337e-12,9.777068044058979e-12,0.0,326.01338585571807,True
2,2019-01-01T01:00:00,annual_1.mat,6.0822458181064576e-12,1.7053025658242404e-13,2.2737367544323206e-13,4.092726157978177e-12,5.4569682106375694e-12,5.343281372915953e-12,0.0,228.86151081492392,True
3,2019-01-01T02:00:00,annual_1.mat,6.536993168992922e-12,1.8474111129762605e-13,3.865352482534945e-12,4.888534022029489e-12,5.9117155615240335e-12,7.332801033044234e-12,0.0,308.56696164689373,True
4,2019-01-01T03:00:00,annual_1.mat,3.979039320256561e-12,1.5631940186722204e-13,3.637978807091713e-12,4.092726157978177e-12,7.503331289626658e-12,4.206412995699793e-12,0.0,339.0113189783963,True
5,2019-01-01T04:00:00,annual_1.mat,4.888534022029489e-12,1.2789769243681803e-13,2.2737367544323206e-13,2.7284841053187847e-12,3.637978807091713e-12,3.268496584496461e-12,0.0,380.84103219380586,True
6,2019-01-01T05:00:00,annual_1.mat,4.774847184307873e-12,1.8474111129762605e-13,3.410605131648481e-12,2.6147972675971687e-12,4.774847184307873e-12,4.177991286269389e-12,0.0,413.6911792461468,True
7,2019-01-01T06:00:00,annual_1.mat,7.275957614183426e-12,1.9895196601282805e-13,5.229594535194337e-12,6.252776074688882e-12,3.637978807091713e-12,6.565414878423326e-12,0.0,525.8793259413391,True
8,2019-01-01T07:00:00,annual_1.mat,5.7980287238024175e-12,1.4210854715202004e-13,3.865352482534945e-12,4.092726157978177e-12,5.9117155615240335e-12,7.389644451905042e-12,0.0,460.1678202194113,True
9,2019-01-01T08:00:00,annual_1.mat,3.808509063674137e-12,1.2789769243681803e-13,4.320099833421409e-12,2.9558577807620168e-12,3.296918293926865e-12,5.4001247917767614e-12,0.0,265.7356336013032,True
10,2019-01-01T09:00:00,annual_1.mat,7.16227077646181e-12,1.7053025658242404e-13,5.4569682106375694e-12,9.208633855450898e-12,5.6843418860808015e-12,5.5706550483591855e-12,0.0,293.04421021980204,True
11,2019-01-01T10:00:00,annual_1.mat,6.59383658785373e-12,2.2737367544323206e-13,6.821210263296962e-12,5.9117155615240335e-12,7.73070496506989e-12,5.258016244624741e-12,0.0,372.67068622913575,True
12,2019-01-01T11:00:00,annual_1.mat,5.8548721426632255e-12,1.1368683772161603e-13,9.094947017729282e-13,3.979039320256561e-12,5.9117155615240335e-12,8.355982572538778e-12,0.0,427.28327919514345,True
13,2019-01-01T12:00:00,annual_1.mat,5.7980287238024175e-12,2.2737367544323206e-13,7.275957614183426e-12,5.002220859751105e-12,1.0913936421275139e-11,5.5138116294983774e-12,0.0,325.64312091497334,True
14,2019-01-01T13:00:00,annual_1.mat,7.275957614183426e-12,1.9895196601282805e-13,4.547473508864641e-12,6.366462912410498e-12,7.958078640513122e-12,8.185452315956354e-12,0.0,225.85821088260627,True
15,2019-01-01T14:00:00,annual_1.mat,6.991740519879386e-12,1.4210854715202004e-13,4.320099833421409e-12,5.229594535194337e-12,6.366462912410498e-12,4.888534022029489e-12,0.0,386.16448789685467,True
16,2019-01-01T15:00:00,annual_1.mat,4.433786671143025e-12,1.8474111129762605e-13,6.821210263296962e-12,6.139089236967266e-12,8.185452315956354e-12,6.110667527536862e-12,0.0,432.8239545218812,True
17,2019-01-01T16:00:00,annual_1.mat,4.604316927725449e-12,1.9895196601282805e-13,3.183231456205249e-12,4.547473508864641e-12,1.0231815394945443e-11,4.718003765447065e-12,0.0,494.66341741558915,True
18,2019-01-01T17:00:00,annual_1.mat,6.480149750132114e-12,1.7053025658242404e-13,6.139089236967266e-12,6.139089236967266e-12,8.640199666842818e-12,8.071765478234738e-12,0.0,550.2574293718905,True
19,2019-01-01T18:00:00,annual_1.mat,5.9401372709544376e-12,1.7053025658242404e-13,5.002220859751105e-12,5.002220859751105e-12,8.86757334228605e-12,3.495870259939693e-12,0.0,524.6783438452701,True
