InterfaceName,metric,matched_keys,missing_published_keys,missing_reconstructed_keys,max_absolute_difference,mean_absolute_difference,values_above_tolerance,asymmetric_missing_values
CENTRAL EAST - VC,FlowMWH,8760,0,0,5.91171556152403e-12,2.2675592504648e-12,0,0
CENTRAL EAST - VC,PositiveLimitMWH,8760,0,0,4.54747350886464e-12,3.19387337480476e-13,0,0
CENTRAL EAST - VC,NegativeLimitMWH,8760,0,0,0,0,0,0
DYSINGER EAST,FlowMWH,8760,0,0,5.22959453519434e-12,1.08687189132014e-12,0,0
DYSINGER EAST,PositiveLimitMWH,8760,0,0,3.63797880709171e-12,2.9070606905984e-15,0,0
DYSINGER EAST,NegativeLimitMWH,8760,0,0,0,0,0,0
MOSES SOUTH,FlowMWH,8760,0,0,5.00222085975111e-12,2.07040858328809e-12,0,0
MOSES SOUTH,PositiveLimitMWH,8760,0,0,4.54747350886464e-12,9.344123648352e-15,0,0
MOSES SOUTH,NegativeLimitMWH,8760,0,0,3.18323145620525e-12,1.7390452345544e-15,0,0
SCH - HQ - NY,FlowMWH,8760,0,0,4.77484718430787e-12,8.49251060140081e-13,0,0
SCH - HQ - NY,PositiveLimitMWH,8760,0,0,4.54747350886464e-12,1.77765463435141e-14,0,0
SCH - HQ - NY,NegativeLimitMWH,8760,0,0,4.54747350886464e-13,9.571237764805e-16,0,0
SCH - HQ_CEDARS,FlowMWH,8760,0,0,4.68958205601666e-13,2.91460665850778e-14,0,0
SCH - HQ_CEDARS,PositiveLimitMWH,8760,0,0,4.54747350886464e-13,8.695226172772e-16,0,0
SCH - HQ_CEDARS,NegativeLimitMWH,8760,0,0,3.5527136788005e-14,1.58168759672625e-17,0,0
SCH - HQ_IMPORT_EXPORT,FlowMWH,8760,0,0,4.66116034658626e-12,7.21500383537574e-13,0,0
SCH - HQ_IMPORT_EXPORT,PositiveLimitMWH,8760,0,0,3.18323145620525e-12,1.37404040454065e-15,0,0
SCH - HQ_IMPORT_EXPORT,NegativeLimitMWH,8760,0,0,0,0,0,0
SCH - NE - NY,FlowMWH,8760,0,0,5.45696821063757e-12,1.02208646163561e-12,0,0
SCH - NE - NY,PositiveLimitMWH,8760,0,0,3.18323145620525e-12,1.2069493045788e-15,0,0
SCH - NE - NY,NegativeLimitMWH,8760,0,0,3.18323145620525e-12,2.984928387668e-15,0,0
SCH - NPX_1385,FlowMWH,8760,0,0,4.68958205601666e-13,5.34955102792927e-14,0,0
SCH - NPX_1385,PositiveLimitMWH,8760,0,0,3.41060513164848e-13,5.710297785104e-16,0,0
SCH - NPX_1385,NegativeLimitMWH,8760,0,0,3.41060513164848e-13,4.964065688187e-16,0,0
SCH - NPX_CSC,FlowMWH,8760,0,0,4.68958205601666e-13,5.32182396831599e-14,0,0
SCH - NPX_CSC,PositiveLimitMWH,8760,0,0,0,0,0,0
SCH - NPX_CSC,NegativeLimitMWH,8760,0,0,0,0,0,0
SCH - OH - NY,FlowMWH,8760,0,0,4.77484718430787e-12,6.365013705408e-13,0,0
SCH - OH - NY,PositiveLimitMWH,8760,0,0,4.54747350886464e-12,2.43466332837616e-14,0,0
SCH - OH - NY,NegativeLimitMWH,8760,0,0,3.63797880709171e-12,7.8127256059832e-15,0,0
SCH - PJ - NY,FlowMWH,8760,0,0,4.77484718430787e-12,4.75352935761828e-13,0,0
SCH - PJ - NY,PositiveLimitMWH,8760,0,0,3.63797880709171e-12,2.0245601238096e-15,0,0
SCH - PJ - NY,NegativeLimitMWH,8760,0,0,3.18323145620525e-12,1.8039349821124e-15,0,0
SCH - PJM_HTP,FlowMWH,8760,0,0,4.68958205601666e-13,8.02955621830172e-14,0,0
SCH - PJM_HTP,PositiveLimitMWH,8760,0,0,0,0,0,0
SCH - PJM_HTP,NegativeLimitMWH,8760,0,0,0,0,0,0
SCH - PJM_NEPTUNE,FlowMWH,8760,0,0,4.54747350886464e-13,6.74044280563336e-14,0,0
SCH - PJM_NEPTUNE,PositiveLimitMWH,8760,0,0,3.41060513164848e-13,3.89338485348e-17,0,0
SCH - PJM_NEPTUNE,NegativeLimitMWH,8760,0,0,3.41060513164848e-13,3.89338485348e-17,0,0
SCH - PJM_VFT,FlowMWH,8760,0,0,4.68958205601666e-13,8.24244972122982e-14,0,0
SCH - PJM_VFT,PositiveLimitMWH,8760,0,0,0,0,0,0
SCH - PJM_VFT,NegativeLimitMWH,8760,0,0,0,0,0,0
SPR/DUN-SOUTH,FlowMWH,8760,0,0,5.91171556152403e-12,2.28372977555625e-12,0,0
SPR/DUN-SOUTH,PositiveLimitMWH,8760,0,0,4.54747350886464e-12,1.8688247296704e-15,0,0
SPR/DUN-SOUTH,NegativeLimitMWH,8760,0,0,0,0,0,0
TOTAL EAST,FlowMWH,8760,0,0,6.3664629124105e-12,2.25769600883598e-12,0,0
TOTAL EAST,PositiveLimitMWH,8760,0,0,0,0,0,0
TOTAL EAST,NegativeLimitMWH,8760,0,0,0,0,0,0
UPNY CONED,FlowMWH,8760,0,0,5.91171556152403e-12,2.23352782235801e-12,0,0
UPNY CONED,PositiveLimitMWH,8760,0,0,2.72848410531878e-12,9.344123648352e-16,0,0
UPNY CONED,NegativeLimitMWH,8760,0,0,0,0,0,0
WEST CENTRAL,FlowMWH,8760,0,0,4.77484718430787e-12,3.52345077898537e-13,0,0
WEST CENTRAL,PositiveLimitMWH,8760,0,0,0,0,0,0
WEST CENTRAL,NegativeLimitMWH,8760,0,0,0,0,0,0
