smoke_case,branch_row,from_bus,to_bus,from_name,to_name,from_zone,to_zone,status
1,1,29,37,NORTHFIELD,NEW SEATHED,NA,F,1
1,2,35,73,SOUTHINGTEN,PLEASANT VLY,NA,G,1
1,3,37,38,NEW SEATHED,GILBOA,F,E,1
1,4,37,39,NEW SEATHED,LEEDS,F,G,1
1,5,37,40,NEW SEATHED,NEW SEATHED,F,F,1
1,6,37,43,NEW SEATHED,EDIC,F,E,1
1,7,38,69,GILBOA,BINGHAMTON,E,E,1
1,8,38,77,GILBOA,BUCHANAN,E,G,1
1,9,39,73,LEEDS,PLEASANT VLY,G,G,1
1,10,39,73,LEEDS,PLEASANT VLY,G,G,1
1,11,40,41,NEW SEATHED,ROTTERDAM,F,F,1
1,12,40,44,NEW SEATHED,PORTER,F,E,1
1,13,41,42,ROTTERDAM,ALBANY,F,F,1
1,14,41,45,ROTTERDAM,PORTER,F,E,1
1,15,43,38,EDIC,GILBOA,E,E,1
1,16,43,44,EDIC,PORTER,E,E,1
1,17,43,50,EDIC,CLAY,E,C,1
1,18,44,45,PORTER,PORTER,E,E,1
1,19,44,48,PORTER,MOSES E,E,D,1
1,20,45,46,PORTER,COLTON,E,E,1
1,21,45,51,PORTER,CLAY,E,C,1
1,22,45,71,PORTER,BINGHAMTON,E,C,1
1,23,46,47,COLTON,MOSES W,E,E,1
1,24,46,49,COLTON,PLATTSBURGH,E,D,1
1,25,47,48,MOSES W,MOSES E,E,D,1
1,26,48,100,MOSES E,PHAS,D,NA,1
1,27,49,48,PLATTSBURGH,MOSES E,D,D,1
1,28,50,51,CLAY,CLAY,C,C,1
1,29,50,52,CLAY,ROCHESTER,C,B,1
1,30,51,53,CLAY,ROCHESTER,C,B,1
1,31,51,72,CLAY,LAPEER,C,C,1
1,32,52,53,ROCHESTER,ROCHESTER,B,B,1
1,33,53,55,ROCHESTER,NIAGARA E,B,A,1
1,34,53,65,ROCHESTER,GESONIDGE,B,C,1
1,35,54,52,NIAGARA W,ROCHESTER,A,B,1
1,36,54,55,NIAGARA W,NIAGARA E,A,A,1
1,37,54,56,NIAGARA W,HUNTLEY,A,A,1
1,38,54,62,NIAGARA W,STOLLE RD,A,B,1
1,39,54,102,NIAGARA W,BP 76,A,NA,1
1,40,54,103,NIAGARA W,PA 27,A,NA,1
1,41,55,57,NIAGARA E,HUNTLEY,A,A,1
1,42,55,59,NIAGARA E,GARDENVILLE,A,A,1
1,43,56,57,HUNTLEY,HUNTLEY,A,A,1
1,44,56,58,HUNTLEY,GARDENVILLE,A,A,1
1,45,57,59,HUNTLEY,GARDENVILLE,A,A,1
1,46,58,59,GARDENVILLE,GARDENVILLE,A,A,1
1,47,58,60,GARDENVILLE,DUNKIRK,A,A,1
1,48,58,62,GARDENVILLE,STOLLE RD,A,B,1
1,49,59,61,GARDENVILLE,DUNKIRK,A,A,1
1,50,60,61,DUNKIRK,DUNKIRK,A,A,1
1,51,62,63,STOLLE RD,MEYER,B,C,1
1,52,63,64,MEYER,MEYER,C,C,1
1,53,63,67,MEYER,WRHL,C,C,1
1,54,64,65,MEYER,GESONIDGE,C,C,1
1,55,64,68,MEYER,HILLSIDE,C,C,1
1,56,66,67,WATERCURE,WRHL,C,C,1
1,57,66,69,WATERCURE,BINGHAMTON,C,E,1
1,58,66,134,WATERCURE,HOMER CITY,C,NA,1
1,59,67,68,WRHL,HILLSIDE,C,C,1
1,60,67,70,WRHL,BINGHAMTON,C,C,1
1,61,67,138,WRHL,E TOMANO,C,NA,1
1,62,68,71,HILLSIDE,BINGHAMTON,C,C,1
1,63,69,71,BINGHAMTON,BINGHAMTON,E,C,1
1,64,70,71,BINGHAMTON,BINGHAMTON,C,C,1
1,65,71,72,BINGHAMTON,LAPEER,C,C,1
1,66,73,74,PLEASANT VLY,MILLWOOD,G,H,1
1,67,74,77,MILLWOOD,BUCHANAN,H,G,1
1,68,74,78,MILLWOOD,CE UG,H,I,1
1,69,75,76,RAMAPO,RAMAPO,G,G,1
1,70,75,124,RAMAPO,BRANCHBURG,G,NA,1
1,71,76,77,RAMAPO,BUCHANAN,G,G,1
1,72,78,79,CE UG,RAV A-3,I,K,1
1,73,78,80,CE UG,NORTHPORT,I,K,1
1,74,78,81,CE UG,GOETHALS,I,J,1
1,75,78,82,CE UG,AK-3,I,J,1
1,76,124,125,BRANCHBURG,LINDON,NA,NA,1
1,77,132,134,JUNIATA,HOMER CITY,NA,NA,1
1,78,132,138,JUNIATA,E TOMANO,NA,NA,1
1,79,21,35,MILLSTONE PT,SOUTHINGTEN,NA,NA,1
1,80,21,29,MILLSTONE PT,NORTHFIELD,NA,NA,1
1,81,29,35,NORTHFIELD,SOUTHINGTEN,NA,NA,1
