smoke_case,interface,released_map_id,literal_plot_signed_rows,released_if_map_signed_rows,semantic_zone_crossing_signed_rows,if_map_matches_semantics,literal_plot_matches_semantics,different_coefficient_count,flow4Plot_source_line,updateOpCond_source_line,observations_used_for_operator_construction
1,Dysinger East,1,-32;34;37;47,-33;35;38;48,-33;35;38;48,1,0,8,9,420,0
1,West Central,2,-28;-29;33;50,-29;-30;34;51,-29;-30;34;51,1,0,6,10,421,0
1,Total East,3,-14;-12;-3;-6;8,-14;-12;-3;-6;8,-3;-6;8;-12;-14,1,1,0,11,422,0
1,Moses South,4,-24;-18;-23,-25;-19;-24,-19;-24;-25,1,0,4,12,423,0
1,Central East,5,-14;-12;-3;-6,-14;-12;-3;-6,-3;-6;-12;-14,1,1,0,13,424,0
1,UpNY-Coned,8,65;-66,66;-67,66;-67,1,0,3,16,427,0
1,Dun/SPR-South,10,73;74,74;75,74;75,1,0,2,18,429,0
2,Dysinger East,1,-32;34;37;47,-33;35;38;48,-33;35;38;48,1,0,8,9,420,0
2,West Central,2,-28;-29;33;50,-29;-30;34;51,-29;-30;34;51,1,0,6,10,421,0
2,Total East,3,-14;-12;-3;-6;8,-14;-12;-3;-6;8,-3;-6;8;-12;-14,1,1,0,11,422,0
2,Moses South,4,-24;-18;-23,-25;-19;-24,-19;-24;-25,1,0,4,12,423,0
2,Central East,5,-14;-12;-3;-6,-14;-12;-3;-6,-3;-6;-12;-14,1,1,0,13,424,0
2,UpNY-Coned,8,65;-66,66;-67,66;-67,1,0,3,16,427,0
2,Dun/SPR-South,10,73;74,74;75,74;75,1,0,2,18,429,0
