smoke_case,timestamp,interface,observed_mw,positive_limit_mw,literal_plot_simulated_mw,semantic_if_map_simulated_mw,literal_paper_signed_error_pct,semantic_paper_signed_error_pct,semantic_absolute_error_mw,semantic_actual_relative_error_pct,literal_opposite_direction,semantic_opposite_direction,observations_used_for_operator_construction
1,01-Jan-2019 00:00:00,Dysinger East,972.475384615385,3150,550.94531702978,1301.71828649367,13.3819069074795,-10.4521556151838,329.242901878289,33.8561681958156,0,0,0
1,01-Jan-2019 00:00:00,West Central,677.99,9999,-923.456470975311,1038.23528942466,16.0160663163847,-3.60281317556416,360.245289424661,53.1343072058084,1,0,0
1,01-Jan-2019 00:00:00,Total East,3760.77846153846,6800,4014.70600182809,4014.70600182809,-3.734228533671,-3.734228533671,253.927540289628,6.75199411203157,0,0,0
1,01-Jan-2019 00:00:00,Moses South,1181.67384615385,3150,173.662113700251,1212.50925716163,32.0003724588443,-0.97890193675506,30.8354110077844,2.60946885709188,0,0,0
1,01-Jan-2019 00:00:00,Central East,2230.71153846154,2355.76923076923,2489.23028547713,2489.23028547713,-10.9738570161721,-10.9738570161721,258.518747015592,11.5890711352973,0,0,0
1,01-Jan-2019 00:00:00,UpNY-Coned,1593.25692307692,5700,-1008.20842627207,1615.04643357135,45.6397429710349,-0.382272113937313,21.7895104944268,1.36760808497518,1,0,0
1,01-Jan-2019 00:00:00,Dun/SPR-South,2389.27846153846,4600,2142.56555063726,2675.61538461538,5.36332415002609,-6.22471571906355,286.336923076923,11.9842424265839,0,0,0
2,20-Jul-2019 17:00:00,Dysinger East,1404.9975,3150,-362.093150314837,1704.06918841853,56.0981158830107,-9.49433931487385,299.071688418526,21.2862790445197,1,0,0
2,20-Jul-2019 17:00:00,West Central,246.541666666667,9999,-1825.71965746229,614.654621681722,20.7246857098606,-3.68149769992054,368.112955015055,149.310645941547,1,0,0
2,20-Jul-2019 17:00:00,Total East,4167.405,6800,5107.31346420719,5107.31346420719,-13.8221832971646,-13.8221832971646,939.908464207191,22.5538066064419,0,0,0
2,20-Jul-2019 17:00:00,Moses South,2177.6425,3150,311.274567680576,2352.77083499822,59.2497756291881,-5.5596296824832,175.128334998221,8.04210677364264,0,0,0
2,20-Jul-2019 17:00:00,Central East,2377.08083333333,2860,2587.36844417299,2587.36844417299,-7.35271366572218,-7.35271366572218,210.287610839654,8.84646444878243,0,0,0
2,20-Jul-2019 17:00:00,UpNY-Coned,3281.675,5700,-1434.46464877811,3364.48842542923,82.7392920838265,-1.45286711279358,82.813425429234,2.52351087262553,1,0,0
2,20-Jul-2019 17:00:00,Dun/SPR-South,2960.43666666667,4350,5348.70708999289,2502.10000000001,-54.902768352327,10.5364750957851,458.336666666652,15.4820628938744,0,0,0
